year,pos,neu,neg
1950,0.15789473684210525,0.8421052631578947,0.0
1951,0.16666666666666666,0.7916666666666666,0.041666666666666664
1952,0.15,0.7,0.15
1953,0.13513513513513514,0.8378378378378378,0.02702702702702703
1954,0.047619047619047616,0.8571428571428571,0.09523809523809523
1955,0.0967741935483871,0.7741935483870968,0.12903225806451613
1956,0.26666666666666666,0.7,0.03333333333333333
1957,0.125,0.7916666666666666,0.08333333333333333
1958,0.1,0.7333333333333333,0.16666666666666666
1959,0.16129032258064516,0.7741935483870968,0.06451612903225806
1960,0.047619047619047616,0.9047619047619048,0.047619047619047616
1961,0.16071428571428573,0.7142857142857143,0.125
1962,0.18181818181818182,0.6666666666666666,0.15151515151515152
1963,0.14084507042253522,0.7887323943661971,0.07042253521126761
1964,0.09523809523809523,0.8571428571428571,0.047619047619047616
1965,0.2549019607843137,0.7058823529411765,0.0392156862745098
1966,0.15,0.7833333333333333,0.06666666666666667
1967,0.1111111111111111,0.8222222222222222,0.06666666666666667
1968,0.0,0.8947368421052632,0.10526315789473684
1969,0.12195121951219512,0.6097560975609756,0.2682926829268293
1970,0.18604651162790697,0.6744186046511628,0.13953488372093023
1971,0.18181818181818182,0.7575757575757576,0.06060606060606061
1972,0.16666666666666666,0.8055555555555556,0.027777777777777776
1973,0.09302325581395349,0.813953488372093,0.09302325581395349
1974,0.21621621621621623,0.7567567567567568,0.02702702702702703
1975,0.05714285714285714,0.9142857142857143,0.02857142857142857
1976,0.19607843137254902,0.7352941176470589,0.06862745098039216
1977,0.16666666666666666,0.7333333333333333,0.1
1978,0.2647058823529412,0.5882352941176471,0.14705882352941177
1979,0.0784313725490196,0.7843137254901961,0.13725490196078433
1980,0.23529411764705882,0.7058823529411765,0.058823529411764705
1981,0.25,0.6388888888888888,0.1111111111111111
1982,0.07692307692307693,0.7692307692307693,0.15384615384615385
1983,0.15625,0.75,0.09375
1984,0.1276595744680851,0.7872340425531915,0.0851063829787234
1985,0.06896551724137931,0.8275862068965517,0.10344827586206896
1986,0.14285714285714285,0.7714285714285715,0.08571428571428572
1987,0.1509433962264151,0.8113207547169812,0.03773584905660377
1988,0.12195121951219512,0.6585365853658537,0.21951219512195122
1989,0.3220338983050847,0.6271186440677966,0.05084745762711865
1990,0.21212121212121213,0.6060606060606061,0.18181818181818182
1991,0.17857142857142858,0.7857142857142857,0.03571428571428571
1992,0.35,0.425,0.225
1993,0.13846153846153847,0.8,0.06153846153846154
1994,0.09836065573770492,0.8360655737704918,0.06557377049180328
1995,0.06666666666666667,0.7866666666666666,0.14666666666666667
1996,0.18181818181818182,0.6590909090909091,0.1590909090909091
1997,0.09333333333333334,0.7066666666666667,0.2
1998,0.13253012048192772,0.7469879518072289,0.12048192771084337
1999,0.1111111111111111,0.7222222222222222,0.16666666666666666
2000,0.13636363636363635,0.696969696969697,0.16666666666666666
2001,0.14838709677419354,0.7612903225806451,0.09032258064516129
2002,0.14285714285714285,0.7074829931972789,0.14965986394557823
2003,0.12837837837837837,0.7027027027027027,0.16891891891891891
2004,0.11304347826086956,0.7130434782608696,0.17391304347826086
2005,0.13636363636363635,0.7443181818181818,0.11931818181818182
2006,0.15254237288135594,0.7062146892655368,0.14124293785310735
2007,0.17,0.695,0.135
2008,0.13541666666666666,0.7152777777777778,0.14930555555555555
2009,0.10504201680672269,0.6974789915966386,0.19747899159663865
2010,0.14285714285714285,0.6775510204081633,0.17959183673469387
2011,0.13114754098360656,0.7581967213114754,0.11065573770491803
2012,0.18983050847457628,0.6305084745762712,0.17966101694915254
2013,0.13220338983050847,0.711864406779661,0.15593220338983052
2014,0.13654618473895583,0.6265060240963856,0.23694779116465864
2015,0.11956521739130435,0.7255434782608695,0.15489130434782608
2016,0.12835820895522387,0.6716417910447762,0.2
2017,0.15,0.68125,0.16875
