year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,1.0,0.0
1952,0.14285714285714285,0.7142857142857143,0.14285714285714285
1953,0.0,0.0,0.0
1954,0.0,1.0,0.0
1955,0.0,0.0,0.0
1956,0.0,0.0,0.0
1957,0.0,0.0,0.0
1958,0.0,0.0,0.0
1959,0.0,0.0,0.0
1960,0.0,0.0,0.0
1961,0.2,0.6,0.2
1962,0.07142857142857142,0.7857142857142857,0.14285714285714285
1963,0.2777777777777778,0.6111111111111112,0.1111111111111111
1964,0.0,0.6666666666666666,0.3333333333333333
1965,0.0,1.0,0.0
1966,0.0,0.0,0.0
1967,0.46153846153846156,0.46153846153846156,0.07692307692307693
1968,0.0,1.0,0.0
1969,0.0,1.0,0.0
1970,0.0,1.0,0.0
1971,0.0,0.0,0.0
1972,0.0,0.0,0.0
1973,0.0,0.0,0.0
1974,0.0,0.0,0.0
1975,0.0,0.0,0.0
1976,0.0,0.5,0.5
1977,0.0,1.0,0.0
1978,0.0,1.0,0.0
1979,0.0,0.0,0.0
1980,0.0,0.0,0.0
1981,0.0,0.0,0.0
1982,0.0,1.0,0.0
1983,0.16666666666666666,0.8333333333333334,0.0
1984,0.5,0.5,0.0
1985,0.2,0.8,0.0
1986,0.0,0.0,0.0
1987,0.0,0.0,0.0
1988,0.0,1.0,0.0
1989,0.0,0.0,0.0
1990,0.0,0.0,0.0
1991,0.0,0.0,0.0
1992,0.0,1.0,0.0
1993,0.0,1.0,0.0
1994,0.0,0.0,0.0
1995,0.0,0.0,0.0
1996,0.0,0.0,0.0
1997,0.42857142857142855,0.42857142857142855,0.14285714285714285
1998,0.1875,0.6875,0.125
1999,0.0,1.0,0.0
2000,0.0,0.0,0.0
2001,0.18181818181818182,0.6363636363636364,0.18181818181818182
2002,0.0,0.0,0.0
2003,0.25,0.75,0.0
2004,0.16279069767441862,0.6976744186046512,0.13953488372093023
2005,0.2558139534883721,0.6976744186046512,0.046511627906976744
2006,0.21428571428571427,0.7857142857142857,0.0
2007,0.0,0.8888888888888888,0.1111111111111111
2008,0.0,1.0,0.0
2009,0.25,0.75,0.0
2010,0.1,0.6,0.3
2011,0.21212121212121213,0.6363636363636364,0.15151515151515152
2012,0.0,1.0,0.0
2013,0.0,1.0,0.0
2014,0.4444444444444444,0.5555555555555556,0.0
2015,0.0,1.0,0.0
2016,0.25,0.75,0.0
2017,0.0,1.0,0.0
