year,pos,neu,neg
1950,0.0,1.0,0.0
1951,0.0,1.0,0.0
1952,0.0,1.0,0.0
1953,0.18181818181818182,0.5454545454545454,0.2727272727272727
1954,0.3,0.7,0.0
1955,0.3333333333333333,0.6666666666666666,0.0
1956,0.0,1.0,0.0
1957,0.0,0.8,0.2
1958,0.0,0.5,0.5
1959,0.0,0.8333333333333334,0.16666666666666666
1960,0.3333333333333333,0.6666666666666666,0.0
1961,0.0,1.0,0.0
1962,0.19047619047619047,0.5714285714285714,0.23809523809523808
1963,0.125,0.75,0.125
1964,0.25,0.5833333333333334,0.16666666666666666
1965,0.0,0.5,0.5
1966,0.2,0.6,0.2
1967,0.42857142857142855,0.5714285714285714,0.0
1968,0.0,1.0,0.0
1969,0.0,0.75,0.25
1970,0.2,0.8,0.0
1971,0.16666666666666666,0.6666666666666666,0.16666666666666666
1972,0.0,1.0,0.0
1973,0.25,0.75,0.0
1974,0.14285714285714285,0.8571428571428571,0.0
1975,0.0,0.75,0.25
1976,0.35714285714285715,0.5,0.14285714285714285
1977,0.0,1.0,0.0
1978,0.0,1.0,0.0
1979,0.2222222222222222,0.5555555555555556,0.2222222222222222
1980,0.6,0.4,0.0
1981,0.4,0.4,0.2
1982,0.1,0.8,0.1
1983,0.0,1.0,0.0
1984,0.42857142857142855,0.5714285714285714,0.0
1985,0.0,0.8333333333333334,0.16666666666666666
1986,0.0,1.0,0.0
1987,0.45454545454545453,0.45454545454545453,0.09090909090909091
1988,0.2857142857142857,0.7142857142857143,0.0
1989,0.3333333333333333,0.6666666666666666,0.0
1990,0.2,0.4,0.4
1991,0.1111111111111111,0.7777777777777778,0.1111111111111111
1992,0.25,0.5,0.25
1993,0.5,0.5,0.0
1994,0.0,1.0,0.0
1995,0.25,0.5,0.25
1996,0.09523809523809523,0.9047619047619048,0.0
1997,0.0,0.6666666666666666,0.3333333333333333
1998,0.17391304347826086,0.7391304347826086,0.08695652173913043
1999,0.08695652173913043,0.8695652173913043,0.043478260869565216
2000,0.1111111111111111,0.8888888888888888,0.0
2001,0.0967741935483871,0.8709677419354839,0.03225806451612903
2002,0.25,0.65,0.1
2003,0.16279069767441862,0.8372093023255814,0.0
2004,0.17391304347826086,0.6521739130434783,0.17391304347826086
2005,0.05660377358490566,0.8113207547169812,0.1320754716981132
2006,0.125,0.875,0.0
2007,0.14634146341463414,0.7560975609756098,0.0975609756097561
2008,0.25,0.7,0.05
2009,0.14084507042253522,0.7605633802816901,0.09859154929577464
2010,0.14634146341463414,0.7317073170731707,0.12195121951219512
2011,0.18181818181818182,0.7636363636363637,0.05454545454545454
2012,0.08433734939759036,0.8554216867469879,0.060240963855421686
2013,0.16393442622950818,0.726775956284153,0.1092896174863388
2014,0.13125,0.775,0.09375
2015,0.13157894736842105,0.8245614035087719,0.043859649122807015
2016,0.13333333333333333,0.8333333333333334,0.03333333333333333
2017,0.1590909090909091,0.75,0.09090909090909091
