year,pos,neu,neg
1950,0.14285714285714285,0.7714285714285715,0.08571428571428572
1951,0.0,1.0,0.0
1952,0.22018348623853212,0.6880733944954128,0.09174311926605505
1953,0.08928571428571429,0.8392857142857143,0.07142857142857142
1954,0.08536585365853659,0.8170731707317073,0.0975609756097561
1955,0.12121212121212122,0.8484848484848485,0.030303030303030304
1956,0.20833333333333334,0.7222222222222222,0.06944444444444445
1957,0.11320754716981132,0.8301886792452831,0.05660377358490566
1958,0.09523809523809523,0.7142857142857143,0.19047619047619047
1959,0.0,0.8095238095238095,0.19047619047619047
1960,0.09090909090909091,0.7727272727272727,0.13636363636363635
1961,0.14285714285714285,0.8163265306122449,0.04081632653061224
1962,0.08333333333333333,0.7777777777777778,0.1388888888888889
1963,0.15384615384615385,0.8461538461538461,0.0
1964,0.23529411764705882,0.6352941176470588,0.12941176470588237
1965,0.1388888888888889,0.6666666666666666,0.19444444444444445
1966,0.08928571428571429,0.875,0.03571428571428571
1967,0.16363636363636364,0.8,0.03636363636363636
1968,0.10909090909090909,0.7454545454545455,0.14545454545454545
1969,0.22448979591836735,0.6326530612244898,0.14285714285714285
1970,0.13333333333333333,0.8333333333333334,0.03333333333333333
1971,0.19444444444444445,0.6388888888888888,0.16666666666666666
1972,0.2054794520547945,0.6438356164383562,0.1506849315068493
1973,0.3181818181818182,0.6590909090909091,0.022727272727272728
1974,0.11904761904761904,0.7857142857142857,0.09523809523809523
1975,0.2653061224489796,0.6530612244897959,0.08163265306122448
1976,0.22413793103448276,0.7586206896551724,0.017241379310344827
1977,0.23076923076923078,0.7692307692307693,0.0
1978,0.09,0.75,0.16
1979,0.1891891891891892,0.8108108108108109,0.0
1980,0.17073170731707318,0.6341463414634146,0.1951219512195122
1981,0.11363636363636363,0.8181818181818182,0.06818181818181818
1982,0.15789473684210525,0.7368421052631579,0.10526315789473684
1983,0.038461538461538464,0.8846153846153846,0.07692307692307693
1984,0.1111111111111111,0.8666666666666667,0.022222222222222223
1985,0.31746031746031744,0.5873015873015873,0.09523809523809523
1986,0.03636363636363636,0.8727272727272727,0.09090909090909091
1987,0.11965811965811966,0.7521367521367521,0.1282051282051282
1988,0.22972972972972974,0.6756756756756757,0.0945945945945946
1989,0.16666666666666666,0.7291666666666666,0.10416666666666667
1990,0.09722222222222222,0.875,0.027777777777777776
1991,0.23404255319148937,0.7127659574468085,0.05319148936170213
1992,0.19767441860465115,0.686046511627907,0.11627906976744186
1993,0.11428571428571428,0.7619047619047619,0.12380952380952381
1994,0.1926605504587156,0.7798165137614679,0.027522935779816515
1995,0.24528301886792453,0.6415094339622641,0.11320754716981132
1996,0.09722222222222222,0.8055555555555556,0.09722222222222222
1997,0.15337423312883436,0.7914110429447853,0.05521472392638037
1998,0.14666666666666667,0.76,0.09333333333333334
1999,0.2127659574468085,0.7340425531914894,0.05319148936170213
2000,0.1357142857142857,0.8,0.06428571428571428
2001,0.16363636363636364,0.6727272727272727,0.16363636363636364
2002,0.18518518518518517,0.7283950617283951,0.08641975308641975
2003,0.1069182389937107,0.7295597484276729,0.16352201257861634
2004,0.19576719576719576,0.7354497354497355,0.06878306878306878
2005,0.14864864864864866,0.7252252252252253,0.12612612612612611
2006,0.12794612794612795,0.7441077441077442,0.12794612794612795
2007,0.1465798045602606,0.749185667752443,0.10423452768729642
2008,0.14241486068111456,0.7863777089783281,0.07120743034055728
2009,0.15365239294710328,0.7355163727959698,0.11083123425692695
2010,0.1417910447761194,0.7761194029850746,0.08208955223880597
2011,0.1407035175879397,0.7261306532663316,0.13316582914572864
2012,0.17869415807560138,0.711340206185567,0.10996563573883161
2013,0.16912972085385877,0.7389162561576355,0.09195402298850575
2014,0.13210227272727273,0.6960227272727273,0.171875
2015,0.13995215311004786,0.7440191387559809,0.11602870813397129
2016,0.18241042345276873,0.6807817589576547,0.13680781758957655
2017,0.17674418604651163,0.7116279069767442,0.11162790697674418
