year,pos,neu,neg
1950,0.3333333333333333,0.6666666666666666,0.0
1951,0.0,1.0,0.0
1952,0.0,0.75,0.25
1953,0.0,0.5,0.5
1954,0.125,0.75,0.125
1955,0.2222222222222222,0.7777777777777778,0.0
1956,0.14285714285714285,0.8571428571428571,0.0
1957,0.3076923076923077,0.6153846153846154,0.07692307692307693
1958,0.05714285714285714,0.8285714285714286,0.11428571428571428
1959,0.3333333333333333,0.6666666666666666,0.0
1960,0.0,0.8666666666666667,0.13333333333333333
1961,0.07692307692307693,0.8461538461538461,0.07692307692307693
1962,0.1,0.8,0.1
1963,0.1,0.7,0.2
1964,0.2631578947368421,0.631578947368421,0.10526315789473684
1965,0.2,0.4,0.4
1966,0.22580645161290322,0.7096774193548387,0.06451612903225806
1967,0.23076923076923078,0.7692307692307693,0.0
1968,0.05555555555555555,0.7222222222222222,0.2222222222222222
1969,0.08333333333333333,0.75,0.16666666666666666
1970,0.07142857142857142,0.8571428571428571,0.07142857142857142
1971,0.2,0.8,0.0
1972,0.18181818181818182,0.8181818181818182,0.0
1973,0.25,0.75,0.0
1974,0.13333333333333333,0.8,0.06666666666666667
1975,0.38095238095238093,0.6190476190476191,0.0
1976,0.16666666666666666,0.6666666666666666,0.16666666666666666
1977,0.2857142857142857,0.42857142857142855,0.2857142857142857
1978,0.13333333333333333,0.8,0.06666666666666667
1979,0.4166666666666667,0.5,0.08333333333333333
1980,0.16666666666666666,0.6666666666666666,0.16666666666666666
1981,0.1111111111111111,0.8888888888888888,0.0
1982,0.08695652173913043,0.782608695652174,0.13043478260869565
1983,0.08,0.88,0.04
1984,0.05555555555555555,0.7777777777777778,0.16666666666666666
1985,0.15789473684210525,0.7368421052631579,0.10526315789473684
1986,0.3235294117647059,0.47058823529411764,0.20588235294117646
1987,0.19047619047619047,0.7619047619047619,0.047619047619047616
1988,0.25,0.75,0.0
1989,0.2222222222222222,0.6666666666666666,0.1111111111111111
1990,0.13636363636363635,0.7272727272727273,0.13636363636363635
1991,0.1724137931034483,0.6896551724137931,0.13793103448275862
1992,0.08695652173913043,0.9130434782608695,0.0
1993,0.1875,0.75,0.0625
1994,0.3157894736842105,0.6842105263157895,0.0
1995,0.09090909090909091,0.6363636363636364,0.2727272727272727
1996,0.10526315789473684,0.7894736842105263,0.10526315789473684
1997,0.19230769230769232,0.6153846153846154,0.19230769230769232
1998,0.2857142857142857,0.6071428571428571,0.10714285714285714
1999,0.08,0.88,0.04
2000,0.25,0.6730769230769231,0.07692307692307693
2001,0.27419354838709675,0.5967741935483871,0.12903225806451613
2002,0.19402985074626866,0.6865671641791045,0.11940298507462686
2003,0.18867924528301888,0.6415094339622641,0.16981132075471697
2004,0.19718309859154928,0.704225352112676,0.09859154929577464
2005,0.22330097087378642,0.7087378640776699,0.06796116504854369
2006,0.14285714285714285,0.7272727272727273,0.12987012987012986
2007,0.18666666666666668,0.6933333333333334,0.12
2008,0.3132530120481928,0.6746987951807228,0.012048192771084338
2009,0.26277372262773724,0.6642335766423357,0.072992700729927
2010,0.1,0.7333333333333333,0.16666666666666666
2011,0.21014492753623187,0.6956521739130435,0.09420289855072464
2012,0.2072072072072072,0.7027027027027027,0.09009009009009009
2013,0.25396825396825395,0.6904761904761905,0.05555555555555555
2014,0.20388349514563106,0.6893203883495146,0.10679611650485436
2015,0.20481927710843373,0.6987951807228916,0.0963855421686747
2016,0.19469026548672566,0.6991150442477876,0.10619469026548672
2017,0.06976744186046512,0.7674418604651163,0.16279069767441862
