year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,1.0,0.0
1952,0.3333333333333333,0.6666666666666666,0.0
1953,0.0,0.0,0.0
1954,0.0,0.5,0.5
1955,0.0,1.0,0.0
1956,1.0,0.0,0.0
1957,0.0,1.0,0.0
1958,0.0,0.0,0.0
1959,0.0,1.0,0.0
1960,0.0,0.0,1.0
1961,0.0,0.0,1.0
1962,0.0,0.0,0.0
1963,0.0,1.0,0.0
1964,0.3333333333333333,0.6666666666666666,0.0
1965,0.0,1.0,0.0
1966,0.3333333333333333,0.6666666666666666,0.0
1967,0.5,0.5,0.0
1968,0.0,0.4,0.6
1969,0.0,1.0,0.0
1970,0.0,0.0,0.0
1971,0.0,0.5,0.5
1972,0.2,0.8,0.0
1973,0.0,1.0,0.0
1974,0.0,1.0,0.0
1975,0.0,0.75,0.25
1976,0.0,1.0,0.0
1977,0.3333333333333333,0.6666666666666666,0.0
1978,0.2,0.6,0.2
1979,0.0,0.6666666666666666,0.3333333333333333
1980,0.0,1.0,0.0
1981,0.0,1.0,0.0
1982,0.0,1.0,0.0
1983,0.0,1.0,0.0
1984,0.0,0.8571428571428571,0.14285714285714285
1985,0.5,0.5,0.0
1986,0.2857142857142857,0.14285714285714285,0.5714285714285714
1987,0.5,0.25,0.25
1988,0.0,0.75,0.25
1989,0.25,0.75,0.0
1990,0.5,0.5,0.0
1991,0.25,0.5,0.25
1992,0.3333333333333333,0.3333333333333333,0.3333333333333333
1993,0.14285714285714285,0.7142857142857143,0.14285714285714285
1994,0.0,1.0,0.0
1995,0.25,0.75,0.0
1996,0.3333333333333333,0.5,0.16666666666666666
1997,0.2,0.6,0.2
1998,0.0,1.0,0.0
1999,0.16666666666666666,0.8333333333333334,0.0
2000,0.375,0.625,0.0
2001,0.25,0.5,0.25
2002,0.0,0.6666666666666666,0.3333333333333333
2003,0.058823529411764705,0.8823529411764706,0.058823529411764705
2004,0.375,0.625,0.0
2005,0.0,1.0,0.0
2006,0.0,1.0,0.0
2007,0.0,0.8,0.2
2008,0.35714285714285715,0.42857142857142855,0.21428571428571427
2009,0.2,0.7,0.1
2010,0.125,0.75,0.125
2011,0.16666666666666666,0.6666666666666666,0.16666666666666666
2012,0.19047619047619047,0.7142857142857143,0.09523809523809523
2013,0.26666666666666666,0.6666666666666666,0.06666666666666667
2014,0.0,1.0,0.0
2015,0.375,0.5,0.125
2016,0.13793103448275862,0.8275862068965517,0.034482758620689655
2017,0.125,0.75,0.125
