year,pos,neu,neg
1950,0.21761658031088082,0.7098445595854922,0.07253886010362694
1951,0.19248826291079812,0.704225352112676,0.10328638497652583
1952,0.21621621621621623,0.7027027027027027,0.08108108108108109
1953,0.16101694915254236,0.6864406779661016,0.15254237288135594
1954,0.20242914979757085,0.6761133603238867,0.1214574898785425
1955,0.22278481012658227,0.6734177215189874,0.10379746835443038
1956,0.18285714285714286,0.6885714285714286,0.12857142857142856
1957,0.18383838383838383,0.6989898989898989,0.11717171717171718
1958,0.1796875,0.7161458333333334,0.10416666666666667
1959,0.20175438596491227,0.695906432748538,0.1023391812865497
1960,0.18681318681318682,0.695054945054945,0.11813186813186813
1961,0.21019108280254778,0.6847133757961783,0.10509554140127389
1962,0.1837837837837838,0.654054054054054,0.16216216216216217
1963,0.15249266862170088,0.7565982404692082,0.09090909090909091
1964,0.18805309734513273,0.665929203539823,0.14601769911504425
1965,0.18638573743922204,0.6758508914100486,0.13776337115072934
1966,0.2192846034214619,0.640746500777605,0.13996889580093314
1967,0.19787516600265603,0.6387782204515272,0.16334661354581673
1968,0.1793103448275862,0.6982758620689655,0.12241379310344827
1969,0.1992110453648915,0.6824457593688363,0.11834319526627218
1970,0.1756007393715342,0.6950092421441775,0.12939001848428835
1971,0.1991701244813278,0.6493775933609959,0.15145228215767634
1972,0.15904572564612326,0.7157057654075547,0.12524850894632206
1973,0.18299445471349354,0.6802218114602587,0.1367837338262477
1974,0.17330677290836655,0.6812749003984063,0.1454183266932271
1975,0.18401486988847585,0.6672862453531598,0.14869888475836432
1976,0.18200408997955012,0.6298568507157464,0.18813905930470348
1977,0.21649484536082475,0.6185567010309279,0.16494845360824742
1978,0.18236472945891782,0.687374749498998,0.13026052104208416
1979,0.1987179487179487,0.6431623931623932,0.1581196581196581
1980,0.16666666666666666,0.7228915662650602,0.11044176706827309
1981,0.17857142857142858,0.6447368421052632,0.17669172932330826
1982,0.17699115044247787,0.6902654867256637,0.13274336283185842
1983,0.19950738916256158,0.6650246305418719,0.1354679802955665
1984,0.1927710843373494,0.6592082616179001,0.14802065404475043
1985,0.18373493975903615,0.7033132530120482,0.11295180722891567
1986,0.20462046204620463,0.6402640264026402,0.1551155115511551
1987,0.1916971916971917,0.6715506715506715,0.13675213675213677
1988,0.17270531400966183,0.6642512077294686,0.16304347826086957
1989,0.1618705035971223,0.7002398081534772,0.13788968824940048
1990,0.1901639344262295,0.6404371584699453,0.16939890710382513
1991,0.17852161785216178,0.6834030683403068,0.13807531380753138
1992,0.15921787709497207,0.7011173184357542,0.13966480446927373
1993,0.1740176423416199,0.6824378508420208,0.14354450681635927
1994,0.1569767441860465,0.6802325581395349,0.16279069767441862
1995,0.19509981851179672,0.6705989110707804,0.13430127041742287
1996,0.1902654867256637,0.6752212389380531,0.13451327433628318
1997,0.17254901960784313,0.6384313725490196,0.18901960784313726
1998,0.15052950075642965,0.6966717095310136,0.15279878971255673
1999,0.17794316644113667,0.6745602165087957,0.14749661705006767
2000,0.16546762589928057,0.6776978417266187,0.15683453237410072
2001,0.17960339943342776,0.6696883852691218,0.15070821529745043
2002,0.1491681009753299,0.685025817555938,0.16580608146873207
2003,0.16572912159238426,0.6650800519255733,0.1691908264820424
2004,0.16346153846153846,0.6698717948717948,0.16666666666666666
2005,0.1619640894100403,0.6746060828142176,0.16342982777574203
2006,0.17360496014171833,0.6762621789193977,0.15013286093888398
2007,0.1639591990933132,0.6577257272383831,0.17831507366830374
2008,0.16686531585220502,0.6495828367103695,0.1835518474374255
2009,0.15029622700343,0.6891175553476769,0.16058621764889305
2010,0.17018970189701896,0.6753387533875339,0.15447154471544716
2011,0.16446911866759195,0.6641221374045801,0.1714087439278279
2012,0.1672702580353101,0.6738343141693074,0.15889542779538252
2013,0.16721465476749647,0.666744950681071,0.1660403945514326
2014,0.17051255870941393,0.6532570961813355,0.17623034510925056
2015,0.15499106965667792,0.6753324072236555,0.1696765231196666
2016,0.1584548679542767,0.6651556957035869,0.17638943634213639
2017,0.15230263157894736,0.6776315789473685,0.1700657894736842
