year,pos,neu,neg
1950,0.375,0.5,0.125
1951,0.5,0.5,0.0
1952,0.0,1.0,0.0
1953,0.3076923076923077,0.6923076923076923,0.0
1954,0.2,0.8,0.0
1955,0.0,1.0,0.0
1956,0.0,0.9166666666666666,0.08333333333333333
1957,0.0,1.0,0.0
1958,0.5,0.5,0.0
1959,0.0,0.8571428571428571,0.14285714285714285
1960,0.0,0.0,1.0
1961,0.16666666666666666,0.6666666666666666,0.16666666666666666
1962,0.0,1.0,0.0
1963,0.3333333333333333,0.6666666666666666,0.0
1964,0.3333333333333333,0.6666666666666666,0.0
1965,0.25,0.75,0.0
1966,0.0,1.0,0.0
1967,0.25,0.5,0.25
1968,0.0,1.0,0.0
1969,0.0,1.0,0.0
1970,0.0,1.0,0.0
1971,0.0,1.0,0.0
1972,0.0,1.0,0.0
1973,0.0,1.0,0.0
1974,0.0,1.0,0.0
1975,0.2,0.7,0.1
1976,0.5,0.5,0.0
1977,0.25,0.75,0.0
1978,0.5,0.5,0.0
1979,0.0,1.0,0.0
1980,0.5714285714285714,0.2857142857142857,0.14285714285714285
1981,0.3333333333333333,0.6666666666666666,0.0
1982,0.1111111111111111,0.8888888888888888,0.0
1983,0.0,1.0,0.0
1984,0.0,0.0,0.0
1985,0.2,0.8,0.0
1986,0.0,1.0,0.0
1987,0.0,1.0,0.0
1988,0.0,1.0,0.0
1989,0.034482758620689655,0.9655172413793104,0.0
1990,0.11764705882352941,0.8823529411764706,0.0
1991,0.0,1.0,0.0
1992,0.25,0.75,0.0
1993,0.0,0.5,0.5
1994,0.0,1.0,0.0
1995,0.0,0.8333333333333334,0.16666666666666666
1996,0.3333333333333333,0.6666666666666666,0.0
1997,0.0,0.0,0.0
1998,0.0,0.6,0.4
1999,0.25,0.75,0.0
2000,0.2,0.8,0.0
2001,0.14285714285714285,0.8571428571428571,0.0
2002,1.0,0.0,0.0
2003,0.0,0.75,0.25
2004,0.1111111111111111,0.6666666666666666,0.2222222222222222
2005,0.0,0.5,0.5
2006,0.0,1.0,0.0
2007,0.1,0.9,0.0
2008,0.125,0.875,0.0
2009,0.1111111111111111,0.7777777777777778,0.1111111111111111
2010,0.5,0.5,0.0
2011,0.3333333333333333,0.6666666666666666,0.0
2012,0.2727272727272727,0.7272727272727273,0.0
2013,0.16666666666666666,0.7222222222222222,0.1111111111111111
2014,0.15384615384615385,0.7692307692307693,0.07692307692307693
2015,0.1111111111111111,0.8888888888888888,0.0
2016,0.3333333333333333,0.6666666666666666,0.0
2017,0.0,1.0,0.0
