year,pos,neu,neg
1950,0.05714285714285714,0.8285714285714286,0.11428571428571428
1951,0.08571428571428572,0.8,0.11428571428571428
1952,0.2033898305084746,0.7457627118644068,0.05084745762711865
1953,0.1875,0.7708333333333334,0.041666666666666664
1954,0.17857142857142858,0.6964285714285714,0.125
1955,0.17073170731707318,0.7560975609756098,0.07317073170731707
1956,0.14666666666666667,0.72,0.13333333333333333
1957,0.14615384615384616,0.6923076923076923,0.16153846153846155
1958,0.20588235294117646,0.7058823529411765,0.08823529411764706
1959,0.14,0.74,0.12
1960,0.13559322033898305,0.7796610169491526,0.0847457627118644
1961,0.17391304347826086,0.7608695652173914,0.06521739130434782
1962,0.14772727272727273,0.7159090909090909,0.13636363636363635
1963,0.1566265060240964,0.7349397590361446,0.10843373493975904
1964,0.14285714285714285,0.7857142857142857,0.07142857142857142
1965,0.23178807947019867,0.6423841059602649,0.12582781456953643
1966,0.1590909090909091,0.7840909090909091,0.056818181818181816
1967,0.16666666666666666,0.7142857142857143,0.11904761904761904
1968,0.16666666666666666,0.6875,0.14583333333333334
1969,0.15217391304347827,0.7282608695652174,0.11956521739130435
1970,0.1919191919191919,0.6666666666666666,0.1414141414141414
1971,0.125,0.7291666666666666,0.14583333333333334
1972,0.1282051282051282,0.7051282051282052,0.16666666666666666
1973,0.16304347826086957,0.6847826086956522,0.15217391304347827
1974,0.12686567164179105,0.7014925373134329,0.17164179104477612
1975,0.16393442622950818,0.7131147540983607,0.12295081967213115
1976,0.1885245901639344,0.6885245901639344,0.12295081967213115
1977,0.19230769230769232,0.75,0.057692307692307696
1978,0.10795454545454546,0.7386363636363636,0.1534090909090909
1979,0.10096153846153846,0.7019230769230769,0.1971153846153846
1980,0.18452380952380953,0.6547619047619048,0.16071428571428573
1981,0.14130434782608695,0.6956521739130435,0.16304347826086957
1982,0.20175438596491227,0.6754385964912281,0.12280701754385964
1983,0.23008849557522124,0.6548672566371682,0.11504424778761062
1984,0.13875598086124402,0.7129186602870813,0.14832535885167464
1985,0.2146341463414634,0.6585365853658537,0.12682926829268293
1986,0.19597989949748743,0.6733668341708543,0.1306532663316583
1987,0.17479674796747968,0.7479674796747967,0.07723577235772358
1988,0.1592356687898089,0.7515923566878981,0.08917197452229299
1989,0.19393939393939394,0.7151515151515152,0.09090909090909091
1990,0.16470588235294117,0.6470588235294118,0.18823529411764706
1991,0.18478260869565216,0.717391304347826,0.09782608695652174
1992,0.21311475409836064,0.6885245901639344,0.09836065573770492
1993,0.15348837209302327,0.6976744186046512,0.14883720930232558
1994,0.12355212355212356,0.7644787644787645,0.11196911196911197
1995,0.16844919786096257,0.7085561497326203,0.12299465240641712
1996,0.16576086956521738,0.6983695652173914,0.1358695652173913
1997,0.13846153846153847,0.6989010989010989,0.16263736263736264
1998,0.15789473684210525,0.6921052631578948,0.15
1999,0.13186813186813187,0.7271062271062271,0.14102564102564102
2000,0.14731585518102372,0.7203495630461922,0.132334581772784
2001,0.14349775784753363,0.7443946188340808,0.11210762331838565
2002,0.14814814814814814,0.7342995169082126,0.11755233494363929
2003,0.15655577299412915,0.7201565557729941,0.1232876712328767
2004,0.1657848324514991,0.7142857142857143,0.11992945326278659
2005,0.14285714285714285,0.7469879518072289,0.11015490533562823
2006,0.15013774104683195,0.7107438016528925,0.13911845730027547
2007,0.14516129032258066,0.7293906810035843,0.12544802867383512
2008,0.20192307692307693,0.6746794871794872,0.1233974358974359
2009,0.15968586387434555,0.7264397905759162,0.11387434554973822
2010,0.1606886657101865,0.6929698708751794,0.14634146341463414
2011,0.17331670822942644,0.6982543640897756,0.128428927680798
2012,0.19322709163346613,0.6882470119521913,0.11852589641434264
2013,0.16145181476846057,0.7321652065081352,0.10638297872340426
2014,0.2012847965738758,0.6820128479657388,0.11670235546038545
2015,0.19850586979722518,0.6969050160085379,0.10458911419423693
2016,0.16301239275500476,0.7273593898951383,0.109628217349857
2017,0.16353383458646617,0.7706766917293233,0.06578947368421052
