year,pos,neu,neg
1950,0.0,1.0,0.0
1951,0.0,0.0,0.0
1952,0.0,0.0,0.0
1953,0.0,0.0,0.0
1954,0.0,0.0,0.0
1955,0.0,0.0,0.0
1956,0.0,0.0,0.0
1957,0.0,0.0,0.0
1958,0.0,1.0,0.0
1959,0.0,0.75,0.25
1960,0.0,1.0,0.0
1961,0.0,1.0,0.0
1962,0.0,1.0,0.0
1963,0.0,1.0,0.0
1964,0.0,0.0,0.0
1965,0.0,0.0,0.0
1966,0.0,1.0,0.0
1967,0.0,0.0,0.0
1968,0.0,1.0,0.0
1969,0.0,1.0,0.0
1970,0.0,0.0,1.0
1971,0.0,0.0,0.0
1972,0.0,1.0,0.0
1973,0.0,1.0,0.0
1974,0.0,1.0,0.0
1975,0.0,0.0,0.0
1976,0.5,0.5,0.0
1977,0.0,0.0,0.0
1978,0.0,0.0,0.0
1979,0.0,0.0,1.0
1980,0.0,1.0,0.0
1981,0.0,1.0,0.0
1982,0.0,0.0,0.0
1983,0.0,1.0,0.0
1984,0.0,1.0,0.0
1985,0.2,0.8,0.0
1986,0.0,0.6,0.4
1987,0.0,0.0,0.0
1988,0.0,1.0,0.0
1989,0.16666666666666666,0.8333333333333334,0.0
1990,0.0,1.0,0.0
1991,0.0,1.0,0.0
1992,0.0,0.8571428571428571,0.14285714285714285
1993,0.0,1.0,0.0
1994,0.1,0.8,0.1
1995,0.25,0.75,0.0
1996,0.125,0.625,0.25
1997,0.0,0.625,0.375
1998,0.0,1.0,0.0
1999,0.0,0.75,0.25
2000,0.07142857142857142,0.5,0.42857142857142855
2001,0.0,1.0,0.0
2002,0.0,0.6666666666666666,0.3333333333333333
2003,0.0,1.0,0.0
2004,0.14285714285714285,0.7142857142857143,0.14285714285714285
2005,0.25,0.6666666666666666,0.08333333333333333
2006,0.19230769230769232,0.7692307692307693,0.038461538461538464
2007,0.2727272727272727,0.7272727272727273,0.0
2008,0.23529411764705882,0.7058823529411765,0.058823529411764705
2009,0.0967741935483871,0.7096774193548387,0.1935483870967742
2010,0.2727272727272727,0.5454545454545454,0.18181818181818182
2011,0.0,1.0,0.0
2012,0.14285714285714285,0.6071428571428571,0.25
2013,0.09090909090909091,0.7575757575757576,0.15151515151515152
2014,0.047619047619047616,0.8095238095238095,0.14285714285714285
2015,0.15625,0.6875,0.15625
2016,0.2857142857142857,0.42857142857142855,0.2857142857142857
2017,0.15384615384615385,0.46153846153846156,0.38461538461538464
