year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,0.0,0.0
1952,0.0,0.0,1.0
1953,0.0,0.0,1.0
1954,0.0,0.0,0.0
1955,0.0,0.0,1.0
1956,0.0,0.0,1.0
1957,0.0,0.0,0.0
1958,0.0,0.0,0.0
1959,0.0,0.0,1.0
1960,0.0,0.5,0.5
1961,1.0,0.0,0.0
1962,0.0,0.5,0.5
1963,0.0,0.0,1.0
1964,0.5,0.5,0.0
1965,0.0,0.0,0.0
1966,0.0,0.0,1.0
1967,0.0,0.0,1.0
1968,0.0,0.0,1.0
1969,0.0,0.0,0.0
1970,0.0,0.0,1.0
1971,0.5,0.0,0.5
1972,0.0,0.42857142857142855,0.5714285714285714
1973,0.0,0.3333333333333333,0.6666666666666666
1974,0.0,0.0,1.0
1975,0.0,0.0,0.0
1976,0.0,0.0,1.0
1977,0.0,0.0,1.0
1978,0.0,0.0,0.0
1979,0.2,0.2,0.6
1980,0.0,0.0,1.0
1981,0.0,0.0,1.0
1982,0.0,0.0,0.0
1983,0.0,0.0,0.0
1984,0.0,0.0,1.0
1985,0.0,0.3333333333333333,0.6666666666666666
1986,0.0,0.0,1.0
1987,0.0,0.0,1.0
1988,0.0,0.0,1.0
1989,0.0,0.0,1.0
1990,0.0,0.0,1.0
1991,0.0,0.0,1.0
1992,0.0,0.0,1.0
1993,0.2,0.0,0.8
1994,0.0,0.16666666666666666,0.8333333333333334
1995,0.125,0.25,0.625
1996,0.0,0.0,1.0
1997,0.125,0.0,0.875
1998,0.0,0.0,1.0
1999,0.125,0.25,0.625
2000,0.125,0.125,0.75
2001,0.043478260869565216,0.30434782608695654,0.6521739130434783
2002,0.0,0.1111111111111111,0.8888888888888888
2003,0.09090909090909091,0.18181818181818182,0.7272727272727273
2004,0.0,0.125,0.875
2005,0.0,0.2222222222222222,0.7777777777777778
2006,0.0,0.19230769230769232,0.8076923076923077
2007,0.023255813953488372,0.18604651162790697,0.7906976744186046
2008,0.0,0.09090909090909091,0.9090909090909091
2009,0.0,0.17391304347826086,0.8260869565217391
2010,0.0,0.15789473684210525,0.8421052631578947
2011,0.0,0.13157894736842105,0.868421052631579
2012,0.09090909090909091,0.13636363636363635,0.7727272727272727
2013,0.06666666666666667,0.23333333333333334,0.7
2014,0.0,0.15151515151515152,0.8484848484848485
2015,0.04081632653061224,0.1836734693877551,0.7755102040816326
2016,0.1,0.06666666666666667,0.8333333333333334
2017,0.0,0.20833333333333334,0.7916666666666666
