year,pos,neu,neg
1950,0.0,1.0,0.0
1951,0.0,0.0,0.0
1952,0.0,0.0,0.0
1953,0.0,1.0,0.0
1954,0.0,0.0,0.0
1955,0.0,1.0,0.0
1956,0.0,0.0,0.0
1957,0.0,1.0,0.0
1958,0.16666666666666666,0.8333333333333334,0.0
1959,0.0,1.0,0.0
1960,0.08333333333333333,0.9166666666666666,0.0
1961,0.3333333333333333,0.6666666666666666,0.0
1962,0.0,1.0,0.0
1963,0.0,1.0,0.0
1964,0.0,1.0,0.0
1965,0.0,1.0,0.0
1966,0.0,1.0,0.0
1967,0.0,1.0,0.0
1968,0.0,1.0,0.0
1969,0.0,1.0,0.0
1970,0.09090909090909091,0.9090909090909091,0.0
1971,0.09375,0.875,0.03125
1972,0.07142857142857142,0.9285714285714286,0.0
1973,0.16,0.8,0.04
1974,0.05,0.9,0.05
1975,0.1,0.9,0.0
1976,0.125,0.75,0.125
1977,0.0,1.0,0.0
1978,0.0,1.0,0.0
1979,0.16666666666666666,0.8333333333333334,0.0
1980,0.07142857142857142,0.8571428571428571,0.07142857142857142
1981,0.13725490196078433,0.7450980392156863,0.11764705882352941
1982,0.12962962962962962,0.8518518518518519,0.018518518518518517
1983,0.13043478260869565,0.8115942028985508,0.057971014492753624
1984,0.14754098360655737,0.8524590163934426,0.0
1985,0.10416666666666667,0.7708333333333334,0.125
1986,0.2222222222222222,0.6296296296296297,0.14814814814814814
1987,0.14634146341463414,0.8292682926829268,0.024390243902439025
1988,0.0,1.0,0.0
1989,0.0,0.8571428571428571,0.14285714285714285
1990,0.14285714285714285,0.7142857142857143,0.14285714285714285
1991,0.3,0.7,0.0
1992,0.0,1.0,0.0
1993,0.21428571428571427,0.5714285714285714,0.21428571428571427
1994,0.15384615384615385,0.8461538461538461,0.0
1995,0.16666666666666666,0.8333333333333334,0.0
1996,0.0,0.0,1.0
1997,0.0,0.8125,0.1875
1998,0.06666666666666667,0.9333333333333333,0.0
1999,0.0,1.0,0.0
2000,0.2222222222222222,0.6666666666666666,0.1111111111111111
2001,0.0625,0.9375,0.0
2002,0.10714285714285714,0.8571428571428571,0.03571428571428571
2003,0.17391304347826086,0.7391304347826086,0.08695652173913043
2004,0.09302325581395349,0.7441860465116279,0.16279069767441862
2005,0.0975609756097561,0.8292682926829268,0.07317073170731707
2006,0.11764705882352941,0.8235294117647058,0.058823529411764705
2007,0.11688311688311688,0.8051948051948052,0.07792207792207792
2008,0.045871559633027525,0.8256880733944955,0.12844036697247707
2009,0.075,0.7875,0.1375
2010,0.10294117647058823,0.8382352941176471,0.058823529411764705
2011,0.0967741935483871,0.8548387096774194,0.04838709677419355
2012,0.08,0.8533333333333334,0.06666666666666667
2013,0.10891089108910891,0.7821782178217822,0.10891089108910891
2014,0.16049382716049382,0.7901234567901234,0.04938271604938271
2015,0.11827956989247312,0.8494623655913979,0.03225806451612903
2016,0.09195402298850575,0.7816091954022989,0.12643678160919541
2017,0.03389830508474576,0.9152542372881356,0.05084745762711865
