year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,0.0,0.0
1952,0.2857142857142857,0.6785714285714286,0.03571428571428571
1953,0.0,1.0,0.0
1954,0.0,0.0,0.0
1955,0.0,0.0,0.0
1956,0.0,1.0,0.0
1957,0.0,0.0,0.0
1958,0.0,0.0,0.0
1959,1.0,0.0,0.0
1960,0.0,0.0,0.0
1961,0.0,0.0,0.0
1962,0.0,1.0,0.0
1963,0.0,0.0,0.0
1964,0.0,0.0,0.0
1965,0.1111111111111111,0.7777777777777778,0.1111111111111111
1966,0.0,0.0,0.0
1967,0.0,0.0,0.0
1968,0.25,0.75,0.0
1969,0.5,0.5,0.0
1970,0.0,0.0,0.0
1971,0.0,0.0,0.0
1972,0.0,0.0,0.0
1973,0.0,0.0,0.0
1974,0.0,1.0,0.0
1975,0.0,1.0,0.0
1976,0.0,0.5,0.5
1977,0.0,0.0,0.0
1978,0.0,0.6,0.4
1979,0.0,0.75,0.25
1980,0.0,1.0,0.0
1981,0.0,1.0,0.0
1982,0.0,0.0,0.0
1983,0.0,0.0,0.0
1984,0.0,0.0,0.0
1985,0.5,0.5,0.0
1986,0.5,0.5,0.0
1987,0.0,0.8333333333333334,0.16666666666666666
1988,1.0,0.0,0.0
1989,0.0,1.0,0.0
1990,0.3333333333333333,0.6666666666666666,0.0
1991,0.6,0.4,0.0
1992,0.0,1.0,0.0
1993,0.16666666666666666,0.6666666666666666,0.16666666666666666
1994,0.3333333333333333,0.6666666666666666,0.0
1995,0.3333333333333333,0.6666666666666666,0.0
1996,0.4,0.6,0.0
1997,0.0,0.5,0.5
1998,0.2,0.6,0.2
1999,0.0,0.0,0.0
2000,0.2,0.7,0.1
2001,0.1,0.9,0.0
2002,0.0,0.6,0.4
2003,0.21052631578947367,0.7894736842105263,0.0
2004,0.4166666666666667,0.5,0.08333333333333333
2005,0.05,0.95,0.0
2006,0.09090909090909091,0.8181818181818182,0.09090909090909091
2007,0.06666666666666667,0.6888888888888889,0.24444444444444444
2008,0.0,0.875,0.125
2009,0.0,0.7272727272727273,0.2727272727272727
2010,0.03571428571428571,0.9285714285714286,0.03571428571428571
2011,0.18181818181818182,0.7272727272727273,0.09090909090909091
2012,0.10869565217391304,0.7391304347826086,0.15217391304347827
2013,0.10526315789473684,0.7894736842105263,0.10526315789473684
2014,0.15555555555555556,0.7333333333333333,0.1111111111111111
2015,0.057692307692307696,0.7692307692307693,0.17307692307692307
2016,0.09523809523809523,0.8571428571428571,0.047619047619047616
2017,0.17647058823529413,0.5294117647058824,0.29411764705882354
