year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,1.0,0.0
1952,0.0,0.0,0.0
1953,0.0,0.0,1.0
1954,0.0,0.0,0.0
1955,0.0,0.0,0.0
1956,0.0,1.0,0.0
1957,0.3333333333333333,0.6666666666666666,0.0
1958,0.0,0.7,0.3
1959,0.0,1.0,0.0
1960,0.0,0.0,0.0
1961,0.14285714285714285,0.7142857142857143,0.14285714285714285
1962,0.0,0.0,0.0
1963,0.0,0.0,0.0
1964,0.0,0.0,1.0
1965,0.0,1.0,0.0
1966,0.0,0.0,0.0
1967,0.16666666666666666,0.8333333333333334,0.0
1968,0.0,0.0,1.0
1969,0.0,0.5,0.5
1970,0.0,0.0,0.0
1971,0.0,0.0,0.0
1972,0.16666666666666666,0.6666666666666666,0.16666666666666666
1973,0.0,0.8,0.2
1974,0.0,1.0,0.0
1975,0.5,0.5,0.0
1976,0.0,1.0,0.0
1977,0.0,0.8,0.2
1978,0.0,0.0,0.0
1979,0.0,0.0,0.0
1980,0.12903225806451613,0.8387096774193549,0.03225806451612903
1981,0.0,1.0,0.0
1982,0.0,0.0,0.0
1983,0.0,0.0,0.0
1984,0.2,0.8,0.0
1985,0.0,1.0,0.0
1986,0.0,1.0,0.0
1987,0.2,0.8,0.0
1988,0.0,1.0,0.0
1989,0.0,1.0,0.0
1990,0.0,1.0,0.0
1991,0.0,1.0,0.0
1992,0.0,1.0,0.0
1993,0.0,1.0,0.0
1994,0.25,0.5,0.25
1995,0.047619047619047616,0.8571428571428571,0.09523809523809523
1996,0.0,0.8,0.2
1997,0.2727272727272727,0.7272727272727273,0.0
1998,0.0,1.0,0.0
1999,0.5,0.5,0.0
2000,0.14285714285714285,0.8571428571428571,0.0
2001,0.0,0.0,1.0
2002,0.5,0.5,0.0
2003,0.0,1.0,0.0
2004,0.0,1.0,0.0
2005,0.5,0.5,0.0
2006,0.25,0.7083333333333334,0.041666666666666664
2007,0.2,0.6,0.2
2008,0.16666666666666666,0.6666666666666666,0.16666666666666666
2009,0.0,0.9285714285714286,0.07142857142857142
2010,0.25,0.75,0.0
2011,0.23076923076923078,0.6923076923076923,0.07692307692307693
2012,0.16666666666666666,0.5,0.3333333333333333
2013,0.1111111111111111,0.8611111111111112,0.027777777777777776
2014,0.18181818181818182,0.45454545454545453,0.36363636363636365
2015,0.0,1.0,0.0
2016,0.2903225806451613,0.6451612903225806,0.06451612903225806
2017,0.2631578947368421,0.6842105263157895,0.05263157894736842
