year,pos,neu,neg
1950,0.32,0.6,0.08
1951,0.2,0.8,0.0
1952,0.09090909090909091,0.7272727272727273,0.18181818181818182
1953,0.14285714285714285,0.8571428571428571,0.0
1954,0.2857142857142857,0.6428571428571429,0.07142857142857142
1955,0.13333333333333333,0.8,0.06666666666666667
1956,0.21739130434782608,0.6086956521739131,0.17391304347826086
1957,0.20833333333333334,0.7083333333333334,0.08333333333333333
1958,0.1724137931034483,0.7586206896551724,0.06896551724137931
1959,0.3076923076923077,0.5641025641025641,0.1282051282051282
1960,0.3157894736842105,0.5789473684210527,0.10526315789473684
1961,0.36363636363636365,0.5454545454545454,0.09090909090909091
1962,0.125,0.7,0.175
1963,0.20454545454545456,0.7045454545454546,0.09090909090909091
1964,0.1891891891891892,0.7837837837837838,0.02702702702702703
1965,0.13725490196078433,0.7843137254901961,0.0784313725490196
1966,0.08823529411764706,0.8529411764705882,0.058823529411764705
1967,0.2,0.7636363636363637,0.03636363636363636
1968,0.16981132075471697,0.7547169811320755,0.07547169811320754
1969,0.11627906976744186,0.813953488372093,0.06976744186046512
1970,0.24324324324324326,0.5945945945945946,0.16216216216216217
1971,0.1282051282051282,0.8461538461538461,0.02564102564102564
1972,0.1388888888888889,0.75,0.1111111111111111
1973,0.14545454545454545,0.7818181818181819,0.07272727272727272
1974,0.11538461538461539,0.7692307692307693,0.11538461538461539
1975,0.09302325581395349,0.7441860465116279,0.16279069767441862
1976,0.15217391304347827,0.717391304347826,0.13043478260869565
1977,0.13725490196078433,0.7450980392156863,0.11764705882352941
1978,0.05128205128205128,0.8974358974358975,0.05128205128205128
1979,0.06666666666666667,0.8,0.13333333333333333
1980,0.1791044776119403,0.7313432835820896,0.08955223880597014
1981,0.16666666666666666,0.7142857142857143,0.11904761904761904
1982,0.23529411764705882,0.7254901960784313,0.0392156862745098
1983,0.21875,0.6875,0.09375
1984,0.13725490196078433,0.7058823529411765,0.1568627450980392
1985,0.17857142857142858,0.6607142857142857,0.16071428571428573
1986,0.16455696202531644,0.7341772151898734,0.10126582278481013
1987,0.12121212121212122,0.8181818181818182,0.06060606060606061
1988,0.13592233009708737,0.7669902912621359,0.0970873786407767
1989,0.10344827586206896,0.7586206896551724,0.13793103448275862
1990,0.14634146341463414,0.7560975609756098,0.0975609756097561
1991,0.16129032258064516,0.8064516129032258,0.03225806451612903
1992,0.08064516129032258,0.8387096774193549,0.08064516129032258
1993,0.1935483870967742,0.7741935483870968,0.03225806451612903
1994,0.1523809523809524,0.7904761904761904,0.05714285714285714
1995,0.12371134020618557,0.7216494845360825,0.15463917525773196
1996,0.12149532710280374,0.822429906542056,0.056074766355140186
1997,0.128,0.768,0.104
1998,0.12612612612612611,0.8108108108108109,0.06306306306306306
1999,0.1774193548387097,0.7258064516129032,0.0967741935483871
2000,0.1095890410958904,0.8493150684931506,0.0410958904109589
2001,0.13432835820895522,0.7313432835820896,0.13432835820895522
2002,0.12345679012345678,0.7777777777777778,0.09876543209876543
2003,0.16560509554140126,0.7579617834394905,0.07643312101910828
2004,0.14444444444444443,0.7111111111111111,0.14444444444444443
2005,0.12921348314606743,0.7415730337078652,0.12921348314606743
2006,0.17613636363636365,0.6988636363636364,0.125
2007,0.1509433962264151,0.7660377358490567,0.0830188679245283
2008,0.16129032258064516,0.7580645161290323,0.08064516129032258
2009,0.16740088105726872,0.73568281938326,0.09691629955947137
2010,0.13414634146341464,0.7967479674796748,0.06910569105691057
2011,0.15985130111524162,0.7360594795539034,0.10408921933085502
2012,0.1532567049808429,0.7279693486590039,0.11877394636015326
2013,0.12987012987012986,0.7857142857142857,0.08441558441558442
2014,0.1182108626198083,0.7699680511182109,0.11182108626198083
2015,0.14869888475836432,0.7657992565055762,0.08550185873605948
2016,0.11522633744855967,0.7407407407407407,0.1440329218106996
2017,0.1276595744680851,0.7304964539007093,0.14184397163120568
