year,pos,neu,neg
1950,0.3333333333333333,0.6666666666666666,0.0
1951,1.0,0.0,0.0
1952,0.0,1.0,0.0
1953,0.0,0.0,0.0
1954,0.0,0.0,0.0
1955,0.0,0.0,0.0
1956,1.0,0.0,0.0
1957,0.5,0.5,0.0
1958,0.0,0.0,0.0
1959,0.3333333333333333,0.3333333333333333,0.3333333333333333
1960,0.0,1.0,0.0
1961,0.2,0.6,0.2
1962,0.5,0.5,0.0
1963,0.3333333333333333,0.6666666666666666,0.0
1964,0.0,0.0,0.0
1965,0.42857142857142855,0.5714285714285714,0.0
1966,0.0,0.0,0.0
1967,0.25,0.75,0.0
1968,0.0,0.8888888888888888,0.1111111111111111
1969,0.0,0.5,0.5
1970,0.25,0.75,0.0
1971,0.16666666666666666,0.6666666666666666,0.16666666666666666
1972,1.0,0.0,0.0
1973,0.0,1.0,0.0
1974,1.0,0.0,0.0
1975,0.0,1.0,0.0
1976,0.0,1.0,0.0
1977,0.25,0.5,0.25
1978,0.0,1.0,0.0
1979,0.0,0.0,1.0
1980,0.0,1.0,0.0
1981,0.0,0.0,0.0
1982,0.0,1.0,0.0
1983,0.0,1.0,0.0
1984,0.3333333333333333,0.6666666666666666,0.0
1985,0.0,1.0,0.0
1986,0.0,0.8,0.2
1987,0.0,0.0,0.0
1988,0.0,1.0,0.0
1989,0.5,0.25,0.25
1990,0.0,1.0,0.0
1991,1.0,0.0,0.0
1992,0.25,0.75,0.0
1993,0.0,0.5,0.5
1994,0.0,1.0,0.0
1995,0.0,1.0,0.0
1996,0.0,0.25,0.75
1997,0.0,1.0,0.0
1998,0.0,0.8333333333333334,0.16666666666666666
1999,0.3333333333333333,0.3333333333333333,0.3333333333333333
2000,0.5,0.5,0.0
2001,0.16666666666666666,0.8333333333333334,0.0
2002,0.13953488372093023,0.6744186046511628,0.18604651162790697
2003,0.0,1.0,0.0
2004,0.0,0.9444444444444444,0.05555555555555555
2005,0.0,0.8571428571428571,0.14285714285714285
2006,0.1111111111111111,0.7777777777777778,0.1111111111111111
2007,0.5,0.5,0.0
2008,0.2222222222222222,0.7777777777777778,0.0
2009,0.1111111111111111,0.7777777777777778,0.1111111111111111
2010,0.2,0.8,0.0
2011,0.058823529411764705,0.8823529411764706,0.058823529411764705
2012,0.0,0.8888888888888888,0.1111111111111111
2013,0.0,1.0,0.0
2014,0.45454545454545453,0.5454545454545454,0.0
2015,0.2857142857142857,0.5714285714285714,0.14285714285714285
2016,0.3333333333333333,0.6666666666666666,0.0
2017,0.0,0.5,0.5
