year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,1.0,0.0
1952,0.0,0.0,1.0
1953,0.0,1.0,0.0
1954,0.0,0.0,0.0
1955,1.0,0.0,0.0
1956,0.0,1.0,0.0
1957,0.1111111111111111,0.5555555555555556,0.3333333333333333
1958,0.0,1.0,0.0
1959,0.0,1.0,0.0
1960,0.0,0.0,1.0
1961,0.0,0.8181818181818182,0.18181818181818182
1962,0.0,1.0,0.0
1963,0.3333333333333333,0.6666666666666666,0.0
1964,0.0,1.0,0.0
1965,0.42857142857142855,0.5714285714285714,0.0
1966,1.0,0.0,0.0
1967,0.18181818181818182,0.6363636363636364,0.18181818181818182
1968,0.0,0.75,0.25
1969,0.0,1.0,0.0
1970,0.3333333333333333,0.3333333333333333,0.3333333333333333
1971,0.0,1.0,0.0
1972,0.16666666666666666,0.8333333333333334,0.0
1973,0.0,0.5,0.5
1974,0.2,0.6,0.2
1975,0.5,0.5,0.0
1976,0.2,0.7,0.1
1977,0.0,1.0,0.0
1978,0.0,1.0,0.0
1979,0.5,0.5,0.0
1980,0.1,0.7,0.2
1981,0.0,1.0,0.0
1982,0.0,0.6666666666666666,0.3333333333333333
1983,0.0,0.0,0.0
1984,0.25,0.75,0.0
1985,0.2222222222222222,0.7777777777777778,0.0
1986,0.0,0.875,0.125
1987,0.0,0.5,0.5
1988,0.0,0.7777777777777778,0.2222222222222222
1989,0.0,1.0,0.0
1990,0.16666666666666666,0.6666666666666666,0.16666666666666666
1991,0.0,1.0,0.0
1992,0.0,1.0,0.0
1993,0.0,0.8571428571428571,0.14285714285714285
1994,0.2,0.6,0.2
1995,0.0,1.0,0.0
1996,0.0,0.875,0.125
1997,0.35714285714285715,0.5714285714285714,0.07142857142857142
1998,0.3333333333333333,0.6666666666666666,0.0
1999,0.16666666666666666,0.6666666666666666,0.16666666666666666
2000,0.2222222222222222,0.5555555555555556,0.2222222222222222
2001,0.23076923076923078,0.46153846153846156,0.3076923076923077
2002,0.5,0.5,0.0
2003,0.3333333333333333,0.6666666666666666,0.0
2004,0.11764705882352941,0.5294117647058824,0.35294117647058826
2005,0.17391304347826086,0.6956521739130435,0.13043478260869565
2006,0.0625,0.875,0.0625
2007,0.14285714285714285,0.6857142857142857,0.17142857142857143
2008,0.21052631578947367,0.631578947368421,0.15789473684210525
2009,0.21052631578947367,0.7894736842105263,0.0
2010,0.20833333333333334,0.625,0.16666666666666666
2011,0.15151515151515152,0.6666666666666666,0.18181818181818182
2012,0.125,0.625,0.25
2013,0.1111111111111111,0.6296296296296297,0.25925925925925924
2014,0.09523809523809523,0.8095238095238095,0.09523809523809523
2015,0.03333333333333333,0.6666666666666666,0.3
2016,0.06060606060606061,0.6666666666666666,0.2727272727272727
2017,0.25,0.75,0.0
