year,pos,neu,neg
1950,0.16666666666666666,0.7222222222222222,0.1111111111111111
1951,0.1,0.85,0.05
1952,0.38095238095238093,0.5238095238095238,0.09523809523809523
1953,0.2857142857142857,0.5714285714285714,0.14285714285714285
1954,0.13333333333333333,0.8,0.06666666666666667
1955,0.2,0.7,0.1
1956,0.047619047619047616,0.7619047619047619,0.19047619047619047
1957,0.0,0.8888888888888888,0.1111111111111111
1958,0.23529411764705882,0.7058823529411765,0.058823529411764705
1959,0.125,0.75,0.125
1960,0.3125,0.625,0.0625
1961,0.14285714285714285,0.8095238095238095,0.047619047619047616
1962,0.35294117647058826,0.47058823529411764,0.17647058823529413
1963,0.12,0.84,0.04
1964,0.15384615384615385,0.7692307692307693,0.07692307692307693
1965,0.18518518518518517,0.7407407407407407,0.07407407407407407
1966,0.2222222222222222,0.6666666666666666,0.1111111111111111
1967,0.46875,0.5,0.03125
1968,0.36363636363636365,0.45454545454545453,0.18181818181818182
1969,0.3125,0.625,0.0625
1970,0.2222222222222222,0.6666666666666666,0.1111111111111111
1971,0.16666666666666666,0.5833333333333334,0.25
1972,0.3125,0.625,0.0625
1973,0.13043478260869565,0.782608695652174,0.08695652173913043
1974,0.0,0.95,0.05
1975,0.14285714285714285,0.8571428571428571,0.0
1976,0.19642857142857142,0.6428571428571429,0.16071428571428573
1977,0.32,0.56,0.12
1978,0.42857142857142855,0.5,0.07142857142857142
1979,0.25,0.7,0.05
1980,0.25,0.7083333333333334,0.041666666666666664
1981,0.375,0.625,0.0
1982,0.3333333333333333,0.5555555555555556,0.1111111111111111
1983,0.10344827586206896,0.7931034482758621,0.10344827586206896
1984,0.16216216216216217,0.7837837837837838,0.05405405405405406
1985,0.24444444444444444,0.7111111111111111,0.044444444444444446
1986,0.1875,0.65625,0.15625
1987,0.13333333333333333,0.8,0.06666666666666667
1988,0.0967741935483871,0.8387096774193549,0.06451612903225806
1989,0.32432432432432434,0.6486486486486487,0.02702702702702703
1990,0.3333333333333333,0.6363636363636364,0.030303030303030304
1991,0.14285714285714285,0.8214285714285714,0.03571428571428571
1992,0.23529411764705882,0.6470588235294118,0.11764705882352941
1993,0.20689655172413793,0.6896551724137931,0.10344827586206896
1994,0.075,0.825,0.1
1995,0.1568627450980392,0.7254901960784313,0.11764705882352941
1996,0.15517241379310345,0.8275862068965517,0.017241379310344827
1997,0.14285714285714285,0.7142857142857143,0.14285714285714285
1998,0.07894736842105263,0.868421052631579,0.05263157894736842
1999,0.3783783783783784,0.5675675675675675,0.05405405405405406
2000,0.20588235294117646,0.7058823529411765,0.08823529411764706
2001,0.12121212121212122,0.8484848484848485,0.030303030303030304
2002,0.1951219512195122,0.7804878048780488,0.024390243902439025
2003,0.14423076923076922,0.7596153846153846,0.09615384615384616
2004,0.2283464566929134,0.6535433070866141,0.11811023622047244
2005,0.18072289156626506,0.6987951807228916,0.12048192771084337
2006,0.1702127659574468,0.7375886524822695,0.09219858156028368
2007,0.20114942528735633,0.6781609195402298,0.1206896551724138
2008,0.1794871794871795,0.7435897435897436,0.07692307692307693
2009,0.19858156028368795,0.7163120567375887,0.0851063829787234
2010,0.20437956204379562,0.6788321167883211,0.11678832116788321
2011,0.21768707482993196,0.7006802721088435,0.08163265306122448
2012,0.17518248175182483,0.7591240875912408,0.06569343065693431
2013,0.24719101123595505,0.6910112359550562,0.06179775280898876
2014,0.24528301886792453,0.6792452830188679,0.07547169811320754
2015,0.20652173913043478,0.7282608695652174,0.06521739130434782
2016,0.1111111111111111,0.8,0.08888888888888889
2017,0.18085106382978725,0.6914893617021277,0.1276595744680851
