year,pos,neu,neg
1950,0.25,0.5,0.25
1951,0.0,0.75,0.25
1952,0.0,0.5,0.5
1953,0.0,1.0,0.0
1954,0.08333333333333333,0.6666666666666666,0.25
1955,0.0,0.8,0.2
1956,0.2,0.7,0.1
1957,0.42857142857142855,0.5714285714285714,0.0
1958,0.0,0.8333333333333334,0.16666666666666666
1959,0.1111111111111111,0.7777777777777778,0.1111111111111111
1960,0.0,1.0,0.0
1961,0.0625,0.875,0.0625
1962,0.18181818181818182,0.8181818181818182,0.0
1963,0.45454545454545453,0.36363636363636365,0.18181818181818182
1964,0.14285714285714285,0.5714285714285714,0.2857142857142857
1965,0.14285714285714285,0.8571428571428571,0.0
1966,0.16666666666666666,0.8333333333333334,0.0
1967,0.1111111111111111,0.8888888888888888,0.0
1968,0.3,0.5,0.2
1969,0.1111111111111111,0.8333333333333334,0.05555555555555555
1970,0.08,0.68,0.24
1971,0.38461538461538464,0.5384615384615384,0.07692307692307693
1972,0.058823529411764705,0.6470588235294118,0.29411764705882354
1973,0.125,0.8125,0.0625
1974,0.13636363636363635,0.5909090909090909,0.2727272727272727
1975,0.3333333333333333,0.5,0.16666666666666666
1976,0.13333333333333333,0.6,0.26666666666666666
1977,0.10526315789473684,0.7894736842105263,0.10526315789473684
1978,0.3333333333333333,0.5,0.16666666666666666
1979,0.16666666666666666,0.6666666666666666,0.16666666666666666
1980,0.14285714285714285,0.7142857142857143,0.14285714285714285
1981,0.10344827586206896,0.6551724137931034,0.2413793103448276
1982,0.07142857142857142,0.6428571428571429,0.2857142857142857
1983,0.16666666666666666,0.5,0.3333333333333333
1984,0.044444444444444446,0.7555555555555555,0.2
1985,0.16129032258064516,0.8064516129032258,0.03225806451612903
1986,0.3076923076923077,0.5384615384615384,0.15384615384615385
1987,0.1111111111111111,0.7222222222222222,0.16666666666666666
1988,0.10526315789473684,0.8421052631578947,0.05263157894736842
1989,0.14705882352941177,0.7058823529411765,0.14705882352941177
1990,0.0,0.8181818181818182,0.18181818181818182
1991,0.2857142857142857,0.5714285714285714,0.14285714285714285
1992,0.0,0.8125,0.1875
1993,0.16666666666666666,0.7083333333333334,0.125
1994,0.16666666666666666,0.6666666666666666,0.16666666666666666
1995,0.16666666666666666,0.7083333333333334,0.125
1996,0.13636363636363635,0.5454545454545454,0.3181818181818182
1997,0.05,0.9,0.05
1998,0.06666666666666667,0.7333333333333333,0.2
1999,0.1346153846153846,0.7692307692307693,0.09615384615384616
2000,0.07936507936507936,0.8412698412698413,0.07936507936507936
2001,0.13846153846153847,0.7846153846153846,0.07692307692307693
2002,0.13953488372093023,0.7906976744186046,0.06976744186046512
2003,0.10869565217391304,0.7391304347826086,0.15217391304347827
2004,0.07766990291262135,0.8252427184466019,0.0970873786407767
2005,0.13253012048192772,0.7590361445783133,0.10843373493975904
2006,0.0945945945945946,0.7297297297297297,0.17567567567567569
2007,0.19298245614035087,0.5789473684210527,0.22807017543859648
2008,0.14492753623188406,0.6521739130434783,0.2028985507246377
2009,0.1650485436893204,0.7572815533980582,0.07766990291262135
2010,0.1326530612244898,0.6938775510204082,0.17346938775510204
2011,0.1717171717171717,0.6666666666666666,0.16161616161616163
2012,0.1927710843373494,0.5903614457831325,0.21686746987951808
2013,0.09565217391304348,0.7478260869565218,0.1565217391304348
2014,0.12,0.68,0.2
2015,0.1941747572815534,0.7184466019417476,0.08737864077669903
2016,0.18681318681318682,0.6813186813186813,0.13186813186813187
2017,0.16666666666666666,0.7222222222222222,0.1111111111111111
