year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,0.0,0.0
1952,0.0,0.0,0.0
1953,0.0,0.0,0.0
1954,0.0,0.0,0.0
1955,0.0,0.0,0.0
1956,0.0,0.0,0.0
1957,0.0,0.0,0.0
1958,0.0,0.0,0.0
1959,0.0,0.0,0.0
1960,0.0,0.0,0.0
1961,0.0,0.0,0.0
1962,0.0,0.0,0.0
1963,0.0,0.0,0.0
1964,0.0,0.0,0.0
1965,0.0,1.0,0.0
1966,0.0,0.0,0.0
1967,0.0,0.0,0.0
1968,0.0,0.0,0.0
1969,0.0,0.0,0.0
1970,0.0,0.0,0.0
1971,0.0,0.0,0.0
1972,0.0,1.0,0.0
1973,0.0,1.0,0.0
1974,0.0,1.0,0.0
1975,0.0,0.6666666666666666,0.3333333333333333
1976,0.0,0.0,0.0
1977,0.4,0.2,0.4
1978,0.0,0.0,0.0
1979,0.0,0.8571428571428571,0.14285714285714285
1980,0.0,1.0,0.0
1981,0.5,0.5,0.0
1982,0.8,0.2,0.0
1983,0.5,0.5,0.0
1984,0.0,1.0,0.0
1985,0.3333333333333333,0.6666666666666666,0.0
1986,0.6,0.4,0.0
1987,0.07142857142857142,0.7142857142857143,0.21428571428571427
1988,0.1111111111111111,0.7037037037037037,0.18518518518518517
1989,0.5333333333333333,0.26666666666666666,0.2
1990,0.07692307692307693,0.6923076923076923,0.23076923076923078
1991,0.25,0.6666666666666666,0.08333333333333333
1992,0.125,0.75,0.125
1993,0.3,0.6,0.1
1994,0.10714285714285714,0.8571428571428571,0.03571428571428571
1995,0.14285714285714285,0.7857142857142857,0.07142857142857142
1996,0.2916666666666667,0.4583333333333333,0.25
1997,0.3333333333333333,0.6,0.06666666666666667
1998,0.24,0.72,0.04
1999,0.19230769230769232,0.7307692307692307,0.07692307692307693
2000,0.21875,0.625,0.15625
2001,0.2112676056338028,0.704225352112676,0.08450704225352113
2002,0.234375,0.703125,0.0625
2003,0.2033898305084746,0.6949152542372882,0.1016949152542373
2004,0.16666666666666666,0.7222222222222222,0.1111111111111111
2005,0.20454545454545456,0.6590909090909091,0.13636363636363635
2006,0.20610687022900764,0.7099236641221374,0.08396946564885496
2007,0.25,0.6875,0.0625
2008,0.23943661971830985,0.6549295774647887,0.1056338028169014
2009,0.2545454545454545,0.6909090909090909,0.05454545454545454
2010,0.2857142857142857,0.6619047619047619,0.05238095238095238
2011,0.224,0.672,0.104
2012,0.3167420814479638,0.6153846153846154,0.06787330316742081
2013,0.26141078838174275,0.6887966804979253,0.04979253112033195
2014,0.28292682926829266,0.6439024390243903,0.07317073170731707
2015,0.2663316582914573,0.6683417085427136,0.06532663316582915
2016,0.23036649214659685,0.7120418848167539,0.05759162303664921
2017,0.2727272727272727,0.6515151515151515,0.07575757575757576
