year,pos,neu,neg
1950,0.775,0.225,0.0
1951,0.7714285714285715,0.22857142857142856,0.0
1952,0.6,0.34,0.06
1953,0.8444444444444444,0.13333333333333333,0.022222222222222223
1954,0.8333333333333334,0.14285714285714285,0.023809523809523808
1955,0.85,0.1,0.05
1956,0.8727272727272727,0.10909090909090909,0.01818181818181818
1957,0.7435897435897436,0.16666666666666666,0.08974358974358974
1958,0.76,0.22666666666666666,0.013333333333333334
1959,0.7,0.22,0.08
1960,0.7323943661971831,0.22535211267605634,0.04225352112676056
1961,0.7051282051282052,0.24358974358974358,0.05128205128205128
1962,0.6693548387096774,0.2903225806451613,0.04032258064516129
1963,0.8151260504201681,0.16806722689075632,0.01680672268907563
1964,0.7801418439716312,0.16312056737588654,0.05673758865248227
1965,0.7942583732057417,0.17703349282296652,0.028708133971291867
1966,0.826797385620915,0.1503267973856209,0.02287581699346405
1967,0.7493261455525606,0.20215633423180593,0.04851752021563342
1968,0.7706093189964157,0.17562724014336917,0.053763440860215055
1969,0.7675840978593272,0.19877675840978593,0.03363914373088685
1970,0.7807692307692308,0.17692307692307693,0.04230769230769231
1971,0.7727272727272727,0.1652892561983471,0.06198347107438017
1972,0.7772511848341233,0.18009478672985782,0.04265402843601896
1973,0.7694915254237288,0.1864406779661017,0.04406779661016949
1974,0.7327935222672065,0.22267206477732793,0.044534412955465584
1975,0.782608695652174,0.1782608695652174,0.0391304347826087
1976,0.72,0.205,0.075
1977,0.782608695652174,0.16908212560386474,0.04830917874396135
1978,0.7653429602888087,0.19855595667870035,0.036101083032490974
1979,0.8048780487804879,0.156794425087108,0.03832752613240418
1980,0.7974137931034483,0.17672413793103448,0.02586206896551724
1981,0.8265682656826568,0.15498154981549817,0.01845018450184502
1982,0.7649006622516556,0.18874172185430463,0.046357615894039736
1983,0.7491638795986622,0.22408026755852842,0.026755852842809364
1984,0.7310513447432763,0.22249388753056235,0.04645476772616137
1985,0.7888446215139442,0.17928286852589642,0.03187250996015936
1986,0.7867494824016563,0.16563146997929606,0.047619047619047616
1987,0.7839080459770115,0.15862068965517243,0.05747126436781609
1988,0.8025641025641026,0.14615384615384616,0.05128205128205128
1989,0.7768421052631579,0.1705263157894737,0.05263157894736842
1990,0.8123324396782842,0.1554959785522788,0.032171581769437
1991,0.7956043956043956,0.15164835164835164,0.05274725274725275
1992,0.8194444444444444,0.1388888888888889,0.041666666666666664
1993,0.7922297297297297,0.16891891891891891,0.03885135135135135
1994,0.821969696969697,0.13636363636363635,0.041666666666666664
1995,0.8106508875739645,0.14319526627218934,0.046153846153846156
1996,0.7776397515527951,0.17763975155279504,0.04472049689440994
1997,0.7830290010741139,0.17508055853920515,0.04189044038668099
1998,0.7763012181616833,0.18383167220376523,0.03986710963455149
1999,0.7887617065556711,0.1675338189386056,0.043704474505723206
2000,0.7562240663900415,0.18775933609958506,0.056016597510373446
2001,0.7830264211369096,0.16092874299439552,0.05604483586869496
2002,0.7997107736804049,0.15907447577729572,0.04121475054229935
2003,0.7677998717126363,0.18794098781270044,0.04425914047466325
2004,0.7908366533864541,0.16733067729083664,0.04183266932270916
2005,0.7669773635153129,0.18686196182867287,0.0461606746560142
2006,0.7856560717196414,0.17033414832925836,0.044009779951100246
2007,0.7842610364683301,0.16813819577735126,0.04760076775431862
2008,0.7809160305343511,0.17519083969465649,0.04389312977099236
2009,0.7833891086096745,0.17401886218436263,0.04259202920596288
2010,0.78529329216952,0.16811675554308167,0.04658995228739826
2011,0.7773319959879639,0.17803410230692077,0.044633901705115345
2012,0.7828730681530276,0.1768431720293894,0.040283759817582976
2013,0.7786988193921125,0.1768399899522733,0.044461190655614165
2014,0.7821965317919075,0.1722543352601156,0.04554913294797688
2015,0.790451501404191,0.15878159429682437,0.050766904298984665
2016,0.770954535660418,0.17302305537599655,0.056022408963585436
2017,0.7888519748984866,0.15577703949796973,0.05537098560354374
