year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,1.0,0.0
1952,0.0,1.0,0.0
1953,1.0,0.0,0.0
1954,0.0,0.0,0.0
1955,0.0,0.0,0.0
1956,0.0,1.0,0.0
1957,0.2,0.8,0.0
1958,1.0,0.0,0.0
1959,0.0,0.0,0.0
1960,0.5,0.25,0.25
1961,0.5,0.5,0.0
1962,0.0,0.5,0.5
1963,0.0,1.0,0.0
1964,0.6666666666666666,0.3333333333333333,0.0
1965,0.42857142857142855,0.5714285714285714,0.0
1966,0.16666666666666666,0.75,0.08333333333333333
1967,0.6153846153846154,0.38461538461538464,0.0
1968,0.25,0.6666666666666666,0.08333333333333333
1969,0.14285714285714285,0.8571428571428571,0.0
1970,0.0,1.0,0.0
1971,0.0,0.6666666666666666,0.3333333333333333
1972,0.2,0.8,0.0
1973,0.0,1.0,0.0
1974,0.5,0.5,0.0
1975,0.0,1.0,0.0
1976,0.42857142857142855,0.5714285714285714,0.0
1977,1.0,0.0,0.0
1978,0.0,0.8571428571428571,0.14285714285714285
1979,0.0,0.6,0.4
1980,0.0,1.0,0.0
1981,0.2857142857142857,0.5714285714285714,0.14285714285714285
1982,0.0,0.0,0.0
1983,0.0,1.0,0.0
1984,0.0,0.8571428571428571,0.14285714285714285
1985,0.0,1.0,0.0
1986,0.14285714285714285,0.7142857142857143,0.14285714285714285
1987,0.125,0.875,0.0
1988,1.0,0.0,0.0
1989,0.16666666666666666,0.6666666666666666,0.16666666666666666
1990,0.5454545454545454,0.2727272727272727,0.18181818181818182
1991,0.3333333333333333,0.6666666666666666,0.0
1992,0.07142857142857142,0.5714285714285714,0.35714285714285715
1993,0.14285714285714285,0.5714285714285714,0.2857142857142857
1994,0.3157894736842105,0.631578947368421,0.05263157894736842
1995,0.42105263157894735,0.47368421052631576,0.10526315789473684
1996,0.3888888888888889,0.3333333333333333,0.2777777777777778
1997,0.17647058823529413,0.7058823529411765,0.11764705882352941
1998,0.11538461538461539,0.6923076923076923,0.19230769230769232
1999,0.4594594594594595,0.40540540540540543,0.13513513513513514
2000,0.1724137931034483,0.7586206896551724,0.06896551724137931
2001,0.1276595744680851,0.7021276595744681,0.1702127659574468
2002,0.40350877192982454,0.45614035087719296,0.14035087719298245
2003,0.375,0.4791666666666667,0.14583333333333334
2004,0.1875,0.6875,0.125
2005,0.1836734693877551,0.6122448979591837,0.20408163265306123
2006,0.35714285714285715,0.5476190476190477,0.09523809523809523
2007,0.23076923076923078,0.7076923076923077,0.06153846153846154
2008,0.1956521739130435,0.6557971014492754,0.14855072463768115
2009,0.2340909090909091,0.5863636363636363,0.17954545454545454
2010,0.30111524163568776,0.5762081784386617,0.12267657992565056
2011,0.3225806451612903,0.5967741935483871,0.08064516129032258
2012,0.22522522522522523,0.6396396396396397,0.13513513513513514
2013,0.2948717948717949,0.5897435897435898,0.11538461538461539
2014,0.19230769230769232,0.6794871794871795,0.1282051282051282
2015,0.21212121212121213,0.7272727272727273,0.06060606060606061
2016,0.234375,0.625,0.140625
2017,0.3142857142857143,0.6,0.08571428571428572
