year,pos,neu,neg
1950,0.40625,0.53125,0.0625
1951,0.19047619047619047,0.7619047619047619,0.047619047619047616
1952,0.15625,0.84375,0.0
1953,0.22580645161290322,0.5806451612903226,0.1935483870967742
1954,0.2,0.8,0.0
1955,0.4117647058823529,0.5,0.08823529411764706
1956,0.2702702702702703,0.6486486486486487,0.08108108108108109
1957,0.26666666666666666,0.6,0.13333333333333333
1958,0.20754716981132076,0.7735849056603774,0.018867924528301886
1959,0.2549019607843137,0.6470588235294118,0.09803921568627451
1960,0.19047619047619047,0.7936507936507936,0.015873015873015872
1961,0.23809523809523808,0.6666666666666666,0.09523809523809523
1962,0.24782608695652175,0.6478260869565218,0.10434782608695652
1963,0.3541666666666667,0.5,0.14583333333333334
1964,0.3620689655172414,0.5517241379310345,0.08620689655172414
1965,0.375,0.5,0.125
1966,0.3333333333333333,0.5882352941176471,0.0784313725490196
1967,0.1917808219178082,0.6027397260273972,0.2054794520547945
1968,0.21951219512195122,0.6707317073170732,0.10975609756097561
1969,0.23076923076923078,0.5128205128205128,0.2564102564102564
1970,0.2604166666666667,0.7083333333333334,0.03125
1971,0.16883116883116883,0.6363636363636364,0.19480519480519481
1972,0.2542372881355932,0.6610169491525424,0.0847457627118644
1973,0.2553191489361702,0.6595744680851063,0.0851063829787234
1974,0.24,0.64,0.12
1975,0.22033898305084745,0.6271186440677966,0.15254237288135594
1976,0.20765027322404372,0.7158469945355191,0.07650273224043716
1977,0.22910216718266255,0.6811145510835913,0.08978328173374613
1978,0.14285714285714285,0.8253968253968254,0.031746031746031744
1979,0.24193548387096775,0.6854838709677419,0.07258064516129033
1980,0.1780821917808219,0.7123287671232876,0.1095890410958904
1981,0.16363636363636364,0.7090909090909091,0.12727272727272726
1982,0.2755102040816326,0.6836734693877551,0.04081632653061224
1983,0.175,0.625,0.2
1984,0.32894736842105265,0.5789473684210527,0.09210526315789473
1985,0.1926605504587156,0.7431192660550459,0.06422018348623854
1986,0.30097087378640774,0.6407766990291263,0.05825242718446602
1987,0.18439716312056736,0.7163120567375887,0.09929078014184398
1988,0.1782178217821782,0.7722772277227723,0.04950495049504951
1989,0.18627450980392157,0.7156862745098039,0.09803921568627451
1990,0.18,0.68,0.14
1991,0.20714285714285716,0.6714285714285714,0.12142857142857143
1992,0.25555555555555554,0.6333333333333333,0.1111111111111111
1993,0.1951219512195122,0.7276422764227642,0.07723577235772358
1994,0.1797752808988764,0.7191011235955056,0.10112359550561797
1995,0.24271844660194175,0.6893203883495146,0.06796116504854369
1996,0.16393442622950818,0.7540983606557377,0.08196721311475409
1997,0.25,0.6527777777777778,0.09722222222222222
1998,0.19865319865319866,0.7037037037037037,0.09764309764309764
1999,0.2097902097902098,0.6643356643356644,0.1258741258741259
2000,0.16666666666666666,0.6666666666666666,0.16666666666666666
2001,0.19607843137254902,0.7124183006535948,0.0915032679738562
2002,0.19471153846153846,0.6634615384615384,0.14182692307692307
2003,0.2297872340425532,0.7021276595744681,0.06808510638297872
2004,0.195906432748538,0.6637426900584795,0.14035087719298245
2005,0.20977596741344195,0.6619144602851323,0.12830957230142567
2006,0.2512479201331115,0.6439267886855241,0.1048252911813644
2007,0.2290836653386454,0.6673306772908366,0.10358565737051793
2008,0.2426470588235294,0.6452205882352942,0.11213235294117647
2009,0.2197452229299363,0.64171974522293,0.13853503184713375
2010,0.22388059701492538,0.6492537313432836,0.12686567164179105
2011,0.21981424148606812,0.651702786377709,0.12848297213622292
2012,0.2579750346740638,0.6393897364771152,0.10263522884882108
2013,0.23537803138373753,0.6704707560627675,0.09415121255349501
2014,0.22977725674091443,0.6705744431418523,0.09964830011723329
2015,0.21052631578947367,0.656140350877193,0.13333333333333333
2016,0.23622047244094488,0.6499642090193272,0.11381531853972798
2017,0.2575107296137339,0.6330472103004292,0.10944206008583691
