year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,0.0,0.0
1952,0.0,0.0,0.0
1953,0.0,1.0,0.0
1954,1.0,0.0,0.0
1955,0.0,0.0,0.0
1956,0.0,0.0,0.0
1957,0.0,0.0,0.0
1958,0.0,0.0,0.0
1959,0.0,0.0,0.0
1960,0.5,0.5,0.0
1961,0.0,0.0,0.0
1962,0.6666666666666666,0.3333333333333333,0.0
1963,0.0,0.0,0.0
1964,1.0,0.0,0.0
1965,0.0,0.0,0.0
1966,0.0,0.0,0.0
1967,1.0,0.0,0.0
1968,0.0,0.0,0.0
1969,0.0,0.0,0.0
1970,0.5,0.5,0.0
1971,1.0,0.0,0.0
1972,0.36363636363636365,0.5454545454545454,0.09090909090909091
1973,0.0,1.0,0.0
1974,1.0,0.0,0.0
1975,0.16666666666666666,0.8333333333333334,0.0
1976,0.6666666666666666,0.3333333333333333,0.0
1977,1.0,0.0,0.0
1978,0.38461538461538464,0.5384615384615384,0.07692307692307693
1979,0.0,0.0,0.0
1980,0.2,0.6,0.2
1981,0.0,1.0,0.0
1982,0.6666666666666666,0.3333333333333333,0.0
1983,0.5,0.5,0.0
1984,0.42857142857142855,0.42857142857142855,0.14285714285714285
1985,0.0,0.6666666666666666,0.3333333333333333
1986,0.2222222222222222,0.7777777777777778,0.0
1987,1.0,0.0,0.0
1988,0.75,0.25,0.0
1989,0.3333333333333333,0.5555555555555556,0.1111111111111111
1990,0.6666666666666666,0.0,0.3333333333333333
1991,1.0,0.0,0.0
1992,0.25,0.6,0.15
1993,0.2857142857142857,0.42857142857142855,0.2857142857142857
1994,0.125,0.625,0.25
1995,0.6666666666666666,0.3333333333333333,0.0
1996,0.42105263157894735,0.42105263157894735,0.15789473684210525
1997,0.125,0.75,0.125
1998,0.12,0.8,0.08
1999,0.49019607843137253,0.47058823529411764,0.0392156862745098
2000,0.6666666666666666,0.3333333333333333,0.0
2001,0.5666666666666667,0.36666666666666664,0.06666666666666667
2002,0.35294117647058826,0.5294117647058824,0.11764705882352941
2003,0.4857142857142857,0.42857142857142855,0.08571428571428572
2004,0.29411764705882354,0.5294117647058824,0.17647058823529413
2005,0.25925925925925924,0.6592592592592592,0.08148148148148149
2006,0.20909090909090908,0.6181818181818182,0.17272727272727273
2007,0.40816326530612246,0.46938775510204084,0.12244897959183673
2008,0.18032786885245902,0.6721311475409836,0.14754098360655737
2009,0.26,0.52,0.22
2010,0.4074074074074074,0.48148148148148145,0.1111111111111111
2011,0.2289156626506024,0.6506024096385542,0.12048192771084337
2012,0.25,0.6538461538461539,0.09615384615384616
2013,0.33962264150943394,0.4528301886792453,0.20754716981132076
2014,0.26666666666666666,0.6166666666666667,0.11666666666666667
2015,0.3709677419354839,0.5483870967741935,0.08064516129032258
2016,0.32727272727272727,0.6363636363636364,0.03636363636363636
2017,0.3888888888888889,0.6111111111111112,0.0
