year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,0.0,0.0
1952,0.0,0.0,0.0
1953,0.0,0.0,0.0
1954,0.0,1.0,0.0
1955,0.0,0.6666666666666666,0.3333333333333333
1956,1.0,0.0,0.0
1957,0.0,0.0,0.0
1958,0.0,0.0,0.0
1959,0.0,0.0,0.0
1960,0.0,0.0,0.0
1961,0.0,0.0,0.0
1962,0.0,0.0,0.0
1963,0.0,0.0,0.0
1964,0.0,0.0,0.0
1965,0.0,1.0,0.0
1966,0.0,0.0,0.0
1967,1.0,0.0,0.0
1968,0.5,0.5,0.0
1969,1.0,0.0,0.0
1970,0.0,1.0,0.0
1971,0.6666666666666666,0.3333333333333333,0.0
1972,1.0,0.0,0.0
1973,1.0,0.0,0.0
1974,0.0,1.0,0.0
1975,0.0,0.0,0.0
1976,0.0,1.0,0.0
1977,0.0,1.0,0.0
1978,0.0,0.0,0.0
1979,1.0,0.0,0.0
1980,0.0,0.0,0.0
1981,0.0,1.0,0.0
1982,0.16666666666666666,0.8333333333333334,0.0
1983,0.4,0.4,0.2
1984,0.0,1.0,0.0
1985,0.25,0.75,0.0
1986,0.0,1.0,0.0
1987,0.5,0.5,0.0
1988,1.0,0.0,0.0
1989,0.0,1.0,0.0
1990,0.0,1.0,0.0
1991,0.16666666666666666,0.8333333333333334,0.0
1992,0.16666666666666666,0.8333333333333334,0.0
1993,0.0,1.0,0.0
1994,0.5,0.5,0.0
1995,0.5,0.5,0.0
1996,0.0,1.0,0.0
1997,0.2857142857142857,0.7142857142857143,0.0
1998,0.6666666666666666,0.3333333333333333,0.0
1999,0.2,0.4,0.4
2000,0.13636363636363635,0.8636363636363636,0.0
2001,0.4,0.4,0.2
2002,0.3076923076923077,0.6153846153846154,0.07692307692307693
2003,0.3,0.7,0.0
2004,0.23529411764705882,0.7647058823529411,0.0
2005,0.375,0.5,0.125
2006,0.2222222222222222,0.6666666666666666,0.1111111111111111
2007,0.3333333333333333,0.6666666666666666,0.0
2008,0.2702702702702703,0.7027027027027027,0.02702702702702703
2009,0.23076923076923078,0.6923076923076923,0.07692307692307693
2010,0.3,0.7,0.0
2011,0.22727272727272727,0.7727272727272727,0.0
2012,0.25,0.71875,0.03125
2013,0.39285714285714285,0.5714285714285714,0.03571428571428571
2014,0.3,0.55,0.15
2015,0.19230769230769232,0.7692307692307693,0.038461538461538464
2016,0.2727272727272727,0.6363636363636364,0.09090909090909091
2017,0.5333333333333333,0.4666666666666667,0.0
