year,pos,neu,neg
1950,0.0,0.8888888888888888,0.1111111111111111
1951,0.3333333333333333,0.6666666666666666,0.0
1952,0.0,0.0,0.0
1953,0.0,1.0,0.0
1954,0.0,1.0,0.0
1955,0.0,1.0,0.0
1956,1.0,0.0,0.0
1957,0.0,0.0,0.0
1958,0.0,0.0,0.0
1959,0.0,1.0,0.0
1960,1.0,0.0,0.0
1961,0.0,1.0,0.0
1962,0.5,0.5,0.0
1963,0.0,1.0,0.0
1964,0.25,0.75,0.0
1965,0.5,0.375,0.125
1966,0.2,0.4,0.4
1967,0.0,0.0,0.0
1968,0.5,0.5,0.0
1969,0.6,0.4,0.0
1970,0.0,1.0,0.0
1971,0.14285714285714285,0.8571428571428571,0.0
1972,0.0,1.0,0.0
1973,0.0,1.0,0.0
1974,0.375,0.625,0.0
1975,0.5,0.5,0.0
1976,0.0,0.0,0.0
1977,0.3333333333333333,0.6666666666666666,0.0
1978,0.0,1.0,0.0
1979,0.5714285714285714,0.2857142857142857,0.14285714285714285
1980,0.0,1.0,0.0
1981,0.5,0.5,0.0
1982,0.5,0.5,0.0
1983,0.0,0.8,0.2
1984,0.0,1.0,0.0
1985,0.0,0.0,0.0
1986,0.0,0.0,1.0
1987,0.0,1.0,0.0
1988,1.0,0.0,0.0
1989,0.5,0.5,0.0
1990,0.3333333333333333,0.6666666666666666,0.0
1991,0.0,0.0,0.0
1992,0.0,0.0,0.0
1993,0.25,0.75,0.0
1994,0.0,1.0,0.0
1995,0.5,0.5,0.0
1996,0.6666666666666666,0.3333333333333333,0.0
1997,0.0,1.0,0.0
1998,0.3333333333333333,0.6666666666666666,0.0
1999,0.3333333333333333,0.6666666666666666,0.0
2000,0.5,0.5,0.0
2001,0.0,1.0,0.0
2002,1.0,0.0,0.0
2003,0.2,0.6,0.2
2004,0.3333333333333333,0.5,0.16666666666666666
2005,0.0,1.0,0.0
2006,0.35714285714285715,0.5714285714285714,0.07142857142857142
2007,0.1,0.9,0.0
2008,0.2,0.8,0.0
2009,0.25,0.75,0.0
2010,0.34782608695652173,0.6086956521739131,0.043478260869565216
2011,0.07692307692307693,0.9230769230769231,0.0
2012,0.3023255813953488,0.6511627906976745,0.046511627906976744
2013,0.21052631578947367,0.7368421052631579,0.05263157894736842
2014,0.17857142857142858,0.7857142857142857,0.03571428571428571
2015,0.3684210526315789,0.631578947368421,0.0
2016,0.20689655172413793,0.7241379310344828,0.06896551724137931
2017,0.3333333333333333,0.6666666666666666,0.0
