year,pos,neu,neg
1950,0.0,0.5,0.5
1951,0.0,0.0,0.0
1952,0.0,0.0,0.0
1953,0.0,1.0,0.0
1954,0.0,0.0,0.0
1955,0.0,0.0,0.0
1956,0.0,1.0,0.0
1957,0.3333333333333333,0.6666666666666666,0.0
1958,0.3333333333333333,0.6666666666666666,0.0
1959,0.0,0.0,0.0
1960,0.0,1.0,0.0
1961,0.0,0.0,0.0
1962,0.0,1.0,0.0
1963,0.0,0.0,0.0
1964,0.0,1.0,0.0
1965,0.0,0.0,0.0
1966,0.3333333333333333,0.6666666666666666,0.0
1967,0.2857142857142857,0.7142857142857143,0.0
1968,0.0,1.0,0.0
1969,0.3333333333333333,0.6666666666666666,0.0
1970,1.0,0.0,0.0
1971,0.0,0.0,0.0
1972,0.0,0.0,0.0
1973,0.0,0.0,0.0
1974,0.0,1.0,0.0
1975,0.0,1.0,0.0
1976,0.0,0.6666666666666666,0.3333333333333333
1977,0.5,0.5,0.0
1978,0.5,0.5,0.0
1979,0.2,0.7,0.1
1980,0.0,1.0,0.0
1981,0.0,0.0,0.0
1982,0.0,0.0,0.0
1983,0.0,1.0,0.0
1984,0.0,1.0,0.0
1985,0.0,1.0,0.0
1986,0.3333333333333333,0.6666666666666666,0.0
1987,0.0,1.0,0.0
1988,0.0,1.0,0.0
1989,0.0,1.0,0.0
1990,0.0,1.0,0.0
1991,0.2,0.8,0.0
1992,0.3333333333333333,0.6666666666666666,0.0
1993,0.0,1.0,0.0
1994,0.0,1.0,0.0
1995,0.3333333333333333,0.6666666666666666,0.0
1996,0.0,1.0,0.0
1997,0.4,0.5,0.1
1998,0.16666666666666666,0.8333333333333334,0.0
1999,0.2857142857142857,0.5714285714285714,0.14285714285714285
2000,0.0,0.7692307692307693,0.23076923076923078
2001,0.2222222222222222,0.7777777777777778,0.0
2002,0.2,0.8,0.0
2003,0.0,1.0,0.0
2004,0.18181818181818182,0.7272727272727273,0.09090909090909091
2005,0.13043478260869565,0.782608695652174,0.08695652173913043
2006,0.0,0.7916666666666666,0.20833333333333334
2007,0.08695652173913043,0.6956521739130435,0.21739130434782608
2008,0.10714285714285714,0.8214285714285714,0.07142857142857142
2009,0.13333333333333333,0.7555555555555555,0.1111111111111111
2010,0.2,0.6823529411764706,0.11764705882352941
2011,0.17647058823529413,0.6274509803921569,0.19607843137254902
2012,0.14285714285714285,0.7380952380952381,0.11904761904761904
2013,0.12280701754385964,0.7192982456140351,0.15789473684210525
2014,0.08108108108108109,0.8378378378378378,0.08108108108108109
2015,0.14634146341463414,0.6829268292682927,0.17073170731707318
2016,0.12727272727272726,0.7636363636363637,0.10909090909090909
2017,0.2222222222222222,0.7777777777777778,0.0
