year,pos,neu,neg
1950,0.18181818181818182,0.7272727272727273,0.09090909090909091
1951,0.375,0.625,0.0
1952,0.2,0.8,0.0
1953,0.08333333333333333,0.8333333333333334,0.08333333333333333
1954,0.16666666666666666,0.8333333333333334,0.0
1955,0.3333333333333333,0.6666666666666666,0.0
1956,0.18181818181818182,0.8181818181818182,0.0
1957,0.0,1.0,0.0
1958,0.12121212121212122,0.7272727272727273,0.15151515151515152
1959,0.24,0.76,0.0
1960,0.0625,0.8125,0.125
1961,0.18181818181818182,0.8181818181818182,0.0
1962,0.1935483870967742,0.7741935483870968,0.03225806451612903
1963,0.06666666666666667,0.8,0.13333333333333333
1964,0.0625,0.875,0.0625
1965,0.09090909090909091,0.9090909090909091,0.0
1966,0.375,0.625,0.0
1967,0.2222222222222222,0.7777777777777778,0.0
1968,0.19047619047619047,0.7619047619047619,0.047619047619047616
1969,0.10526315789473684,0.6842105263157895,0.21052631578947367
1970,0.125,0.625,0.25
1971,0.1891891891891892,0.7027027027027027,0.10810810810810811
1972,0.16666666666666666,0.8333333333333334,0.0
1973,0.2,0.8,0.0
1974,0.0,0.5714285714285714,0.42857142857142855
1975,0.1,0.9,0.0
1976,0.0,1.0,0.0
1977,0.0,0.875,0.125
1978,0.1724137931034483,0.6206896551724138,0.20689655172413793
1979,0.13333333333333333,0.7666666666666667,0.1
1980,0.09523809523809523,0.7857142857142857,0.11904761904761904
1981,0.0,1.0,0.0
1982,0.0,1.0,0.0
1983,0.375,0.625,0.0
1984,0.0,1.0,0.0
1985,0.15789473684210525,0.6842105263157895,0.15789473684210525
1986,0.25,0.75,0.0
1987,0.2,0.6,0.2
1988,0.08333333333333333,0.9166666666666666,0.0
1989,0.10526315789473684,0.8421052631578947,0.05263157894736842
1990,0.125,0.875,0.0
1991,0.0625,0.75,0.1875
1992,0.08695652173913043,0.8695652173913043,0.043478260869565216
1993,0.058823529411764705,0.8823529411764706,0.058823529411764705
1994,0.21052631578947367,0.7368421052631579,0.05263157894736842
1995,0.24324324324324326,0.6216216216216216,0.13513513513513514
1996,0.1111111111111111,0.8333333333333334,0.05555555555555555
1997,0.11764705882352941,0.8235294117647058,0.058823529411764705
1998,0.15384615384615385,0.7692307692307693,0.07692307692307693
1999,0.11764705882352941,0.8235294117647058,0.058823529411764705
2000,0.1111111111111111,0.7222222222222222,0.16666666666666666
2001,0.06451612903225806,0.8387096774193549,0.0967741935483871
2002,0.11904761904761904,0.8333333333333334,0.047619047619047616
2003,0.15254237288135594,0.7457627118644068,0.1016949152542373
2004,0.09090909090909091,0.7575757575757576,0.15151515151515152
2005,0.0625,0.8125,0.125
2006,0.3142857142857143,0.6571428571428571,0.02857142857142857
2007,0.1724137931034483,0.6551724137931034,0.1724137931034483
2008,0.0,0.8636363636363636,0.13636363636363635
2009,0.1780821917808219,0.6438356164383562,0.1780821917808219
2010,0.13725490196078433,0.8235294117647058,0.0392156862745098
2011,0.2602739726027397,0.6712328767123288,0.0684931506849315
2012,0.1,0.8142857142857143,0.08571428571428572
2013,0.3125,0.59375,0.09375
2014,0.16470588235294117,0.7176470588235294,0.11764705882352941
2015,0.07407407407407407,0.7962962962962963,0.12962962962962962
2016,0.2222222222222222,0.7301587301587301,0.047619047619047616
2017,0.2545454545454545,0.6181818181818182,0.12727272727272726
