year,pos,neu,neg
1950,1.0,0.0,0.0
1951,0.0,1.0,0.0
1952,1.0,0.0,0.0
1953,0.0,0.0,0.0
1954,0.0,0.0,0.0
1955,0.0,0.0,0.0
1956,0.0,1.0,0.0
1957,0.5,0.5,0.0
1958,0.0,0.0,0.0
1959,0.6,0.2,0.2
1960,0.0,1.0,0.0
1961,0.0,0.0,0.0
1962,0.0,0.0,0.0
1963,0.5,0.5,0.0
1964,0.0,1.0,0.0
1965,0.0,0.0,0.0
1966,0.0,1.0,0.0
1967,0.5,0.5,0.0
1968,0.5,0.5,0.0
1969,1.0,0.0,0.0
1970,0.0,1.0,0.0
1971,0.0,1.0,0.0
1972,0.0,1.0,0.0
1973,0.0,0.0,0.0
1974,0.0,0.0,0.0
1975,0.0,1.0,0.0
1976,1.0,0.0,0.0
1977,0.0,0.0,1.0
1978,0.0,1.0,0.0
1979,1.0,0.0,0.0
1980,0.5,0.5,0.0
1981,0.0,1.0,0.0
1982,0.0,0.0,0.0
1983,0.0,0.0,0.0
1984,0.0,1.0,0.0
1985,0.0,0.0,0.0
1986,1.0,0.0,0.0
1987,1.0,0.0,0.0
1988,0.0,0.0,0.0
1989,0.0,1.0,0.0
1990,0.0,1.0,0.0
1991,0.0,1.0,0.0
1992,0.0,0.0,0.0
1993,0.5555555555555556,0.4444444444444444,0.0
1994,0.0,1.0,0.0
1995,0.2,0.6,0.2
1996,0.0,1.0,0.0
1997,0.42857142857142855,0.5714285714285714,0.0
1998,0.3,0.6,0.1
1999,0.46153846153846156,0.5384615384615384,0.0
2000,0.2727272727272727,0.7272727272727273,0.0
2001,0.2857142857142857,0.42857142857142855,0.2857142857142857
2002,0.15789473684210525,0.7894736842105263,0.05263157894736842
2003,0.45454545454545453,0.5454545454545454,0.0
2004,0.29411764705882354,0.6470588235294118,0.058823529411764705
2005,0.3225806451612903,0.6129032258064516,0.06451612903225806
2006,0.2,0.72,0.08
2007,0.13043478260869565,0.8260869565217391,0.043478260869565216
2008,0.2222222222222222,0.7222222222222222,0.05555555555555555
2009,0.6363636363636364,0.36363636363636365,0.0
2010,0.5384615384615384,0.4230769230769231,0.038461538461538464
2011,0.32142857142857145,0.6785714285714286,0.0
2012,0.2777777777777778,0.6666666666666666,0.05555555555555555
2013,0.5,0.42857142857142855,0.07142857142857142
2014,0.3333333333333333,0.6190476190476191,0.047619047619047616
2015,0.4117647058823529,0.5882352941176471,0.0
2016,0.3157894736842105,0.6842105263157895,0.0
2017,0.75,0.25,0.0
