year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,0.0,0.0
1952,0.0,0.0,0.0
1953,0.0,0.0,0.0
1954,0.0,0.0,0.0
1955,0.0,0.0,0.0
1956,0.0,0.0,0.0
1957,0.0,0.0,0.0
1958,0.0,0.0,0.0
1959,0.0,0.0,0.0
1960,0.0,0.0,0.0
1961,0.0,0.0,0.0
1962,0.0,0.0,0.0
1963,0.0,0.0,0.0
1964,0.0,0.0,0.0
1965,0.0,0.0,0.0
1966,0.0,0.0,0.0
1967,0.0,0.0,0.0
1968,0.0,0.0,0.0
1969,0.0,1.0,0.0
1970,0.0,0.0,0.0
1971,0.0,0.0,0.0
1972,0.0,0.0,0.0
1973,0.0,0.0,0.0
1974,0.0,1.0,0.0
1975,0.0,0.0,0.0
1976,0.0,0.0,0.0
1977,0.0,0.0,0.0
1978,1.0,0.0,0.0
1979,1.0,0.0,0.0
1980,0.0,0.0,0.0
1981,0.0,0.0,0.0
1982,0.0,0.0,0.0
1983,0.0,0.0,0.0
1984,0.0,0.0,0.0
1985,1.0,0.0,0.0
1986,0.0,0.0,0.0
1987,0.0,0.0,0.0
1988,0.0,0.0,0.0
1989,0.0,0.0,0.0
1990,0.25,0.75,0.0
1991,0.0,1.0,0.0
1992,0.25,0.75,0.0
1993,0.0,1.0,0.0
1994,0.29411764705882354,0.5882352941176471,0.11764705882352941
1995,0.32,0.68,0.0
1996,0.4,0.4666666666666667,0.13333333333333333
1997,0.29545454545454547,0.5909090909090909,0.11363636363636363
1998,0.24,0.68,0.08
1999,0.4090909090909091,0.5454545454545454,0.045454545454545456
2000,0.18518518518518517,0.6296296296296297,0.18518518518518517
2001,0.2727272727272727,0.696969696969697,0.030303030303030304
2002,0.2857142857142857,0.5,0.21428571428571427
2003,0.2702702702702703,0.6486486486486487,0.08108108108108109
2004,0.23333333333333334,0.7,0.06666666666666667
2005,0.2702702702702703,0.5945945945945946,0.13513513513513514
2006,0.2647058823529412,0.6176470588235294,0.11764705882352941
2007,0.3235294117647059,0.6176470588235294,0.058823529411764705
2008,0.37209302325581395,0.4883720930232558,0.13953488372093023
2009,0.22033898305084745,0.7627118644067796,0.01694915254237288
2010,0.2545454545454545,0.6,0.14545454545454545
2011,0.23333333333333334,0.6833333333333333,0.08333333333333333
2012,0.3,0.6,0.1
2013,0.27419354838709675,0.6451612903225806,0.08064516129032258
2014,0.2857142857142857,0.6571428571428571,0.05714285714285714
2015,0.2857142857142857,0.6326530612244898,0.08163265306122448
2016,0.2631578947368421,0.6973684210526315,0.039473684210526314
2017,0.20833333333333334,0.75,0.041666666666666664
