year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,0.0,0.0
1952,0.0,0.0,0.0
1953,0.0,0.0,0.0
1954,0.0,0.0,0.0
1955,0.0,0.0,0.0
1956,0.0,1.0,0.0
1957,0.0,0.0,0.0
1958,0.0,0.0,0.0
1959,0.0,0.0,0.0
1960,0.0,0.0,0.0
1961,0.0,1.0,0.0
1962,0.0,1.0,0.0
1963,0.3333333333333333,0.6666666666666666,0.0
1964,0.2,0.8,0.0
1965,0.0,1.0,0.0
1966,0.0,1.0,0.0
1967,0.2,0.8,0.0
1968,0.0,1.0,0.0
1969,0.2,0.8,0.0
1970,0.0,1.0,0.0
1971,0.0,1.0,0.0
1972,0.2,0.5,0.3
1973,0.0,1.0,0.0
1974,0.3333333333333333,0.6666666666666666,0.0
1975,0.0,1.0,0.0
1976,0.25,0.75,0.0
1977,0.3333333333333333,0.6666666666666666,0.0
1978,0.6,0.4,0.0
1979,0.5,0.5,0.0
1980,0.0,1.0,0.0
1981,0.3333333333333333,0.6666666666666666,0.0
1982,0.2727272727272727,0.5454545454545454,0.18181818181818182
1983,0.0,1.0,0.0
1984,0.0,1.0,0.0
1985,0.0,1.0,0.0
1986,0.5,0.5,0.0
1987,0.0,1.0,0.0
1988,0.4,0.6,0.0
1989,0.0,0.0,0.0
1990,0.6666666666666666,0.3333333333333333,0.0
1991,0.25,0.75,0.0
1992,0.0,1.0,0.0
1993,0.0,1.0,0.0
1994,0.0,0.5,0.5
1995,0.25,0.75,0.0
1996,0.6666666666666666,0.3333333333333333,0.0
1997,0.2,0.2,0.6
1998,0.3333333333333333,0.5555555555555556,0.1111111111111111
1999,0.2857142857142857,0.7142857142857143,0.0
2000,0.11764705882352941,0.7058823529411765,0.17647058823529413
2001,0.0,1.0,0.0
2002,0.5454545454545454,0.36363636363636365,0.09090909090909091
2003,0.48,0.48,0.04
2004,0.5,0.5,0.0
2005,0.1935483870967742,0.7419354838709677,0.06451612903225806
2006,0.5666666666666667,0.43333333333333335,0.0
2007,0.25,0.7083333333333334,0.041666666666666664
2008,0.16,0.64,0.2
2009,0.24,0.56,0.2
2010,0.15384615384615385,0.7692307692307693,0.07692307692307693
2011,0.32075471698113206,0.6037735849056604,0.07547169811320754
2012,0.23076923076923078,0.6923076923076923,0.07692307692307693
2013,0.2692307692307692,0.7307692307692307,0.0
2014,0.3235294117647059,0.6764705882352942,0.0
2015,0.24390243902439024,0.6585365853658537,0.0975609756097561
2016,0.4074074074074074,0.5925925925925926,0.0
2017,0.15384615384615385,0.6923076923076923,0.15384615384615385
