year,pos,neu,neg
1950,0.1935483870967742,0.7419354838709677,0.06451612903225806
1951,0.1717171717171717,0.7070707070707071,0.12121212121212122
1952,0.24615384615384617,0.7076923076923077,0.046153846153846156
1953,0.2692307692307692,0.6282051282051282,0.10256410256410256
1954,0.12903225806451613,0.8064516129032258,0.06451612903225806
1955,0.2868217054263566,0.6511627906976745,0.06201550387596899
1956,0.2222222222222222,0.6984126984126984,0.07936507936507936
1957,0.2833333333333333,0.6833333333333333,0.03333333333333333
1958,0.21138211382113822,0.6991869918699187,0.08943089430894309
1959,0.20348837209302326,0.7267441860465116,0.06976744186046512
1960,0.2631578947368421,0.6105263157894737,0.12631578947368421
1961,0.25892857142857145,0.6517857142857143,0.08928571428571429
1962,0.24390243902439024,0.6487804878048781,0.1073170731707317
1963,0.2936170212765957,0.5957446808510638,0.11063829787234042
1964,0.19594594594594594,0.7635135135135135,0.04054054054054054
1965,0.19883040935672514,0.672514619883041,0.1286549707602339
1966,0.16489361702127658,0.75,0.0851063829787234
1967,0.19718309859154928,0.6549295774647887,0.14788732394366197
1968,0.17689530685920576,0.6823104693140795,0.1407942238267148
1969,0.18208092485549132,0.6589595375722543,0.15895953757225434
1970,0.23897058823529413,0.6323529411764706,0.12867647058823528
1971,0.17363344051446947,0.7106109324758842,0.1157556270096463
1972,0.16326530612244897,0.6938775510204082,0.14285714285714285
1973,0.2647058823529412,0.6862745098039216,0.049019607843137254
1974,0.18771331058020477,0.7064846416382252,0.10580204778156997
1975,0.23733333333333334,0.6533333333333333,0.10933333333333334
1976,0.2209737827715356,0.6779026217228464,0.10112359550561797
1977,0.21895424836601307,0.6633986928104575,0.11764705882352941
1978,0.18906605922551253,0.6742596810933941,0.1366742596810934
1979,0.1781512605042017,0.6890756302521008,0.13277310924369748
1980,0.17678100263852242,0.683377308707124,0.13984168865435356
1981,0.15714285714285714,0.7095238095238096,0.13333333333333333
1982,0.22736842105263158,0.64,0.13263157894736843
1983,0.23333333333333334,0.6412698412698413,0.1253968253968254
1984,0.1773049645390071,0.6973995271867612,0.12529550827423167
1985,0.1978021978021978,0.6840659340659341,0.11813186813186813
1986,0.22662889518413598,0.6402266288951841,0.13314447592067988
1987,0.20493827160493827,0.7037037037037037,0.09135802469135802
1988,0.16804407713498623,0.699724517906336,0.1322314049586777
1989,0.23841059602649006,0.6291390728476821,0.13245033112582782
1990,0.19771863117870722,0.6939163498098859,0.10836501901140684
1991,0.19240506329113924,0.739240506329114,0.06835443037974684
1992,0.2063157894736842,0.6610526315789473,0.13263157894736843
1993,0.20572450805008943,0.6905187835420393,0.1037567084078712
1994,0.19345238095238096,0.6949404761904762,0.11160714285714286
1995,0.2454212454212454,0.673992673992674,0.08058608058608059
1996,0.18330605564648117,0.7103109656301145,0.10638297872340426
1997,0.26058631921824105,0.6482084690553745,0.09120521172638436
1998,0.21137206427688504,0.6761433868974042,0.11248454882571075
1999,0.2068627450980392,0.6980392156862745,0.09509803921568627
2000,0.21306532663316582,0.6864321608040201,0.10050251256281408
2001,0.20809248554913296,0.6820809248554913,0.10982658959537572
2002,0.20953101361573373,0.6928895612708018,0.09757942511346444
2003,0.20383386581469648,0.6817891373801916,0.11437699680511182
2004,0.20558526440879382,0.696969696969697,0.0974450386215092
2005,0.21746674378253325,0.6888374783111625,0.09369577790630422
2006,0.20827178729689808,0.6878385032003939,0.10388970950270802
2007,0.21529745042492918,0.6817752596789424,0.10292728989612843
2008,0.22308394160583941,0.6715328467153284,0.10538321167883212
2009,0.20813500649069666,0.6784941583729988,0.11337083513630462
2010,0.21584880636604775,0.6919761273209549,0.09217506631299735
2011,0.22282958199356914,0.6768488745980707,0.10032154340836012
2012,0.2141280353200883,0.6928807947019867,0.09299116997792495
2013,0.2086082312284009,0.6930568645931511,0.09833490417844801
2014,0.22718168812589412,0.6755364806866953,0.09728183118741059
2015,0.2381981981981982,0.652972972972973,0.10882882882882883
2016,0.22191967324710687,0.6688223281143635,0.10925799863852961
2017,0.21745673438675697,0.6772009029345373,0.1053423626787058
