year,pos,neu,neg
1950,0.0,1.0,0.0
1951,0.3333333333333333,0.6666666666666666,0.0
1952,0.5,0.25,0.25
1953,0.0,1.0,0.0
1954,0.3,0.6,0.1
1955,0.25,0.75,0.0
1956,0.0,1.0,0.0
1957,0.06666666666666667,0.9333333333333333,0.0
1958,0.07692307692307693,0.7692307692307693,0.15384615384615385
1959,0.3125,0.6875,0.0
1960,0.0,1.0,0.0
1961,0.3333333333333333,0.6666666666666666,0.0
1962,0.2,0.8,0.0
1963,0.25,0.75,0.0
1964,0.0,1.0,0.0
1965,0.19047619047619047,0.7619047619047619,0.047619047619047616
1966,0.11538461538461539,0.8846153846153846,0.0
1967,0.13513513513513514,0.8108108108108109,0.05405405405405406
1968,0.11538461538461539,0.7307692307692307,0.15384615384615385
1969,0.27906976744186046,0.627906976744186,0.09302325581395349
1970,0.03333333333333333,0.6666666666666666,0.3
1971,0.043478260869565216,0.9130434782608695,0.043478260869565216
1972,0.35294117647058826,0.5294117647058824,0.11764705882352941
1973,0.28,0.6,0.12
1974,0.21428571428571427,0.6785714285714286,0.10714285714285714
1975,0.07692307692307693,0.8461538461538461,0.07692307692307693
1976,0.12903225806451613,0.7419354838709677,0.12903225806451613
1977,0.2647058823529412,0.6470588235294118,0.08823529411764706
1978,0.20588235294117646,0.7941176470588235,0.0
1979,0.19607843137254902,0.7058823529411765,0.09803921568627451
1980,0.0,0.875,0.125
1981,0.0,0.8571428571428571,0.14285714285714285
1982,0.11764705882352941,0.7647058823529411,0.11764705882352941
1983,0.2857142857142857,0.6666666666666666,0.047619047619047616
1984,0.09523809523809523,0.7380952380952381,0.16666666666666666
1985,0.21428571428571427,0.75,0.03571428571428571
1986,0.08,0.76,0.16
1987,0.045454545454545456,0.8181818181818182,0.13636363636363635
1988,0.15151515151515152,0.8181818181818182,0.030303030303030304
1989,0.4375,0.5625,0.0
1990,0.10526315789473684,0.7368421052631579,0.15789473684210525
1991,0.06818181818181818,0.8409090909090909,0.09090909090909091
1992,0.1935483870967742,0.8064516129032258,0.0
1993,0.13636363636363635,0.8181818181818182,0.045454545454545456
1994,0.045454545454545456,0.7272727272727273,0.22727272727272727
1995,0.0784313725490196,0.8431372549019608,0.0784313725490196
1996,0.16129032258064516,0.7419354838709677,0.0967741935483871
1997,0.2653061224489796,0.6122448979591837,0.12244897959183673
1998,0.14583333333333334,0.7916666666666666,0.0625
1999,0.10204081632653061,0.8163265306122449,0.08163265306122448
2000,0.2037037037037037,0.7222222222222222,0.07407407407407407
2001,0.08888888888888889,0.8222222222222222,0.08888888888888889
2002,0.16393442622950818,0.7213114754098361,0.11475409836065574
2003,0.18518518518518517,0.6851851851851852,0.12962962962962962
2004,0.20238095238095238,0.6904761904761905,0.10714285714285714
2005,0.14457831325301204,0.7349397590361446,0.12048192771084337
2006,0.0898876404494382,0.8426966292134831,0.06741573033707865
2007,0.11224489795918367,0.7448979591836735,0.14285714285714285
2008,0.15789473684210525,0.7473684210526316,0.09473684210526316
2009,0.1357142857142857,0.8071428571428572,0.05714285714285714
2010,0.15,0.81,0.04
2011,0.15384615384615385,0.7788461538461539,0.0673076923076923
2012,0.15827338129496402,0.7697841726618705,0.07194244604316546
2013,0.11450381679389313,0.7480916030534351,0.13740458015267176
2014,0.14705882352941177,0.7549019607843137,0.09803921568627451
2015,0.11538461538461539,0.7615384615384615,0.12307692307692308
2016,0.17307692307692307,0.7435897435897436,0.08333333333333333
2017,0.1875,0.6875,0.125
