year,pos,neu,neg
1950,0.0,1.0,0.0
1951,0.0,0.0,0.0
1952,0.0,0.0,0.0
1953,0.0,0.0,0.0
1954,0.0,1.0,0.0
1955,0.0,0.0,0.0
1956,0.0,0.0,0.0
1957,0.0,0.0,0.0
1958,0.0,0.0,0.0
1959,0.0,0.0,0.0
1960,0.0,0.0,0.0
1961,0.0,0.0,0.0
1962,0.0,0.0,0.0
1963,0.0,0.0,0.0
1964,0.0,0.0,0.0
1965,0.0,0.0,0.0
1966,0.0,0.0,0.0
1967,0.0,0.0,0.0
1968,0.0,0.0,0.0
1969,0.0,1.0,0.0
1970,0.0,0.0,0.0
1971,0.0,1.0,0.0
1972,0.0,0.0,0.0
1973,0.0,0.0,0.0
1974,0.0,0.0,0.0
1975,0.0,0.0,0.0
1976,0.0,0.0,0.0
1977,0.0,0.0,0.0
1978,1.0,0.0,0.0
1979,0.0,0.0,0.0
1980,0.0,0.0,0.0
1981,0.0,0.0,0.0
1982,0.0,0.0,0.0
1983,0.0,1.0,0.0
1984,0.0,1.0,0.0
1985,0.0,1.0,0.0
1986,0.0,1.0,0.0
1987,0.4,0.6,0.0
1988,0.0,1.0,0.0
1989,0.0,0.6666666666666666,0.3333333333333333
1990,0.0,0.75,0.25
1991,0.15555555555555556,0.7333333333333333,0.1111111111111111
1992,0.07142857142857142,0.6428571428571429,0.2857142857142857
1993,0.23529411764705882,0.47058823529411764,0.29411764705882354
1994,0.35294117647058826,0.5882352941176471,0.058823529411764705
1995,0.2,0.6666666666666666,0.13333333333333333
1996,0.2,0.8,0.0
1997,0.07692307692307693,0.8461538461538461,0.07692307692307693
1998,0.125,0.75,0.125
1999,0.09090909090909091,0.9090909090909091,0.0
2000,0.25,0.6666666666666666,0.08333333333333333
2001,0.4166666666666667,0.5833333333333334,0.0
2002,0.4,0.5,0.1
2003,0.13333333333333333,0.8,0.06666666666666667
2004,0.16666666666666666,0.5833333333333334,0.25
2005,0.2857142857142857,0.7142857142857143,0.0
2006,0.15,0.8,0.05
2007,0.15789473684210525,0.7894736842105263,0.05263157894736842
2008,0.18181818181818182,0.7272727272727273,0.09090909090909091
2009,0.22,0.7,0.08
2010,0.34285714285714286,0.6285714285714286,0.02857142857142857
2011,0.28888888888888886,0.5555555555555556,0.15555555555555556
2012,0.3620689655172414,0.5689655172413793,0.06896551724137931
2013,0.2222222222222222,0.7777777777777778,0.0
2014,0.18181818181818182,0.7636363636363637,0.05454545454545454
2015,0.2459016393442623,0.6557377049180327,0.09836065573770492
2016,0.18543046357615894,0.31125827814569534,0.5033112582781457
2017,0.35,0.6,0.05
