year,pos,neu,neg
1950,0.22727272727272727,0.7727272727272727,0.0
1951,0.2857142857142857,0.7142857142857143,0.0
1952,0.0,1.0,0.0
1953,0.09090909090909091,0.8181818181818182,0.09090909090909091
1954,0.16666666666666666,0.6666666666666666,0.16666666666666666
1955,0.09090909090909091,0.8181818181818182,0.09090909090909091
1956,0.07142857142857142,0.9285714285714286,0.0
1957,0.0,0.6666666666666666,0.3333333333333333
1958,0.4444444444444444,0.5555555555555556,0.0
1959,0.21428571428571427,0.7142857142857143,0.07142857142857142
1960,0.1111111111111111,0.6666666666666666,0.2222222222222222
1961,0.1111111111111111,0.6666666666666666,0.2222222222222222
1962,0.5555555555555556,0.4444444444444444,0.0
1963,0.0,0.7142857142857143,0.2857142857142857
1964,0.1875,0.8125,0.0
1965,0.26666666666666666,0.6,0.13333333333333333
1966,0.21153846153846154,0.7692307692307693,0.019230769230769232
1967,0.16666666666666666,0.75,0.08333333333333333
1968,0.4,0.4,0.2
1969,0.125,0.875,0.0
1970,0.09090909090909091,0.9090909090909091,0.0
1971,0.3333333333333333,0.47619047619047616,0.19047619047619047
1972,0.15384615384615385,0.7692307692307693,0.07692307692307693
1973,0.2,0.8,0.0
1974,0.15,0.75,0.1
1975,0.0,1.0,0.0
1976,0.15384615384615385,0.7692307692307693,0.07692307692307693
1977,0.375,0.5,0.125
1978,0.34615384615384615,0.6153846153846154,0.038461538461538464
1979,0.125,0.875,0.0
1980,0.0,0.9375,0.0625
1981,0.14285714285714285,0.8571428571428571,0.0
1982,0.4,0.4666666666666667,0.13333333333333333
1983,0.4375,0.5,0.0625
1984,0.2222222222222222,0.6666666666666666,0.1111111111111111
1985,0.13333333333333333,0.8666666666666667,0.0
1986,0.08,0.72,0.2
1987,0.18518518518518517,0.6666666666666666,0.14814814814814814
1988,0.125,0.75,0.125
1989,0.17647058823529413,0.7352941176470589,0.08823529411764706
1990,0.09090909090909091,0.8636363636363636,0.045454545454545456
1991,0.27586206896551724,0.6551724137931034,0.06896551724137931
1992,0.0625,0.75,0.1875
1993,0.13636363636363635,0.7727272727272727,0.09090909090909091
1994,0.17857142857142858,0.75,0.07142857142857142
1995,0.15254237288135594,0.7796610169491526,0.06779661016949153
1996,0.06593406593406594,0.8681318681318682,0.06593406593406594
1997,0.22727272727272727,0.7045454545454546,0.06818181818181818
1998,0.05555555555555555,0.8055555555555556,0.1388888888888889
1999,0.1111111111111111,0.6444444444444445,0.24444444444444444
2000,0.1276595744680851,0.7659574468085106,0.10638297872340426
2001,0.2222222222222222,0.4444444444444444,0.3333333333333333
2002,0.18421052631578946,0.7105263157894737,0.10526315789473684
2003,0.22535211267605634,0.6619718309859155,0.11267605633802817
2004,0.12962962962962962,0.7407407407407407,0.12962962962962962
2005,0.1875,0.671875,0.140625
2006,0.11940298507462686,0.7313432835820896,0.14925373134328357
2007,0.2191780821917808,0.6712328767123288,0.1095890410958904
2008,0.16161616161616163,0.7474747474747475,0.09090909090909091
2009,0.20300751879699247,0.7368421052631579,0.06015037593984962
2010,0.1937984496124031,0.7441860465116279,0.06201550387596899
2011,0.12598425196850394,0.7716535433070866,0.10236220472440945
2012,0.17964071856287425,0.7125748502994012,0.10778443113772455
2013,0.1590909090909091,0.7651515151515151,0.07575757575757576
2014,0.18497109826589594,0.7109826589595376,0.10404624277456648
2015,0.16265060240963855,0.7469879518072289,0.09036144578313253
2016,0.19760479041916168,0.7125748502994012,0.08982035928143713
2017,0.18269230769230768,0.7596153846153846,0.057692307692307696
