year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,1.0,0.0
1952,0.0,0.0,0.0
1953,0.0,1.0,0.0
1954,0.0,1.0,0.0
1955,0.0,0.0,0.0
1956,0.0,1.0,0.0
1957,0.0,0.0,0.0
1958,0.0,0.0,0.0
1959,0.0,0.0,0.0
1960,0.0,0.0,0.0
1961,0.0,1.0,0.0
1962,0.0,0.75,0.25
1963,0.16666666666666666,0.8333333333333334,0.0
1964,0.3333333333333333,0.6666666666666666,0.0
1965,0.0,0.8333333333333334,0.16666666666666666
1966,0.0,1.0,0.0
1967,0.0,1.0,0.0
1968,1.0,0.0,0.0
1969,0.16666666666666666,0.8333333333333334,0.0
1970,0.0,0.6666666666666666,0.3333333333333333
1971,0.14285714285714285,0.8571428571428571,0.0
1972,0.0,1.0,0.0
1973,0.0,1.0,0.0
1974,0.08235294117647059,0.5882352941176471,0.32941176470588235
1975,0.2727272727272727,0.5909090909090909,0.13636363636363635
1976,0.2727272727272727,0.36363636363636365,0.36363636363636365
1977,0.0,1.0,0.0
1978,0.3870967741935484,0.5806451612903226,0.03225806451612903
1979,0.2,0.8,0.0
1980,0.25,0.75,0.0
1981,0.16666666666666666,0.8333333333333334,0.0
1982,0.0,1.0,0.0
1983,0.3157894736842105,0.5789473684210527,0.10526315789473684
1984,0.16666666666666666,0.8333333333333334,0.0
1985,0.3,0.7,0.0
1986,0.09090909090909091,0.7272727272727273,0.18181818181818182
1987,0.18181818181818182,0.7272727272727273,0.09090909090909091
1988,0.0,0.8333333333333334,0.16666666666666666
1989,0.36363636363636365,0.6363636363636364,0.0
1990,0.14285714285714285,0.8571428571428571,0.0
1991,0.14285714285714285,0.8571428571428571,0.0
1992,0.1,0.8,0.1
1993,0.0,0.8888888888888888,0.1111111111111111
1994,0.2777777777777778,0.7222222222222222,0.0
1995,0.29310344827586204,0.603448275862069,0.10344827586206896
1996,0.2413793103448276,0.6896551724137931,0.06896551724137931
1997,0.13793103448275862,0.8620689655172413,0.0
1998,0.16216216216216217,0.7567567567567568,0.08108108108108109
1999,0.1590909090909091,0.75,0.09090909090909091
2000,0.0,1.0,0.0
2001,0.0975609756097561,0.8292682926829268,0.07317073170731707
2002,0.13432835820895522,0.8059701492537313,0.05970149253731343
2003,0.2,0.7090909090909091,0.09090909090909091
2004,0.16883116883116883,0.7922077922077922,0.03896103896103896
2005,0.05952380952380952,0.8809523809523809,0.05952380952380952
2006,0.10714285714285714,0.8690476190476191,0.023809523809523808
2007,0.046296296296296294,0.8796296296296297,0.07407407407407407
2008,0.11214953271028037,0.8411214953271028,0.04672897196261682
2009,0.1111111111111111,0.8622222222222222,0.02666666666666667
2010,0.07169811320754717,0.8905660377358491,0.03773584905660377
2011,0.052083333333333336,0.8958333333333334,0.052083333333333336
2012,0.03389830508474576,0.8305084745762712,0.13559322033898305
2013,0.125,0.8125,0.0625
2014,0.11320754716981132,0.8490566037735849,0.03773584905660377
2015,0.21311475409836064,0.7295081967213115,0.05737704918032787
2016,0.30337078651685395,0.6404494382022472,0.056179775280898875
2017,0.10638297872340426,0.8297872340425532,0.06382978723404255
