year,pos,neu,neg
1950,0.0,1.0,0.0
1951,0.0,0.0,0.0
1952,0.5,0.5,0.0
1953,0.0,1.0,0.0
1954,0.0,1.0,0.0
1955,0.0,1.0,0.0
1956,0.0,1.0,0.0
1957,0.0,1.0,0.0
1958,0.0,0.0,0.0
1959,0.0,0.75,0.25
1960,0.0,0.0,0.0
1961,0.0,0.875,0.125
1962,0.0,0.0,0.0
1963,0.0,0.0,0.0
1964,0.25,0.75,0.0
1965,0.375,0.5,0.125
1966,0.0,0.0,0.0
1967,0.0,1.0,0.0
1968,0.25,0.5,0.25
1969,0.0,1.0,0.0
1970,0.16666666666666666,0.8333333333333334,0.0
1971,0.0,0.5,0.5
1972,0.0,0.0,0.0
1973,0.0,1.0,0.0
1974,0.0,1.0,0.0
1975,0.5,0.5,0.0
1976,0.0,0.0,0.0
1977,0.0,1.0,0.0
1978,0.0,1.0,0.0
1979,0.0,1.0,0.0
1980,0.0,1.0,0.0
1981,0.0,1.0,0.0
1982,0.3333333333333333,0.6666666666666666,0.0
1983,0.0,1.0,0.0
1984,0.0,0.0,0.0
1985,0.21428571428571427,0.7857142857142857,0.0
1986,0.3333333333333333,0.6666666666666666,0.0
1987,0.25,0.75,0.0
1988,0.0,0.5,0.5
1989,0.0,1.0,0.0
1990,0.2222222222222222,0.7777777777777778,0.0
1991,0.0,0.0,0.0
1992,0.0,0.0,0.0
1993,0.16666666666666666,0.8333333333333334,0.0
1994,0.25,0.0,0.75
1995,0.0,1.0,0.0
1996,0.0,0.75,0.25
1997,0.5,0.5,0.0
1998,0.0,0.8,0.2
1999,0.3333333333333333,0.6666666666666666,0.0
2000,0.16666666666666666,0.8333333333333334,0.0
2001,0.14285714285714285,0.7142857142857143,0.14285714285714285
2002,0.25,0.75,0.0
2003,0.2,0.8,0.0
2004,0.16666666666666666,0.8333333333333334,0.0
2005,0.17647058823529413,0.7647058823529411,0.058823529411764705
2006,0.13333333333333333,0.5333333333333333,0.3333333333333333
2007,0.14285714285714285,0.7857142857142857,0.07142857142857142
2008,0.15789473684210525,0.6842105263157895,0.15789473684210525
2009,0.21052631578947367,0.6842105263157895,0.10526315789473684
2010,0.15151515151515152,0.8484848484848485,0.0
2011,0.09090909090909091,0.9090909090909091,0.0
2012,0.16666666666666666,0.75,0.08333333333333333
2013,0.21052631578947367,0.7368421052631579,0.05263157894736842
2014,0.2777777777777778,0.6111111111111112,0.1111111111111111
2015,0.14285714285714285,0.5,0.35714285714285715
2016,0.0,0.9629629629629629,0.037037037037037035
2017,0.13793103448275862,0.7586206896551724,0.10344827586206896
