year,pos,neu,neg
1950,0.6666666666666666,0.3333333333333333,0.0
1951,0.0,1.0,0.0
1952,0.6666666666666666,0.3333333333333333,0.0
1953,0.375,0.5,0.125
1954,0.0,1.0,0.0
1955,0.3333333333333333,0.6666666666666666,0.0
1956,0.21428571428571427,0.7142857142857143,0.07142857142857142
1957,0.0,1.0,0.0
1958,0.25,0.75,0.0
1959,0.0,1.0,0.0
1960,0.3333333333333333,0.5,0.16666666666666666
1961,0.4,0.6,0.0
1962,0.2,0.8,0.0
1963,0.2,0.8,0.0
1964,0.14285714285714285,0.5714285714285714,0.2857142857142857
1965,0.0,0.0,0.0
1966,0.3333333333333333,0.6666666666666666,0.0
1967,0.0,1.0,0.0
1968,0.4,0.6,0.0
1969,0.18181818181818182,0.7272727272727273,0.09090909090909091
1970,0.25,0.5,0.25
1971,0.5,0.5,0.0
1972,0.0,1.0,0.0
1973,0.07142857142857142,0.8571428571428571,0.07142857142857142
1974,0.0,0.0,1.0
1975,0.75,0.25,0.0
1976,0.4,0.5,0.1
1977,0.0,1.0,0.0
1978,0.5,0.5,0.0
1979,0.5,0.5,0.0
1980,0.0,1.0,0.0
1981,0.0,0.0,0.0
1982,0.3333333333333333,0.6666666666666666,0.0
1983,0.25,0.75,0.0
1984,0.0,0.75,0.25
1985,0.8333333333333334,0.16666666666666666,0.0
1986,0.0,1.0,0.0
1987,0.375,0.625,0.0
1988,0.42857142857142855,0.5714285714285714,0.0
1989,0.25,0.75,0.0
1990,0.8,0.2,0.0
1991,0.0,1.0,0.0
1992,0.16666666666666666,0.8333333333333334,0.0
1993,0.0,1.0,0.0
1994,0.2857142857142857,0.5714285714285714,0.14285714285714285
1995,0.0,1.0,0.0
1996,0.16666666666666666,0.5,0.3333333333333333
1997,0.4,0.6,0.0
1998,0.08333333333333333,0.8333333333333334,0.08333333333333333
1999,0.25,0.75,0.0
2000,0.42857142857142855,0.5714285714285714,0.0
2001,0.6,0.4,0.0
2002,0.23076923076923078,0.7692307692307693,0.0
2003,0.21739130434782608,0.6086956521739131,0.17391304347826086
2004,0.11764705882352941,0.7058823529411765,0.17647058823529413
2005,0.35714285714285715,0.5,0.14285714285714285
2006,0.4166666666666667,0.5833333333333334,0.0
2007,0.125,0.75,0.125
2008,0.10526315789473684,0.7368421052631579,0.15789473684210525
2009,0.1111111111111111,0.7037037037037037,0.18518518518518517
2010,0.25,0.6875,0.0625
2011,0.3076923076923077,0.6461538461538462,0.046153846153846156
2012,0.3673469387755102,0.5918367346938775,0.04081632653061224
2013,0.20754716981132076,0.7924528301886793,0.0
2014,0.14545454545454545,0.8363636363636363,0.01818181818181818
2015,0.21978021978021978,0.7582417582417582,0.02197802197802198
2016,0.22448979591836735,0.7142857142857143,0.061224489795918366
2017,0.16,0.76,0.08
