year,pos,neu,neg
1950,0.3333333333333333,0.6666666666666666,0.0
1951,0.0,0.0,0.0
1952,0.0,1.0,0.0
1953,0.0,0.0,0.0
1954,1.0,0.0,0.0
1955,0.0,0.0,0.0
1956,0.0,0.0,0.0
1957,0.0,0.0,0.0
1958,0.6666666666666666,0.3333333333333333,0.0
1959,0.0,0.0,0.0
1960,0.0,0.8333333333333334,0.16666666666666666
1961,0.0,1.0,0.0
1962,0.0,0.0,0.0
1963,0.0,0.0,0.0
1964,0.0,0.0,0.0
1965,0.0,0.0,0.0
1966,0.0,1.0,0.0
1967,0.3333333333333333,0.6666666666666666,0.0
1968,0.0,1.0,0.0
1969,0.6666666666666666,0.3333333333333333,0.0
1970,0.0,0.0,0.0
1971,0.0,0.0,0.0
1972,0.5,0.5,0.0
1973,0.0,0.0,0.0
1974,0.0,0.0,1.0
1975,0.0,0.0,0.0
1976,0.0,1.0,0.0
1977,0.0,1.0,0.0
1978,0.0,0.0,0.0
1979,0.5,0.5,0.0
1980,0.0,0.0,0.0
1981,0.0,0.0,0.0
1982,0.0,0.0,0.0
1983,0.5,0.5,0.0
1984,0.0,0.0,0.0
1985,0.0,0.0,0.0
1986,1.0,0.0,0.0
1987,1.0,0.0,0.0
1988,0.42857142857142855,0.42857142857142855,0.14285714285714285
1989,1.0,0.0,0.0
1990,0.46153846153846156,0.5384615384615384,0.0
1991,0.0,0.0,0.0
1992,1.0,0.0,0.0
1993,0.5,0.5,0.0
1994,0.6666666666666666,0.3333333333333333,0.0
1995,0.5,0.5,0.0
1996,0.5,0.5,0.0
1997,0.0,0.0,0.0
1998,0.3333333333333333,0.6666666666666666,0.0
1999,0.0,0.5,0.5
2000,0.0,1.0,0.0
2001,0.07692307692307693,0.9230769230769231,0.0
2002,0.0,0.6666666666666666,0.3333333333333333
2003,0.0,0.7142857142857143,0.2857142857142857
2004,0.10526315789473684,0.8421052631578947,0.05263157894736842
2005,1.0,0.0,0.0
2006,0.2,0.8,0.0
2007,0.2,0.6,0.2
2008,0.0,1.0,0.0
2009,0.2857142857142857,0.5714285714285714,0.14285714285714285
2010,0.25,0.25,0.5
2011,0.3333333333333333,0.6666666666666666,0.0
2012,0.3,0.7,0.0
2013,0.41379310344827586,0.5517241379310345,0.034482758620689655
2014,0.25,0.5833333333333334,0.16666666666666666
2015,0.2,0.8,0.0
2016,0.2777777777777778,0.6666666666666666,0.05555555555555555
2017,0.3333333333333333,0.5,0.16666666666666666
