year,pos,neu,neg
1950,0.0,1.0,0.0
1951,0.0,1.0,0.0
1952,0.0,1.0,0.0
1953,0.5,0.5,0.0
1954,0.16666666666666666,0.8333333333333334,0.0
1955,0.0,1.0,0.0
1956,0.2,0.8,0.0
1957,1.0,0.0,0.0
1958,0.0,1.0,0.0
1959,0.0,0.0,0.0
1960,0.0,0.0,0.0
1961,1.0,0.0,0.0
1962,0.5,0.5,0.0
1963,0.0,0.0,0.0
1964,0.0,1.0,0.0
1965,0.5,0.5,0.0
1966,0.6666666666666666,0.3333333333333333,0.0
1967,0.0,0.0,1.0
1968,0.0,1.0,0.0
1969,0.14285714285714285,0.7142857142857143,0.14285714285714285
1970,0.0,1.0,0.0
1971,0.0,1.0,0.0
1972,0.0,0.0,0.0
1973,0.0,1.0,0.0
1974,0.0,1.0,0.0
1975,0.0,0.6666666666666666,0.3333333333333333
1976,0.0,1.0,0.0
1977,0.0,1.0,0.0
1978,0.0,0.0,0.0
1979,0.0,1.0,0.0
1980,0.25,0.75,0.0
1981,0.0,1.0,0.0
1982,0.0,0.8571428571428571,0.14285714285714285
1983,0.0,0.8,0.2
1984,0.0,0.5,0.5
1985,1.0,0.0,0.0
1986,0.0,1.0,0.0
1987,0.2,0.8,0.0
1988,0.16666666666666666,0.6666666666666666,0.16666666666666666
1989,0.0,1.0,0.0
1990,0.18181818181818182,0.6363636363636364,0.18181818181818182
1991,0.5,0.5,0.0
1992,0.0,1.0,0.0
1993,0.16666666666666666,0.7777777777777778,0.05555555555555555
1994,0.16666666666666666,0.8333333333333334,0.0
1995,0.5,0.3333333333333333,0.16666666666666666
1996,0.0,0.0,0.0
1997,0.0,1.0,0.0
1998,0.0,1.0,0.0
1999,0.23076923076923078,0.6153846153846154,0.15384615384615385
2000,0.3333333333333333,0.6666666666666666,0.0
2001,0.2,0.6,0.2
2002,0.2,0.6666666666666666,0.13333333333333333
2003,0.3,0.7,0.0
2004,0.2857142857142857,0.5714285714285714,0.14285714285714285
2005,0.3,0.7,0.0
2006,0.0,0.8333333333333334,0.16666666666666666
2007,0.1111111111111111,0.7777777777777778,0.1111111111111111
2008,0.26666666666666666,0.5333333333333333,0.2
2009,0.3125,0.625,0.0625
2010,0.32,0.6,0.08
2011,0.3103448275862069,0.5172413793103449,0.1724137931034483
2012,0.38095238095238093,0.5238095238095238,0.09523809523809523
2013,0.21052631578947367,0.6842105263157895,0.10526315789473684
2014,0.15789473684210525,0.7894736842105263,0.05263157894736842
2015,0.21052631578947367,0.7631578947368421,0.02631578947368421
2016,0.25,0.6388888888888888,0.1111111111111111
2017,0.375,0.625,0.0
