year,pos,neu,neg
1950,0.0,0.5,0.5
1951,0.0,1.0,0.0
1952,0.0,0.0,0.0
1953,0.5,0.5,0.0
1954,0.0,1.0,0.0
1955,0.0,0.6666666666666666,0.3333333333333333
1956,0.0,1.0,0.0
1957,0.0,1.0,0.0
1958,0.3333333333333333,0.3333333333333333,0.3333333333333333
1959,0.16666666666666666,0.6666666666666666,0.16666666666666666
1960,0.25,0.75,0.0
1961,0.0,1.0,0.0
1962,0.3333333333333333,0.6666666666666666,0.0
1963,0.0,0.75,0.25
1964,0.0,1.0,0.0
1965,0.3333333333333333,0.6666666666666666,0.0
1966,0.125,0.75,0.125
1967,0.25,0.75,0.0
1968,0.0,1.0,0.0
1969,0.4,0.6,0.0
1970,0.0,1.0,0.0
1971,0.0,1.0,0.0
1972,0.2,0.8,0.0
1973,0.14285714285714285,0.8571428571428571,0.0
1974,0.0,1.0,0.0
1975,0.5714285714285714,0.42857142857142855,0.0
1976,0.0,1.0,0.0
1977,0.0,0.8571428571428571,0.14285714285714285
1978,0.1111111111111111,0.8888888888888888,0.0
1979,0.1,0.8,0.1
1980,0.0,1.0,0.0
1981,0.25,0.75,0.0
1982,0.0,1.0,0.0
1983,0.0,0.6666666666666666,0.3333333333333333
1984,0.0,1.0,0.0
1985,0.2,0.8,0.0
1986,0.1111111111111111,0.7777777777777778,0.1111111111111111
1987,0.07692307692307693,0.9230769230769231,0.0
1988,0.0,0.6666666666666666,0.3333333333333333
1989,0.0,0.8333333333333334,0.16666666666666666
1990,0.5555555555555556,0.3333333333333333,0.1111111111111111
1991,0.3333333333333333,0.6666666666666666,0.0
1992,0.14285714285714285,0.8571428571428571,0.0
1993,0.0,1.0,0.0
1994,0.2857142857142857,0.5714285714285714,0.14285714285714285
1995,0.25,0.75,0.0
1996,0.6,0.4,0.0
1997,0.23076923076923078,0.6923076923076923,0.07692307692307693
1998,0.07692307692307693,0.9230769230769231,0.0
1999,0.14814814814814814,0.6296296296296297,0.2222222222222222
2000,0.13333333333333333,0.8,0.06666666666666667
2001,0.1875,0.8125,0.0
2002,0.15384615384615385,0.7692307692307693,0.07692307692307693
2003,0.1111111111111111,0.7777777777777778,0.1111111111111111
2004,0.0,0.8823529411764706,0.11764705882352941
2005,0.2857142857142857,0.7142857142857143,0.0
2006,0.22580645161290322,0.7096774193548387,0.06451612903225806
2007,0.1111111111111111,0.8888888888888888,0.0
2008,0.13043478260869565,0.8043478260869565,0.06521739130434782
2009,0.2647058823529412,0.6470588235294118,0.08823529411764706
2010,0.06976744186046512,0.7906976744186046,0.13953488372093023
2011,0.12,0.76,0.12
2012,0.20967741935483872,0.6612903225806451,0.12903225806451613
2013,0.14925373134328357,0.7761194029850746,0.07462686567164178
2014,0.20588235294117646,0.7205882352941176,0.07352941176470588
2015,0.16326530612244897,0.7142857142857143,0.12244897959183673
2016,0.18,0.74,0.08
2017,0.14285714285714285,0.75,0.10714285714285714
