year,pos,neu,neg
1950,0.13043478260869565,0.782608695652174,0.08695652173913043
1951,0.2857142857142857,0.7142857142857143,0.0
1952,0.1,0.9,0.0
1953,0.1935483870967742,0.6774193548387096,0.12903225806451613
1954,0.13333333333333333,0.7777777777777778,0.08888888888888889
1955,0.1590909090909091,0.75,0.09090909090909091
1956,0.18181818181818182,0.8181818181818182,0.0
1957,0.13636363636363635,0.7045454545454546,0.1590909090909091
1958,0.13559322033898305,0.5254237288135594,0.3389830508474576
1959,0.07142857142857142,0.8571428571428571,0.07142857142857142
1960,0.0,1.0,0.0
1961,0.16666666666666666,0.75,0.08333333333333333
1962,0.16129032258064516,0.6774193548387096,0.16129032258064516
1963,0.15789473684210525,0.8421052631578947,0.0
1964,0.0,1.0,0.0
1965,0.10909090909090909,0.7818181818181819,0.10909090909090909
1966,0.23595505617977527,0.6966292134831461,0.06741573033707865
1967,0.3188405797101449,0.5797101449275363,0.10144927536231885
1968,0.20454545454545456,0.6477272727272727,0.14772727272727273
1969,0.09523809523809523,0.7619047619047619,0.14285714285714285
1970,0.19298245614035087,0.6491228070175439,0.15789473684210525
1971,0.16129032258064516,0.7419354838709677,0.0967741935483871
1972,0.16666666666666666,0.7333333333333333,0.1
1973,0.14634146341463414,0.7073170731707317,0.14634146341463414
1974,0.15555555555555556,0.5555555555555556,0.28888888888888886
1975,0.1111111111111111,0.7407407407407407,0.14814814814814814
1976,0.08888888888888889,0.8444444444444444,0.06666666666666667
1977,0.16666666666666666,0.7777777777777778,0.05555555555555555
1978,0.25,0.5,0.25
1979,0.0425531914893617,0.8085106382978723,0.14893617021276595
1980,0.24489795918367346,0.5918367346938775,0.16326530612244897
1981,0.1590909090909091,0.6818181818181818,0.1590909090909091
1982,0.1,0.7333333333333333,0.16666666666666666
1983,0.19230769230769232,0.5961538461538461,0.21153846153846154
1984,0.14084507042253522,0.704225352112676,0.15492957746478872
1985,0.15702479338842976,0.7355371900826446,0.10743801652892562
1986,0.16666666666666666,0.7666666666666667,0.06666666666666667
1987,0.15730337078651685,0.7528089887640449,0.0898876404494382
1988,0.2,0.6333333333333333,0.16666666666666666
1989,0.24242424242424243,0.6363636363636364,0.12121212121212122
1990,0.12857142857142856,0.7428571428571429,0.12857142857142856
1991,0.20754716981132076,0.6792452830188679,0.11320754716981132
1992,0.17647058823529413,0.6764705882352942,0.14705882352941177
1993,0.15151515151515152,0.6767676767676768,0.1717171717171717
1994,0.15841584158415842,0.6237623762376238,0.21782178217821782
1995,0.10843373493975904,0.7108433734939759,0.18072289156626506
1996,0.06493506493506493,0.7142857142857143,0.22077922077922077
1997,0.23529411764705882,0.5882352941176471,0.17647058823529413
1998,0.17525773195876287,0.6701030927835051,0.15463917525773196
1999,0.13829787234042554,0.7021276595744681,0.1595744680851064
2000,0.10588235294117647,0.8470588235294118,0.047058823529411764
2001,0.12698412698412698,0.6746031746031746,0.1984126984126984
2002,0.16296296296296298,0.6222222222222222,0.21481481481481482
2003,0.15126050420168066,0.7142857142857143,0.13445378151260504
2004,0.19230769230769232,0.75,0.057692307692307696
2005,0.18048780487804877,0.6780487804878049,0.14146341463414633
2006,0.16379310344827586,0.646551724137931,0.1896551724137931
2007,0.15833333333333333,0.6458333333333334,0.19583333333333333
2008,0.1340782122905028,0.7094972067039106,0.1564245810055866
2009,0.11570247933884298,0.6942148760330579,0.19008264462809918
2010,0.15819209039548024,0.7288135593220338,0.11299435028248588
2011,0.17253521126760563,0.6619718309859155,0.16549295774647887
2012,0.20987654320987653,0.6358024691358025,0.15432098765432098
2013,0.12234042553191489,0.7340425531914894,0.14361702127659576
2014,0.1276595744680851,0.6899696048632219,0.182370820668693
2015,0.13991769547325103,0.6790123456790124,0.18106995884773663
2016,0.1930379746835443,0.6487341772151899,0.15822784810126583
2017,0.17687074829931973,0.6802721088435374,0.14285714285714285
