year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,1.0,0.0
1952,0.0,1.0,0.0
1953,0.0,1.0,0.0
1954,0.0,0.0,0.0
1955,0.6666666666666666,0.3333333333333333,0.0
1956,0.0,1.0,0.0
1957,0.25,0.75,0.0
1958,0.5,0.5,0.0
1959,0.5,0.5,0.0
1960,0.0,1.0,0.0
1961,0.0,1.0,0.0
1962,0.0,1.0,0.0
1963,0.14285714285714285,0.7142857142857143,0.14285714285714285
1964,0.0,1.0,0.0
1965,0.6666666666666666,0.0,0.3333333333333333
1966,0.0,1.0,0.0
1967,0.0,1.0,0.0
1968,0.0,1.0,0.0
1969,0.0,1.0,0.0
1970,0.5,0.5,0.0
1971,0.0,1.0,0.0
1972,0.14285714285714285,0.8571428571428571,0.0
1973,0.125,0.75,0.125
1974,0.0,1.0,0.0
1975,0.4,0.6,0.0
1976,0.25,0.625,0.125
1977,0.0,1.0,0.0
1978,0.25,0.75,0.0
1979,0.6666666666666666,0.16666666666666666,0.16666666666666666
1980,0.0,0.5454545454545454,0.45454545454545453
1981,0.2,0.6,0.2
1982,0.0,1.0,0.0
1983,0.5,0.5,0.0
1984,0.5,0.5,0.0
1985,0.0,0.375,0.625
1986,0.0,1.0,0.0
1987,0.2,0.8,0.0
1988,0.3333333333333333,0.6666666666666666,0.0
1989,0.05263157894736842,0.9473684210526315,0.0
1990,0.25,0.75,0.0
1991,0.0,1.0,0.0
1992,0.2222222222222222,0.7777777777777778,0.0
1993,0.0,0.8,0.2
1994,0.20689655172413793,0.7241379310344828,0.06896551724137931
1995,0.09259259259259259,0.8148148148148148,0.09259259259259259
1996,0.11214953271028037,0.7009345794392523,0.18691588785046728
1997,0.06349206349206349,0.8253968253968254,0.1111111111111111
1998,0.14285714285714285,0.7402597402597403,0.11688311688311688
1999,0.2,0.7714285714285715,0.02857142857142857
2000,0.1836734693877551,0.8163265306122449,0.0
2001,0.2972972972972973,0.6756756756756757,0.02702702702702703
2002,0.3055555555555556,0.5277777777777778,0.16666666666666666
2003,0.18181818181818182,0.75,0.06818181818181818
2004,0.07692307692307693,0.7692307692307693,0.15384615384615385
2005,0.2916666666666667,0.6666666666666666,0.041666666666666664
2006,0.2727272727272727,0.6363636363636364,0.09090909090909091
2007,0.09090909090909091,0.696969696969697,0.21212121212121213
2008,0.20689655172413793,0.6206896551724138,0.1724137931034483
2009,0.16883116883116883,0.6363636363636364,0.19480519480519481
2010,0.1590909090909091,0.75,0.09090909090909091
2011,0.2727272727272727,0.6590909090909091,0.06818181818181818
2012,0.14925373134328357,0.7761194029850746,0.07462686567164178
2013,0.24210526315789474,0.7157894736842105,0.042105263157894736
2014,0.22137404580152673,0.6946564885496184,0.08396946564885496
2015,0.23636363636363636,0.7090909090909091,0.05454545454545454
2016,0.2638888888888889,0.6388888888888888,0.09722222222222222
2017,0.32,0.64,0.04
