year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,0.0,0.0
1952,0.0,0.0,0.0
1953,0.0,0.0,0.0
1954,0.0,1.0,0.0
1955,0.0,1.0,0.0
1956,0.0,0.0,0.0
1957,0.0,0.0,0.0
1958,0.0,0.0,0.0
1959,0.0,0.0,0.0
1960,0.0,0.0,0.0
1961,0.0,0.0,0.0
1962,0.0,0.0,0.0
1963,0.0,0.0,0.0
1964,0.0,0.0,0.0
1965,0.5,0.0,0.5
1966,0.0,0.0,0.0
1967,0.0,0.0,0.0
1968,0.0,0.0,0.0
1969,0.0,1.0,0.0
1970,1.0,0.0,0.0
1971,0.0,1.0,0.0
1972,0.0,0.0,0.0
1973,0.0,1.0,0.0
1974,0.0,0.0,0.0
1975,0.0,1.0,0.0
1976,0.0,1.0,0.0
1977,0.0,1.0,0.0
1978,0.0,0.8,0.2
1979,0.0,0.0,0.0
1980,0.0,0.0,0.0
1981,0.0,1.0,0.0
1982,0.0,0.0,0.0
1983,0.0,1.0,0.0
1984,1.0,0.0,0.0
1985,0.0,1.0,0.0
1986,0.0,0.0,0.0
1987,0.0,1.0,0.0
1988,0.3333333333333333,0.6666666666666666,0.0
1989,0.0,1.0,0.0
1990,0.5,0.5,0.0
1991,0.3333333333333333,0.3333333333333333,0.3333333333333333
1992,0.0,1.0,0.0
1993,0.0,1.0,0.0
1994,0.0,0.0,0.0
1995,0.2727272727272727,0.6363636363636364,0.09090909090909091
1996,0.3333333333333333,0.6666666666666666,0.0
1997,0.0,0.8,0.2
1998,0.0,1.0,0.0
1999,0.0,0.0,0.0
2000,0.6,0.2,0.2
2001,0.5,0.5,0.0
2002,0.125,0.75,0.125
2003,0.0,1.0,0.0
2004,0.05,0.7,0.25
2005,0.1111111111111111,0.7777777777777778,0.1111111111111111
2006,0.0,1.0,0.0
2007,0.0,1.0,0.0
2008,0.0,0.7857142857142857,0.21428571428571427
2009,0.16666666666666666,0.6666666666666666,0.16666666666666666
2010,0.23529411764705882,0.7352941176470589,0.029411764705882353
2011,0.18181818181818182,0.8181818181818182,0.0
2012,0.3333333333333333,0.6666666666666666,0.0
2013,0.2857142857142857,0.7142857142857143,0.0
2014,0.25,0.6944444444444444,0.05555555555555555
2015,0.0,0.8181818181818182,0.18181818181818182
2016,0.125,0.75,0.125
2017,1.0,0.0,0.0
