year,pos,neu,neg
1950,0.23404255319148937,0.723404255319149,0.0425531914893617
1951,0.23809523809523808,0.7380952380952381,0.023809523809523808
1952,0.15151515151515152,0.7575757575757576,0.09090909090909091
1953,0.4375,0.4375,0.125
1954,0.13636363636363635,0.8409090909090909,0.022727272727272728
1955,0.2,0.74,0.06
1956,0.1951219512195122,0.7317073170731707,0.07317073170731707
1957,0.358974358974359,0.5384615384615384,0.10256410256410256
1958,0.2608695652173913,0.6521739130434783,0.08695652173913043
1959,0.3125,0.671875,0.015625
1960,0.35,0.5666666666666667,0.08333333333333333
1961,0.21052631578947367,0.7368421052631579,0.05263157894736842
1962,0.27941176470588236,0.6764705882352942,0.04411764705882353
1963,0.26865671641791045,0.6865671641791045,0.04477611940298507
1964,0.18840579710144928,0.7101449275362319,0.10144927536231885
1965,0.3263157894736842,0.6105263157894737,0.06315789473684211
1966,0.34,0.56,0.1
1967,0.18604651162790697,0.7209302325581395,0.09302325581395349
1968,0.234375,0.65625,0.109375
1969,0.39325842696629215,0.550561797752809,0.056179775280898875
1970,0.2,0.6933333333333334,0.10666666666666667
1971,0.20930232558139536,0.7325581395348837,0.05813953488372093
1972,0.2,0.7111111111111111,0.08888888888888889
1973,0.29473684210526313,0.6105263157894737,0.09473684210526316
1974,0.2375,0.65,0.1125
1975,0.24175824175824176,0.7472527472527473,0.01098901098901099
1976,0.2835820895522388,0.6368159203980099,0.07960199004975124
1977,0.29310344827586204,0.6120689655172413,0.09482758620689655
1978,0.2222222222222222,0.6944444444444444,0.08333333333333333
1979,0.2159090909090909,0.6590909090909091,0.125
1980,0.19696969696969696,0.6515151515151515,0.15151515151515152
1981,0.29523809523809524,0.6190476190476191,0.08571428571428572
1982,0.25735294117647056,0.6470588235294118,0.09558823529411764
1983,0.39072847682119205,0.5165562913907285,0.09271523178807947
1984,0.20382165605095542,0.6942675159235668,0.10191082802547771
1985,0.25153374233128833,0.6748466257668712,0.0736196319018405
1986,0.20625,0.70625,0.0875
1987,0.2648648648648649,0.6216216216216216,0.11351351351351352
1988,0.25980392156862747,0.6617647058823529,0.0784313725490196
1989,0.19270833333333334,0.7135416666666666,0.09375
1990,0.2409090909090909,0.6909090909090909,0.06818181818181818
1991,0.24550898203592814,0.6706586826347305,0.08383233532934131
1992,0.17766497461928935,0.7157360406091371,0.1065989847715736
1993,0.25301204819277107,0.6927710843373494,0.05421686746987952
1994,0.24789915966386555,0.6302521008403361,0.12184873949579832
1995,0.2289156626506024,0.6566265060240963,0.1144578313253012
1996,0.27307692307692305,0.6346153846153846,0.09230769230769231
1997,0.22083333333333333,0.65,0.12916666666666668
1998,0.24050632911392406,0.6487341772151899,0.11075949367088607
1999,0.2808219178082192,0.6267123287671232,0.09246575342465753
2000,0.20823244552058112,0.7191283292978208,0.07263922518159806
2001,0.2465753424657534,0.6506849315068494,0.10273972602739725
2002,0.29636711281070743,0.621414913957935,0.08221797323135756
2003,0.2694736842105263,0.6357894736842106,0.09473684210526316
2004,0.2490118577075099,0.6343873517786561,0.116600790513834
2005,0.21350364963503649,0.6879562043795621,0.09854014598540146
2006,0.2872340425531915,0.6063829787234043,0.10638297872340426
2007,0.26837806301050177,0.6406067677946324,0.09101516919486581
2008,0.253315649867374,0.6591511936339522,0.08753315649867374
2009,0.27675675675675676,0.6443243243243243,0.07891891891891892
2010,0.25,0.6533613445378151,0.09663865546218488
2011,0.2674066599394551,0.6377396569122099,0.09485368314833502
2012,0.28071672354948807,0.6237201365187713,0.09556313993174062
2013,0.26838235294117646,0.6167279411764706,0.11488970588235294
2014,0.29900332225913623,0.6004983388704319,0.1004983388704319
2015,0.2857142857142857,0.611633875106929,0.10265183917878529
2016,0.24819494584837545,0.6570397111913358,0.09476534296028881
2017,0.28214285714285714,0.6446428571428572,0.07321428571428572
