code,title,sense,original,max_similarity,avg_similarity
11-1011,polouse detective,detective.n.01,police_detective,3.132675433428e-05,6.948394732992303e-06
11-1011,commissioner,commissioner.n.02,commissioner,0.019105002867014616,0.0016219896801086197
11-1011,administrator,administrator.n.03,administrator,0.0006922318811386555,0.0001110261045404084
11-1011,president,president.n.05,president,0.10320205636123177,0.0076994238898863325
11-1011,polouse officer,policeman.n.01,police_officer,3.6532008253967735e-06,5.833534670824599e-07
11-1011,policeman,policeman.n.01,policeman,7.243639067658072e-06,1.213730204692529e-06
11-1011,officer,policeman.n.01,officer,0.0003307010882564185,2.6193282462858728e-05
11-1011,university president,university.n.03 president.n.05,university_president,1.0,1.0
11-1011,school superintendent,school_superintendent.n.01,school_superintendent,1.0,1.0
11-1011,mayor,mayor.n.01,mayor,1.0,1.0
11-1011,city manager,mayor.n.01,city_manager,0.002680031511434342,0.00018270393979472055
11-1011,governor,governor.n.01,governor,1.0,1.0
11-1011,government service executive,politics.n.02 service.n.04 administrator.n.03,government_service_executive,1.0,1.0
11-1011,county commissioner,county.n.02 commissioner.n.02,county_commissioner,1.0,1.0
11-1011,commissioner of internal revenue,commissioner.n.02 internal.s.02 tax_income.n.01,commissioner_of_internal_revenue,1.0,1.0
11-1011,chief sustainability officer,chief.s.01 sustainability.n.01 policeman.n.01,chief_sustainability_officer,1.0,1.0
11-1011,chief financial officer,chief_financial_officer.n.01,chief_financial_officer,1.0,1.0
11-1011,chief executive officer,chief_executive_officer.n.01,chief_executive_officer,1.0,1.0
11-1011,ceo,chief_executive_officer.n.01,ceo,1.0,1.0
11-1011,chief operating officer,chief_executive_officer.n.01,chief_operating_officer,1.0,1.0
11-1011,admiral,admiral.n.01,admiral,1.0,1.0
11-1011,full admiral,admiral.n.01,full_admiral,0.00012366051737693195,1.4612372111202215e-05
11-1011,military governor,military_governor.n.01,military_governor,0.00027049792518833065,3.470938810970833e-05
11-1011,proconsul,proconsul.n.02,proconsul,2.9704213863731766e-08,5.4514841596806965e-09
11-1011,superintendent,overseer.n.01,superintendent,0.0039986416963095186,0.00031472895038331356
