year,Management,Business and Financial Operations,Computer and Mathematical,Architecture and Engineering,"Life, Physical, and Social Science",Community and Social Service,Legal,Educational Instruction and Library,"Arts, Design, Entertainment, Sports, and Media",Healthcare Practitioners and Technical Occupations,Healthcare Support,Protective Service,Food Preparation and Serving Related Occupations,Building and Grounds Cleaning and Maintenance,Personal Care and Service,Sales and Related Occupations,Office and Administrative Support,"Farming, Fishing, and Forestry",Construction and Extraction,"Installation, Maintenance, and Repair",Production,Transportation and Material Moving
1999,0.0633547307384069,0.0342723572764272,0.0205861369957729,0.0196927887863978,0.0071462356805003,0.0110355610729607,0.0067438754183886,0.0577088014834137,0.0121910209469333,0.0471577069943586,0.0233416094410484,0.0232469318163961,0.0761190030956833,0.0335826641733582,0.0200898848154375,0.1016557191570941,0.1772748558228703,0.0036406493077926,0.0466620048085233,0.0403869604161101,0.0991633797947734,0.0749471219573518
2000,0.0599872143283383,0.0356043341792882,0.0226054652194737,0.0198523219467271,0.0080058437333174,0.0113227343085324,0.006866941608451,0.0574296175289801,0.011665114062096,0.0465643401851933,0.0234272691214313,0.0231932608071991,0.0767314495612652,0.0332827497179336,0.0208149470575458,0.1041081099913071,0.1767868068640589,0.0035509759672844,0.0476908327782444,0.04099377072334,0.0955771349520398,0.0739387653579517
2001,0.0563552050990319,0.0365421665838284,0.0220804956260088,0.0194488420372593,0.0083429200900106,0.0119072167083123,0.0071055428266069,0.0598410521863626,0.0117892298639236,0.0478117855105435,0.0244011640222637,0.0231128414459186,0.077493603120541,0.0334062169065459,0.0218943733324102,0.1048460791291664,0.1781413040140452,0.0035399960165766,0.0487530236082299,0.0415928630304788,0.0880620207614652,0.0735320580804696
2002,0.0556167816282678,0.0374214244343837,0.0217419909422355,0.018908322481759,0.0084582682408781,0.0123661680562379,0.0073307918980418,0.0609492005174879,0.0117913731200167,0.0485009301013285,0.0248847783165707,0.0234739821777498,0.0789427913579071,0.033428128754693,0.022892051315308,0.1046046014647939,0.1784339919767096,0.0035376942363829,0.0480271359669972,0.0409019528442312,0.0841150831994105,0.0736725569686083
2003,0.0521563769446407,0.0386006951121171,0.0221608239877881,0.018630469057618,0.0087257837805761,0.0126647054106318,0.0074588507407544,0.0613918500350127,0.0120574994134496,0.0483958700898995,0.0251534261241718,0.0235139856097038,0.080087696035782,0.033396956961982,0.0234274434691295,0.1060939228368639,0.1777720588194946,0.0036187000320064,0.0477040816926451,0.0409670425736378,0.0822185610785659,0.0738032001935282
2004,0.0483967041533374,0.0400526601196372,0.0227531489771268,0.0185188451612037,0.0088302010843589,0.0130631000476713,0.007480996246546,0.0615934993411241,0.0124540964409463,0.049633286640195,0.025532025488397,0.0234618190718419,0.0820074126267528,0.0335638020056924,0.0241911717188808,0.1054251349360932,0.176770106484706,0.0035812034466966,0.0481584255410945,0.0407047458730893,0.0790479345076444,0.0747796800869635
2005,0.0457421406308215,0.0415202153976141,0.022659724644371,0.018283472561323,0.009099451798184,0.0129919264265353,0.0075723757241025,0.0619954975851416,0.0129179477675366,0.0502452461613018,0.0258142544750757,0.0234572207276844,0.0828630047997875,0.0333253138625186,0.0244716646004058,0.1069031528031503,0.1748500186289621,0.003400178884081,0.0488873080171302,0.0407132801285571,0.0786538953716142,0.0736327090041006
2006,0.0444395108267812,0.0439360606167325,0.0231982255265394,0.0183269903081309,0.0092837395159472,0.0131911345404323,0.0073657872702659,0.0618863682107842,0.0130265102431681,0.0506299273699922,0.0262680199693872,0.0228109097268375,0.0831739564512551,0.0331529806160357,0.0245070754135384,0.1064429183913694,0.1740296008513104,0.0033938396124971,0.0503805400355657,0.0403636454953385,0.0774368411681704,0.0727554178399195
2007,0.0446872998761185,0.0447734154803255,0.0237533184651802,0.0185034671020528,0.0093459620341086,0.0133456113195649,0.0074325135008724,0.0618987351947403,0.0131091469508824,0.0511906282404996,0.0269826908379844,0.0229814040907368,0.0839113573456684,0.0327782635581092,0.0248560001214698,0.1066733415563687,0.1732048283091539,0.0033344676477742,0.0499291872205336,0.0401184837580164,0.0755209286968751,0.0716689486929631
2008,0.0455127349701787,0.0453860199530658,0.024472050351059,0.0186531458611901,0.0095930591239102,0.0137718437308688,0.0074214463058245,0.0625160705414289,0.0133516055451024,0.0523489102804418,0.0279563064725113,0.0231457221217345,0.0846138971976526,0.0327688880827522,0.0254282198263656,0.1060502611083872,0.1718512316877197,0.0032436233423116,0.0484428625491954,0.0397591482620439,0.0733742825770032,0.0703386701092515
