year,Management,Business and Financial Operations,Computer and Mathematical,Architecture and Engineering,"Life, Physical, and Social Science",Community and Social Service,Legal,Educational Instruction and Library,"Arts, Design, Entertainment, Sports, and Media",Healthcare Practitioners and Technical Occupations,Healthcare Support,Protective Service,Food Preparation and Serving Related Occupations,Building and Grounds Cleaning and Maintenance,Personal Care and Service,Sales and Related Occupations,Office and Administrative Support,"Farming, Fishing, and Forestry",Construction and Extraction,"Installation, Maintenance, and Repair",Production,Transportation and Material Moving
1999,0.0004421682326778,3.9619318856651465e-05,2.505287025515165e-06,2.3869818048658383e-05,5.6090592849033984e-05,0.000149882644783,0.0002219962821693,0.0001503172215309,0.0003932394482598,0.0005018039876168,1.0438695939646524e-06,0.0007629820529716,4.779724381511903e-05,3.36126009256618e-05,4.091968808341436e-05,3.744012277019886e-05,4.773164703834208e-05,9.13037938187749e-05,2.651428768670217e-05,1.1412974227346865e-05,2.964589646859613e-05,7.537432295089002e-05
2000,0.0004658290987878,3.98124308260796e-05,3.179101754972258e-06,2.5814306250374737e-05,4.99754795881639e-05,0.0001580757302284,0.0002069492097647,0.0001476374855009,0.0004393686308901,0.0004288375521259,1.1444766317900133e-06,0.0007409864652837,5.0183258488978205e-05,4.298145572722493e-05,5.4744132220622285e-05,3.516086540999318e-05,4.728175949419547e-05,6.402710934514127e-05,2.7531021198059754e-05,1.8375208143739653e-05,2.829400561925309e-05,0.0001038565729667
2001,0.0004293873613377,4.822131137219367e-05,9.11716895054634e-06,2.285062597731868e-05,5.695345414043822e-05,0.0001467057350887,0.0002141508854018,0.0001496254372706,0.0004069318393516,0.0004885574902432,1.731108028584748e-06,0.000804960444453,4.094158637105006e-05,4.195051789270373e-05,4.714384197845798e-05,3.0986833711667e-05,5.3852326336734245e-05,6.872498873481452e-05,2.469714120780907e-05,1.1656127392470638e-05,3.05252049040444e-05,8.139684954344863e-05
2002,0.0004171436505357,4.519244526985784e-05,3.561487322613817e-06,1.904406415564333e-05,5.9555982450375496e-05,0.0001749616464098,0.0001799449565671,0.0001467629567527,0.0004256422137986,0.0004738460607948,1.236627542574242e-06,0.0008244011163965,4.592791383713598e-05,3.784080280277181e-05,4.545842846502913e-05,3.714829137893023e-05,5.389949706507574e-05,5.886347102653393e-05,2.3891644122534355e-05,1.226734522233648e-05,3.284482753077187e-05,6.270873304283276e-05
2003,0.000430584584284,4.475427494284423e-05,4.816649378446133e-06,2.31106542292752e-05,5.441887518917506e-05,0.0001665292864087,0.0001926657568627,0.0001533917571289,0.0004114315265155,0.0004697381307393,1.574673835261236e-06,0.0008150072494928,4.632894877810545e-05,4.501714611393885e-05,4.274776323370944e-05,4.01078688628303e-05,5.179399326518858e-05,5.687351381472934e-05,3.529121948438417e-05,1.611724984326206e-05,2.6769455199441008e-05,5.94827671004552e-05
2004,0.0004452022274907,5.346713299365496e-05,6.085458412777926e-06,2.041831441129436e-05,5.360808430730027e-05,0.0001516019342097,0.0002001508590431,0.0001434486677169,0.0004624802894476,0.0005316588611784,1.7215441562463865e-06,0.0007780483802867,3.770597253258498e-05,4.047630562709528e-05,5.084560647518398e-05,3.547181680079764e-05,5.1077386375784224e-05,5.320772520119647e-05,2.58231623436958e-05,1.3371994143867284e-05,3.050736388511039e-05,6.357934725195731e-05
2005,0.0004538997987336,5.691412813375404e-05,6.3185330280130525e-06,2.286359350020908e-05,5.942342911316321e-05,0.0001652016485008,0.0002075202249296,0.0001298768985411,0.0004222564458032,0.0005048166507053,1.3148392428235256e-06,0.0007896258084474,4.942386747739432e-05,4.002955028151621e-05,5.102306728401292e-05,3.83860012279868e-05,4.9227461711829375e-05,5.595371444460112e-05,2.8962986654418213e-05,1.3805812049647015e-05,2.589502842116332e-05,6.946882967114585e-05
2006,0.0004394506589675,4.654807682045434e-05,4.823921861780998e-06,2.3753656615942297e-05,5.35288984524526e-05,0.0001622614195234,0.0002019556957533,0.000137232259861,0.0004427738158827,0.0005040039316062,1.164394932154034e-06,0.0007652446752361,5.166114625026856e-05,4.012172251936472e-05,4.577735504697003e-05,4.03878699324285e-05,4.52633400650743e-05,5.236450352029857e-05,3.1970957994286486e-05,1.2109707294401957e-05,2.827816263802655e-05,5.745272992114226e-05
2007,0.0003661659455374,5.039945500025583e-05,3.4675384297419625e-06,2.403362842683221e-05,6.591312273776748e-05,0.0001397533533614,0.0002049544564768,0.000139389066361,0.0004370568087668,0.0004536221933487,9.565623254460585e-07,0.0007934814268144,4.943183974556478e-05,3.889023704391632e-05,5.261092789953322e-05,3.8979914761926886e-05,4.450802261283512e-05,5.494254856780798e-05,2.735170399322324e-05,1.34516577015852e-05,2.7740307437935697e-05,4.839684512412536e-05
2008,0.0003780642440079,4.396054181269729e-05,1.03603861817622e-05,2.9270317407500083e-05,9.09279738531164e-05,0.0001475563566906,0.000184417501302,0.0001405628325806,0.0004338377373121,0.0004493995104686,1.513981934870694e-06,0.0007565274316821,4.221179092369779e-05,3.2238909436658304e-05,4.3430501386584814e-05,3.499970002377546e-05,4.736796343752523e-05,6.302320877902908e-05,2.8439111639335783e-05,1.6475685761828136e-05,2.8498483479918943e-05,5.381711535745636e-05
2009,0.000435858937574,4.990645825458457e-05,4.36054859070786e-06,2.2669897502827787e-05,8.569964531396866e-05,0.0001473567095224,0.0001919175879764,0.000130147509926,0.0004528655408949,0.000483371345596,1.1149129919423503e-06,0.0007609136248145,4.682121626501801e-05,3.7461076529262974e-05,4.6231725399209455e-05,4.144998745599006e-05,4.578625345259426e-05,6.278198936848703e-05,2.9557582208604978e-05,1.4741627337904413e-05,2.9210720388889583e-05,4.938869740746793e-05
2010,0.0004331900279411,5.837101348659221e-05,3.572362764154835e-06,2.504932213667851e-05,8.201460381897986e-05,0.0001397477622173,0.0001877448797646,0.0001431512072917,0.0004450320526266,0.0004367238606268,1.6043545348000754e-06,0.0007348121373018,0.0001539391916307,3.625841248648171e-05,4.751028562387958e-05,3.756328750811911e-05,4.357291551925535e-05,6.000285960152284e-05,2.671785085287059e-05,1.34551866985233e-05,2.6525328308694583e-05,5.1431632553971336e-05
2011,0.0003868839167326,5.2485212695928805e-05,4.675414852857905e-06,2.132066773149725e-05,6.471860559806628e-05,0.000130871085209,0.0002106106198241,0.0001364406334446,0.0004485004118488,0.0004166940820348,1.455004622258684e-06,0.0007530673398544,0.00012681268412,3.664671641928873e-05,4.628854704945627e-05,3.656911617276825e-05,4.279259474101132e-05,5.711378143906089e-05,2.558868129012272e-05,1.1756437347850168e-05,2.653928430999839e-05,4.6749104617321976e-05
2012,0.000395758214258,4.751753793234373e-05,6.699154974664384e-06,2.0951464849941874e-05,6.112741692179598e-05,0.0001380242495881,0.0002163795136288,0.00014960180925,0.0004555999074005,0.0004193534348931,1.233555448592592e-06,0.0007677872472266,0.0001264373778281,3.362861930624727e-05,4.660941818066779e-05,3.666506348739826e-05,4.1811072219402045e-05,5.76924394418689e-05,2.463315341958745e-05,1.197497673941424e-05,2.7631642048474066e-05,4.887816554351637e-05
2013,0.0004049723693946,4.765026659839869e-05,8.269345092329883e-06,1.991579579631767e-05,6.111648425854405e-05,0.0001393367786063,0.000189226867757,0.0001361064834622,0.0004355931530482,0.0004397531097934,8.76221996538266e-07,0.0007673494407341,0.0001234710485097,3.4099639365280846e-05,5.173360704561346e-05,3.793311060013577e-05,4.317909838266066e-05,6.967790334972001e-05,2.677953476920075e-05,1.113532120600713e-05,2.593982202251824e-05,3.962228647727981e-05
