year,pos,neu,neg
1950,0.08695652173913043,0.8260869565217391,0.08695652173913043
1951,0.5,0.5,0.0
1952,0.25,0.75,0.0
1953,0.16666666666666666,0.8333333333333334,0.0
1954,0.14285714285714285,0.8571428571428571,0.0
1955,0.0,1.0,0.0
1956,0.125,0.78125,0.09375
1957,0.15384615384615385,0.8461538461538461,0.0
1958,0.1875,0.75,0.0625
1959,0.20588235294117646,0.7647058823529411,0.029411764705882353
1960,0.14285714285714285,0.8285714285714286,0.02857142857142857
1961,0.16666666666666666,0.7222222222222222,0.1111111111111111
1962,0.18181818181818182,0.8181818181818182,0.0
1963,0.21428571428571427,0.7857142857142857,0.0
1964,0.13636363636363635,0.8181818181818182,0.045454545454545456
1965,0.06666666666666667,0.8333333333333334,0.1
1966,0.22,0.74,0.04
1967,0.14814814814814814,0.8148148148148148,0.037037037037037035
1968,0.19148936170212766,0.7446808510638298,0.06382978723404255
1969,0.06896551724137931,0.7586206896551724,0.1724137931034483
1970,0.058823529411764705,0.8235294117647058,0.11764705882352941
1971,0.16666666666666666,0.7666666666666667,0.06666666666666667
1972,0.0625,0.9375,0.0
1973,0.17647058823529413,0.7058823529411765,0.11764705882352941
1974,0.08333333333333333,0.8611111111111112,0.05555555555555555
1975,0.11428571428571428,0.8571428571428571,0.02857142857142857
1976,0.05555555555555555,0.7777777777777778,0.16666666666666666
1977,0.14634146341463414,0.8048780487804879,0.04878048780487805
1978,0.1794871794871795,0.7435897435897436,0.07692307692307693
1979,0.25806451612903225,0.6774193548387096,0.06451612903225806
1980,0.12,0.84,0.04
1981,0.21875,0.75,0.03125
1982,0.14705882352941177,0.7352941176470589,0.11764705882352941
1983,0.25,0.75,0.0
1984,0.14130434782608695,0.8043478260869565,0.05434782608695652
1985,0.14545454545454545,0.7636363636363637,0.09090909090909091
1986,0.17142857142857143,0.7714285714285715,0.05714285714285714
1987,0.15,0.85,0.0
1988,0.16,0.82,0.02
1989,0.19117647058823528,0.7352941176470589,0.07352941176470588
1990,0.1509433962264151,0.8113207547169812,0.03773584905660377
1991,0.13559322033898305,0.7966101694915254,0.06779661016949153
1992,0.2127659574468085,0.7446808510638298,0.0425531914893617
1993,0.1836734693877551,0.7142857142857143,0.10204081632653061
1994,0.15517241379310345,0.7241379310344828,0.1206896551724138
1995,0.19047619047619047,0.746031746031746,0.06349206349206349
1996,0.10638297872340426,0.8297872340425532,0.06382978723404255
1997,0.12962962962962962,0.7962962962962963,0.07407407407407407
1998,0.136986301369863,0.7123287671232876,0.1506849315068493
1999,0.12941176470588237,0.788235294117647,0.08235294117647059
2000,0.10465116279069768,0.7790697674418605,0.11627906976744186
2001,0.17708333333333334,0.7395833333333334,0.08333333333333333
2002,0.1864406779661017,0.7033898305084746,0.11016949152542373
2003,0.13793103448275862,0.7241379310344828,0.13793103448275862
2004,0.1347517730496454,0.8014184397163121,0.06382978723404255
2005,0.13496932515337423,0.7852760736196319,0.07975460122699386
2006,0.15083798882681565,0.7374301675977654,0.11173184357541899
2007,0.17733990147783252,0.7438423645320197,0.07881773399014778
2008,0.1286549707602339,0.8070175438596491,0.06432748538011696
2009,0.13846153846153847,0.7948717948717948,0.06666666666666667
2010,0.13366336633663367,0.7970297029702971,0.06930693069306931
2011,0.17207792207792208,0.7597402597402597,0.06818181818181818
2012,0.1292517006802721,0.7585034013605442,0.11224489795918367
2013,0.16666666666666666,0.7210144927536232,0.11231884057971014
2014,0.1796875,0.73046875,0.08984375
2015,0.1297071129707113,0.7907949790794979,0.0794979079497908
2016,0.13583815028901733,0.7890173410404624,0.07514450867052024
2017,0.08695652173913043,0.8173913043478261,0.09565217391304348
