year,pos,neu,neg
1950,0.0,1.0,0.0
1951,0.0,1.0,0.0
1952,0.0,1.0,0.0
1953,0.0,0.0,0.0
1954,0.0,0.0,0.0
1955,0.1111111111111111,0.8888888888888888,0.0
1956,0.16666666666666666,0.6666666666666666,0.16666666666666666
1957,0.0,0.875,0.125
1958,1.0,0.0,0.0
1959,0.4,0.3,0.3
1960,0.3333333333333333,0.6666666666666666,0.0
1961,0.0,1.0,0.0
1962,0.0,0.0,0.0
1963,0.2,0.8,0.0
1964,0.0,1.0,0.0
1965,0.15,0.8,0.05
1966,0.0,1.0,0.0
1967,0.0,0.875,0.125
1968,0.0,0.8571428571428571,0.14285714285714285
1969,0.0,0.5714285714285714,0.42857142857142855
1970,0.16666666666666666,0.8333333333333334,0.0
1971,0.07142857142857142,0.7857142857142857,0.14285714285714285
1972,0.25,0.625,0.125
1973,0.0,1.0,0.0
1974,0.0,0.5,0.5
1975,0.0,1.0,0.0
1976,0.0,1.0,0.0
1977,0.1111111111111111,0.7777777777777778,0.1111111111111111
1978,0.2,0.8,0.0
1979,0.0,0.9166666666666666,0.08333333333333333
1980,0.0,1.0,0.0
1981,0.0,0.0,0.0
1982,0.0,0.0,0.0
1983,0.0,1.0,0.0
1984,0.0,1.0,0.0
1985,0.2727272727272727,0.6363636363636364,0.09090909090909091
1986,0.5454545454545454,0.45454545454545453,0.0
1987,0.0,0.0,0.0
1988,0.25,0.6666666666666666,0.08333333333333333
1989,0.0,1.0,0.0
1990,0.0,1.0,0.0
1991,0.16666666666666666,0.8333333333333334,0.0
1992,0.3333333333333333,0.6666666666666666,0.0
1993,0.0,0.0,0.0
1994,0.0,1.0,0.0
1995,0.0,0.0,1.0
1996,0.0,1.0,0.0
1997,0.125,0.75,0.125
1998,0.0,0.0,1.0
1999,0.0,1.0,0.0
2000,0.0,0.5,0.5
2001,0.0,1.0,0.0
2002,0.3,0.7,0.0
2003,0.2857142857142857,0.7142857142857143,0.0
2004,0.42857142857142855,0.5714285714285714,0.0
2005,0.07142857142857142,0.7142857142857143,0.21428571428571427
2006,0.0,0.8,0.2
2007,0.0,0.5,0.5
2008,0.0,0.9230769230769231,0.07692307692307693
2009,0.6666666666666666,0.3333333333333333,0.0
2010,0.0,1.0,0.0
2011,0.0,0.7142857142857143,0.2857142857142857
2012,0.1,0.9,0.0
2013,0.0,0.8571428571428571,0.14285714285714285
2014,0.125,0.875,0.0
2015,0.13333333333333333,0.6,0.26666666666666666
2016,0.1,0.9,0.0
2017,0.0,1.0,0.0
