year,pos,neu,neg
1950,0.0,0.7,0.3
1951,0.0,1.0,0.0
1952,0.26666666666666666,0.6,0.13333333333333333
1953,1.0,0.0,0.0
1954,0.0,0.6666666666666666,0.3333333333333333
1955,0.2,0.6,0.2
1956,0.5,0.5,0.0
1957,0.0,0.5,0.5
1958,0.0,0.75,0.25
1959,0.0,1.0,0.0
1960,0.0,0.8571428571428571,0.14285714285714285
1961,0.2857142857142857,0.42857142857142855,0.2857142857142857
1962,0.2857142857142857,0.7142857142857143,0.0
1963,0.2857142857142857,0.5714285714285714,0.14285714285714285
1964,0.12121212121212122,0.6666666666666666,0.21212121212121213
1965,0.0,0.8,0.2
1966,0.0,0.4444444444444444,0.5555555555555556
1967,0.3125,0.5625,0.125
1968,0.16666666666666666,0.75,0.08333333333333333
1969,0.3181818181818182,0.6818181818181818,0.0
1970,0.0,1.0,0.0
1971,0.375,0.625,0.0
1972,0.25806451612903225,0.5161290322580645,0.22580645161290322
1973,0.125,0.875,0.0
1974,0.18181818181818182,0.7272727272727273,0.09090909090909091
1975,0.2222222222222222,0.5555555555555556,0.2222222222222222
1976,0.3333333333333333,0.6666666666666666,0.0
1977,0.14285714285714285,0.8571428571428571,0.0
1978,0.19047619047619047,0.7619047619047619,0.047619047619047616
1979,0.0,0.8571428571428571,0.14285714285714285
1980,0.0,0.9333333333333333,0.06666666666666667
1981,0.05555555555555555,0.8333333333333334,0.1111111111111111
1982,0.1,0.7,0.2
1983,0.23076923076923078,0.6153846153846154,0.15384615384615385
1984,0.375,0.375,0.25
1985,0.4375,0.5625,0.0
1986,0.09523809523809523,0.6190476190476191,0.2857142857142857
1987,0.2857142857142857,0.7142857142857143,0.0
1988,0.09090909090909091,0.8181818181818182,0.09090909090909091
1989,0.25,0.6666666666666666,0.08333333333333333
1990,0.08333333333333333,0.8333333333333334,0.08333333333333333
1991,0.3333333333333333,0.6,0.06666666666666667
1992,0.16666666666666666,0.7777777777777778,0.05555555555555555
1993,0.19047619047619047,0.7142857142857143,0.09523809523809523
1994,0.2,0.6666666666666666,0.13333333333333333
1995,0.3125,0.6875,0.0
1996,0.3125,0.5625,0.125
1997,0.0,0.8,0.2
1998,0.22727272727272727,0.6363636363636364,0.13636363636363635
1999,0.21428571428571427,0.7142857142857143,0.07142857142857142
2000,0.1388888888888889,0.8055555555555556,0.05555555555555555
2001,0.21428571428571427,0.6785714285714286,0.10714285714285714
2002,0.19047619047619047,0.8095238095238095,0.0
2003,0.14285714285714285,0.6785714285714286,0.17857142857142858
2004,0.18518518518518517,0.6851851851851852,0.12962962962962962
2005,0.1864406779661017,0.711864406779661,0.1016949152542373
2006,0.2033898305084746,0.7457627118644068,0.05084745762711865
2007,0.18461538461538463,0.8,0.015384615384615385
2008,0.1,0.8285714285714286,0.07142857142857142
2009,0.2073170731707317,0.6829268292682927,0.10975609756097561
2010,0.16279069767441862,0.7906976744186046,0.046511627906976744
2011,0.18947368421052632,0.6736842105263158,0.1368421052631579
2012,0.13333333333333333,0.7142857142857143,0.1523809523809524
2013,0.16161616161616163,0.797979797979798,0.04040404040404041
2014,0.11224489795918367,0.826530612244898,0.061224489795918366
2015,0.12371134020618557,0.7628865979381443,0.1134020618556701
2016,0.20202020202020202,0.7070707070707071,0.09090909090909091
2017,0.11764705882352941,0.7450980392156863,0.13725490196078433
