year,pos,neu,neg
1950,0.0,1.0,0.0
1951,0.0,0.0,0.0
1952,0.0,0.6666666666666666,0.3333333333333333
1953,0.0,0.0,0.0
1954,0.0,0.0,0.0
1955,0.0,0.0,0.0
1956,0.5,0.5,0.0
1957,0.0,1.0,0.0
1958,0.0,0.0,0.0
1959,1.0,0.0,0.0
1960,0.0,0.0,0.0
1961,0.0,1.0,0.0
1962,0.0,1.0,0.0
1963,0.0,1.0,0.0
1964,0.0,0.0,0.0
1965,0.0,1.0,0.0
1966,0.0,1.0,0.0
1967,1.0,0.0,0.0
1968,0.0,0.0,1.0
1969,0.0,0.0,0.0
1970,0.0,0.0,0.0
1971,0.0,1.0,0.0
1972,0.0,0.0,0.0
1973,0.0,0.0,1.0
1974,0.5,0.5,0.0
1975,0.0,1.0,0.0
1976,0.0,1.0,0.0
1977,0.0,0.0,0.0
1978,1.0,0.0,0.0
1979,0.5,0.5,0.0
1980,0.25,0.6666666666666666,0.08333333333333333
1981,0.5,0.5,0.0
1982,0.0,1.0,0.0
1983,0.0,1.0,0.0
1984,1.0,0.0,0.0
1985,0.0,0.0,0.0
1986,1.0,0.0,0.0
1987,0.0,0.0,1.0
1988,0.6,0.4,0.0
1989,0.3333333333333333,0.6666666666666666,0.0
1990,0.6666666666666666,0.3333333333333333,0.0
1991,0.0,1.0,0.0
1992,0.25,0.75,0.0
1993,0.0,1.0,0.0
1994,0.125,0.375,0.5
1995,0.5,0.5,0.0
1996,0.25,0.5,0.25
1997,0.5714285714285714,0.42857142857142855,0.0
1998,0.1,0.6,0.3
1999,0.14285714285714285,0.7142857142857143,0.14285714285714285
2000,0.0,0.5,0.5
2001,0.15384615384615385,0.6153846153846154,0.23076923076923078
2002,0.4166666666666667,0.5,0.08333333333333333
2003,0.42857142857142855,0.42857142857142855,0.14285714285714285
2004,0.18181818181818182,0.6363636363636364,0.18181818181818182
2005,0.09090909090909091,0.6363636363636364,0.2727272727272727
2006,0.2777777777777778,0.6111111111111112,0.1111111111111111
2007,0.25,0.6538461538461539,0.09615384615384616
2008,0.38235294117647056,0.5294117647058824,0.08823529411764706
2009,0.2413793103448276,0.6896551724137931,0.06896551724137931
2010,0.391304347826087,0.5217391304347826,0.08695652173913043
2011,0.16,0.68,0.16
2012,0.13513513513513514,0.7297297297297297,0.13513513513513514
2013,0.25,0.3125,0.4375
2014,0.19230769230769232,0.6153846153846154,0.19230769230769232
2015,0.17647058823529413,0.8235294117647058,0.0
2016,0.2631578947368421,0.6842105263157895,0.05263157894736842
2017,0.18181818181818182,0.8181818181818182,0.0
