year,pos,neu,neg
1950,0.0,1.0,0.0
1951,0.0,0.0,0.0
1952,0.0,0.0,1.0
1953,0.0,1.0,0.0
1954,0.0,0.0,0.0
1955,1.0,0.0,0.0
1956,0.0,1.0,0.0
1957,0.0,0.0,0.0
1958,0.25,0.5,0.25
1959,0.1111111111111111,0.7777777777777778,0.1111111111111111
1960,0.0,0.0,0.0
1961,0.22727272727272727,0.5909090909090909,0.18181818181818182
1962,0.125,0.875,0.0
1963,0.0,1.0,0.0
1964,0.2222222222222222,0.7777777777777778,0.0
1965,0.0,1.0,0.0
1966,0.2222222222222222,0.7777777777777778,0.0
1967,0.18181818181818182,0.7272727272727273,0.09090909090909091
1968,0.0,1.0,0.0
1969,0.0,1.0,0.0
1970,0.0,0.0,0.0
1971,0.0,1.0,0.0
1972,0.0,1.0,0.0
1973,0.0,1.0,0.0
1974,0.34615384615384615,0.6538461538461539,0.0
1975,0.125,0.875,0.0
1976,0.25,0.75,0.0
1977,0.0,0.8571428571428571,0.14285714285714285
1978,0.14285714285714285,0.8571428571428571,0.0
1979,0.0,0.8333333333333334,0.16666666666666666
1980,0.16666666666666666,0.5,0.3333333333333333
1981,0.0,0.8571428571428571,0.14285714285714285
1982,1.0,0.0,0.0
1983,0.0,1.0,0.0
1984,0.25,0.5,0.25
1985,0.16666666666666666,0.6666666666666666,0.16666666666666666
1986,0.0,0.75,0.25
1987,0.13636363636363635,0.7272727272727273,0.13636363636363635
1988,0.16666666666666666,0.8333333333333334,0.0
1989,0.18181818181818182,0.6363636363636364,0.18181818181818182
1990,0.4090909090909091,0.5454545454545454,0.045454545454545456
1991,0.29411764705882354,0.6470588235294118,0.058823529411764705
1992,0.23076923076923078,0.7692307692307693,0.0
1993,0.08333333333333333,0.7916666666666666,0.125
1994,0.3333333333333333,0.6666666666666666,0.0
1995,0.25,0.75,0.0
1996,0.0,0.8,0.2
1997,0.2222222222222222,0.7777777777777778,0.0
1998,0.2727272727272727,0.6818181818181818,0.045454545454545456
1999,0.25,0.6428571428571429,0.10714285714285714
2000,0.2,0.725,0.075
2001,0.18518518518518517,0.7530864197530864,0.06172839506172839
2002,0.23636363636363636,0.6545454545454545,0.10909090909090909
2003,0.07407407407407407,0.8888888888888888,0.037037037037037035
2004,0.1780821917808219,0.7534246575342466,0.0684931506849315
2005,0.14893617021276595,0.7659574468085106,0.0851063829787234
2006,0.1935483870967742,0.7741935483870968,0.03225806451612903
2007,0.14285714285714285,0.6428571428571429,0.21428571428571427
2008,0.19090909090909092,0.6636363636363637,0.14545454545454545
2009,0.23026315789473684,0.6776315789473685,0.09210526315789473
2010,0.18691588785046728,0.7102803738317757,0.102803738317757
2011,0.24031007751937986,0.689922480620155,0.06976744186046512
2012,0.15178571428571427,0.7767857142857143,0.07142857142857142
2013,0.1695906432748538,0.7426900584795322,0.08771929824561403
2014,0.19708029197080293,0.6861313868613139,0.11678832116788321
2015,0.1564625850340136,0.7210884353741497,0.12244897959183673
2016,0.2,0.7266666666666667,0.07333333333333333
2017,0.2077922077922078,0.6883116883116883,0.1038961038961039
