year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.5,0.5,0.0
1952,0.0,1.0,0.0
1953,0.0,0.0,0.0
1954,0.0,0.0,0.0
1955,0.0,0.5,0.5
1956,0.0,0.0,0.0
1957,0.5,0.5,0.0
1958,0.0,0.6666666666666666,0.3333333333333333
1959,0.0,0.0,0.0
1960,0.0,1.0,0.0
1961,0.25,0.5,0.25
1962,0.2727272727272727,0.7272727272727273,0.0
1963,0.4,0.6,0.0
1964,0.0,1.0,0.0
1965,0.0,1.0,0.0
1966,0.0,0.8333333333333334,0.16666666666666666
1967,0.3333333333333333,0.6666666666666666,0.0
1968,0.0,1.0,0.0
1969,0.0,1.0,0.0
1970,0.0,1.0,0.0
1971,0.0,0.0,0.0
1972,0.0,0.0,0.0
1973,0.15384615384615385,0.6153846153846154,0.23076923076923078
1974,0.0,0.0,1.0
1975,0.0,0.0,0.0
1976,0.0,1.0,0.0
1977,0.14285714285714285,0.8571428571428571,0.0
1978,0.0,1.0,0.0
1979,0.25,0.25,0.5
1980,0.0,0.0,0.0
1981,0.3333333333333333,0.6666666666666666,0.0
1982,0.0,1.0,0.0
1983,0.0,1.0,0.0
1984,0.5,0.5,0.0
1985,0.3333333333333333,0.3333333333333333,0.3333333333333333
1986,0.0,1.0,0.0
1987,0.0,0.0,0.0
1988,0.0,0.5,0.5
1989,0.2,0.8,0.0
1990,0.0,0.8,0.2
1991,0.0,1.0,0.0
1992,0.14285714285714285,0.5714285714285714,0.2857142857142857
1993,0.0,1.0,0.0
1994,0.5,0.5,0.0
1995,0.25,0.75,0.0
1996,0.0,0.5,0.5
1997,0.0,0.8,0.2
1998,0.0,1.0,0.0
1999,0.3333333333333333,0.6666666666666666,0.0
2000,0.0,0.3333333333333333,0.6666666666666666
2001,0.0,1.0,0.0
2002,0.05555555555555555,0.8888888888888888,0.05555555555555555
2003,0.2,0.8,0.0
2004,0.14285714285714285,0.6428571428571429,0.21428571428571427
2005,0.08333333333333333,0.75,0.16666666666666666
2006,0.058823529411764705,0.8235294117647058,0.11764705882352941
2007,0.1111111111111111,0.7777777777777778,0.1111111111111111
2008,0.15789473684210525,0.8421052631578947,0.0
2009,0.3076923076923077,0.6153846153846154,0.07692307692307693
2010,0.13636363636363635,0.8181818181818182,0.045454545454545456
2011,0.21739130434782608,0.7391304347826086,0.043478260869565216
2012,0.1111111111111111,0.7777777777777778,0.1111111111111111
2013,0.1875,0.8125,0.0
2014,0.18518518518518517,0.7407407407407407,0.07407407407407407
2015,0.21052631578947367,0.7368421052631579,0.05263157894736842
2016,0.2222222222222222,0.7777777777777778,0.0
2017,0.23076923076923078,0.5384615384615384,0.23076923076923078
