year,pos,neu,neg
1950,0.3116883116883117,0.6233766233766234,0.06493506493506493
1951,0.308411214953271,0.5981308411214953,0.09345794392523364
1952,0.25,0.6666666666666666,0.08333333333333333
1953,0.328125,0.59375,0.078125
1954,0.4153846153846154,0.5384615384615384,0.046153846153846156
1955,0.25,0.6513157894736842,0.09868421052631579
1956,0.27906976744186046,0.6511627906976745,0.06976744186046512
1957,0.1595744680851064,0.7127659574468085,0.1276595744680851
1958,0.32142857142857145,0.6071428571428571,0.07142857142857142
1959,0.3020833333333333,0.65625,0.041666666666666664
1960,0.28888888888888886,0.6555555555555556,0.05555555555555555
1961,0.2988505747126437,0.6091954022988506,0.09195402298850575
1962,0.4322033898305085,0.5084745762711864,0.059322033898305086
1963,0.27848101265822783,0.6835443037974683,0.0379746835443038
1964,0.3114754098360656,0.6065573770491803,0.08196721311475409
1965,0.35625,0.59375,0.05
1966,0.35384615384615387,0.5923076923076923,0.05384615384615385
1967,0.3218390804597701,0.6379310344827587,0.040229885057471264
1968,0.27710843373493976,0.6506024096385542,0.07228915662650602
1969,0.3087557603686636,0.6451612903225806,0.04608294930875576
1970,0.2871287128712871,0.6336633663366337,0.07920792079207921
1971,0.3148148148148148,0.6172839506172839,0.06790123456790123
1972,0.27702702702702703,0.6621621621621622,0.060810810810810814
1973,0.22777777777777777,0.7111111111111111,0.06111111111111111
1974,0.3305785123966942,0.6363636363636364,0.03305785123966942
1975,0.2923076923076923,0.6076923076923076,0.1
1976,0.2635135135135135,0.5945945945945946,0.14189189189189189
1977,0.2751677852348993,0.6711409395973155,0.053691275167785234
1978,0.31176470588235294,0.6058823529411764,0.08235294117647059
1979,0.3273809523809524,0.5654761904761905,0.10714285714285714
1980,0.248,0.648,0.104
1981,0.23841059602649006,0.6754966887417219,0.08609271523178808
1982,0.296551724137931,0.5862068965517241,0.11724137931034483
1983,0.30939226519337015,0.574585635359116,0.11602209944751381
1984,0.2922374429223744,0.5799086757990868,0.1278538812785388
1985,0.34523809523809523,0.5595238095238095,0.09523809523809523
1986,0.2803030303030303,0.6212121212121212,0.09848484848484848
1987,0.3253012048192771,0.608433734939759,0.06626506024096386
1988,0.24675324675324675,0.6623376623376623,0.09090909090909091
1989,0.23636363636363636,0.6727272727272727,0.09090909090909091
1990,0.2669902912621359,0.5922330097087378,0.1407766990291262
1991,0.2555066079295154,0.6519823788546255,0.09251101321585903
1992,0.3333333333333333,0.5855855855855856,0.08108108108108109
1993,0.2697095435684647,0.6556016597510373,0.07468879668049792
1994,0.2423076923076923,0.6692307692307692,0.08846153846153847
1995,0.2980132450331126,0.6059602649006622,0.09602649006622517
1996,0.26573426573426573,0.6328671328671329,0.10139860139860139
1997,0.3089700996677741,0.5614617940199336,0.12956810631229235
1998,0.27639751552795033,0.6242236024844721,0.09937888198757763
1999,0.27010309278350514,0.6412371134020619,0.088659793814433
2000,0.2860215053763441,0.6172043010752688,0.0967741935483871
2001,0.25665399239543724,0.6596958174904943,0.08365019011406843
2002,0.2789115646258503,0.6394557823129252,0.08163265306122448
2003,0.2560777957860616,0.6596434359805511,0.08427876823338736
2004,0.27055702917771884,0.6326259946949602,0.09681697612732096
2005,0.27682926829268295,0.6390243902439025,0.08414634146341464
2006,0.2795918367346939,0.6224489795918368,0.09795918367346938
2007,0.2908921933085502,0.6245353159851301,0.0845724907063197
2008,0.26590693257359926,0.6438746438746439,0.09021842355175688
2009,0.24612736660929432,0.6721170395869192,0.08175559380378658
2010,0.2605588044184535,0.6439246263807668,0.09551656920077972
2011,0.26465841850457233,0.671866594943518,0.06347498655190963
2012,0.3013539651837524,0.6270793036750484,0.07156673114119923
2013,0.27159616068254533,0.6430856736580164,0.08531816565943832
2014,0.2932187201528176,0.6346704871060171,0.07211079274116523
2015,0.2865191146881288,0.63420523138833,0.07927565392354124
2016,0.2828162291169451,0.6364359586316627,0.0807478122513922
2017,0.3089788732394366,0.6109154929577465,0.0801056338028169
