year,pos,neu,neg
1950,0.5714285714285714,0.14285714285714285,0.2857142857142857
1951,0.125,0.75,0.125
1952,0.09090909090909091,0.8181818181818182,0.09090909090909091
1953,0.1875,0.8125,0.0
1954,0.0,0.9166666666666666,0.08333333333333333
1955,0.4117647058823529,0.47058823529411764,0.11764705882352941
1956,0.23076923076923078,0.7307692307692307,0.038461538461538464
1957,0.0625,0.8125,0.125
1958,0.14285714285714285,0.6857142857142857,0.17142857142857143
1959,0.09523809523809523,0.8095238095238095,0.09523809523809523
1960,0.2777777777777778,0.6111111111111112,0.1111111111111111
1961,0.2222222222222222,0.7037037037037037,0.07407407407407407
1962,0.15789473684210525,0.6842105263157895,0.15789473684210525
1963,0.06451612903225806,0.9354838709677419,0.0
1964,0.21428571428571427,0.7142857142857143,0.07142857142857142
1965,0.13157894736842105,0.7631578947368421,0.10526315789473684
1966,0.25,0.6666666666666666,0.08333333333333333
1967,0.25,0.703125,0.046875
1968,0.24074074074074073,0.6481481481481481,0.1111111111111111
1969,0.325,0.55,0.125
1970,0.25,0.6666666666666666,0.08333333333333333
1971,0.225,0.725,0.05
1972,0.25806451612903225,0.7096774193548387,0.03225806451612903
1973,0.16279069767441862,0.6976744186046512,0.13953488372093023
1974,0.16923076923076924,0.7230769230769231,0.1076923076923077
1975,0.16666666666666666,0.7708333333333334,0.0625
1976,0.11904761904761904,0.7619047619047619,0.11904761904761904
1977,0.125,0.8,0.075
1978,0.1,0.78,0.12
1979,0.18604651162790697,0.6511627906976745,0.16279069767441862
1980,0.28,0.64,0.08
1981,0.22857142857142856,0.7428571428571429,0.02857142857142857
1982,0.21428571428571427,0.7380952380952381,0.047619047619047616
1983,0.15492957746478872,0.6901408450704225,0.15492957746478872
1984,0.2235294117647059,0.6823529411764706,0.09411764705882353
1985,0.20238095238095238,0.7142857142857143,0.08333333333333333
1986,0.2077922077922078,0.7272727272727273,0.06493506493506493
1987,0.09090909090909091,0.8484848484848485,0.06060606060606061
1988,0.1875,0.71875,0.09375
1989,0.20481927710843373,0.6746987951807228,0.12048192771084337
1990,0.07272727272727272,0.8545454545454545,0.07272727272727272
1991,0.2647058823529412,0.6764705882352942,0.058823529411764705
1992,0.22077922077922077,0.7012987012987013,0.07792207792207792
1993,0.2159090909090909,0.6590909090909091,0.125
1994,0.14893617021276595,0.7446808510638298,0.10638297872340426
1995,0.22413793103448276,0.6379310344827587,0.13793103448275862
1996,0.14678899082568808,0.7155963302752294,0.13761467889908258
1997,0.13559322033898305,0.652542372881356,0.211864406779661
1998,0.12857142857142856,0.7785714285714286,0.09285714285714286
1999,0.16379310344827586,0.7241379310344828,0.11206896551724138
2000,0.2073170731707317,0.6951219512195121,0.0975609756097561
2001,0.15760869565217392,0.7717391304347826,0.07065217391304347
2002,0.22772277227722773,0.6683168316831684,0.10396039603960396
2003,0.14150943396226415,0.75,0.10849056603773585
2004,0.17647058823529413,0.7239819004524887,0.09954751131221719
2005,0.1680327868852459,0.7418032786885246,0.09016393442622951
2006,0.17777777777777778,0.7296296296296296,0.09259259259259259
2007,0.1687116564417178,0.7208588957055214,0.11042944785276074
2008,0.22318840579710145,0.7043478260869566,0.07246376811594203
2009,0.15196078431372548,0.7573529411764706,0.09068627450980392
2010,0.17118997912317327,0.7139874739039666,0.11482254697286012
2011,0.1706896551724138,0.7327586206896551,0.09655172413793103
2012,0.1780821917808219,0.7037671232876712,0.11815068493150685
2013,0.19099590723055934,0.6984993178717599,0.11050477489768076
2014,0.15953947368421054,0.7039473684210527,0.13651315789473684
2015,0.17151162790697674,0.7078488372093024,0.12063953488372094
2016,0.17845659163987138,0.6913183279742765,0.1302250803858521
2017,0.16379310344827586,0.7133620689655172,0.12284482758620689
