year,pos,neu,neg
1950,0.3333333333333333,0.6666666666666666,0.0
1951,0.0,1.0,0.0
1952,0.0,0.8571428571428571,0.14285714285714285
1953,0.15384615384615385,0.5384615384615384,0.3076923076923077
1954,0.0,1.0,0.0
1955,0.2,0.6,0.2
1956,1.0,0.0,0.0
1957,0.2,0.5,0.3
1958,0.0,0.7647058823529411,0.23529411764705882
1959,0.0,0.5,0.5
1960,0.3333333333333333,0.5555555555555556,0.1111111111111111
1961,0.19047619047619047,0.8095238095238095,0.0
1962,0.10714285714285714,0.7142857142857143,0.17857142857142858
1963,0.047619047619047616,0.7619047619047619,0.19047619047619047
1964,0.18181818181818182,0.7272727272727273,0.09090909090909091
1965,0.07407407407407407,0.7407407407407407,0.18518518518518517
1966,0.0,0.6666666666666666,0.3333333333333333
1967,0.10526315789473684,0.5789473684210527,0.3157894736842105
1968,0.0,0.8461538461538461,0.15384615384615385
1969,0.3333333333333333,0.6666666666666666,0.0
1970,0.13636363636363635,0.6818181818181818,0.18181818181818182
1971,0.05555555555555555,0.8333333333333334,0.1111111111111111
1972,0.11764705882352941,0.7058823529411765,0.17647058823529413
1973,0.16666666666666666,0.7916666666666666,0.041666666666666664
1974,0.041666666666666664,0.9583333333333334,0.0
1975,0.03571428571428571,0.7857142857142857,0.17857142857142858
1976,0.15789473684210525,0.5263157894736842,0.3157894736842105
1977,0.3333333333333333,0.6666666666666666,0.0
1978,0.08333333333333333,0.6666666666666666,0.25
1979,0.125,0.6875,0.1875
1980,0.0,0.9230769230769231,0.07692307692307693
1981,0.4166666666666667,0.5,0.08333333333333333
1982,0.2222222222222222,0.4444444444444444,0.3333333333333333
1983,0.13636363636363635,0.8181818181818182,0.045454545454545456
1984,0.23076923076923078,0.6923076923076923,0.07692307692307693
1985,0.1,0.8,0.1
1986,0.3333333333333333,0.6666666666666666,0.0
1987,0.21052631578947367,0.7894736842105263,0.0
1988,0.20833333333333334,0.7916666666666666,0.0
1989,0.08571428571428572,0.8285714285714286,0.08571428571428572
1990,0.14285714285714285,0.6666666666666666,0.19047619047619047
1991,0.08695652173913043,0.9130434782608695,0.0
1992,0.12,0.8,0.08
1993,0.07692307692307693,0.7692307692307693,0.15384615384615385
1994,0.2,0.7666666666666667,0.03333333333333333
1995,0.10344827586206896,0.8620689655172413,0.034482758620689655
1996,0.09090909090909091,0.7878787878787878,0.12121212121212122
1997,0.08333333333333333,0.8333333333333334,0.08333333333333333
1998,0.16666666666666666,0.7222222222222222,0.1111111111111111
1999,0.18181818181818182,0.7575757575757576,0.06060606060606061
2000,0.08064516129032258,0.8225806451612904,0.0967741935483871
2001,0.16901408450704225,0.676056338028169,0.15492957746478872
2002,0.08771929824561403,0.7719298245614035,0.14035087719298245
2003,0.13793103448275862,0.7011494252873564,0.16091954022988506
2004,0.19480519480519481,0.7272727272727273,0.07792207792207792
2005,0.08695652173913043,0.8,0.11304347826086956
2006,0.235,0.685,0.08
2007,0.17117117117117117,0.7567567567567568,0.07207207207207207
2008,0.20618556701030927,0.6597938144329897,0.13402061855670103
2009,0.1271186440677966,0.6864406779661016,0.1864406779661017
2010,0.11904761904761904,0.7678571428571429,0.1130952380952381
2011,0.13157894736842105,0.756578947368421,0.1118421052631579
2012,0.16759776536312848,0.7374301675977654,0.09497206703910614
2013,0.17054263565891473,0.7751937984496124,0.05426356589147287
2014,0.1875,0.7045454545454546,0.10795454545454546
2015,0.17687074829931973,0.7414965986394558,0.08163265306122448
2016,0.14685314685314685,0.7132867132867133,0.13986013986013987
2017,0.15306122448979592,0.7142857142857143,0.1326530612244898
