year,pos,neu,neg
1950,0.20689655172413793,0.7931034482758621,0.0
1951,0.28205128205128205,0.6666666666666666,0.05128205128205128
1952,0.07692307692307693,0.7692307692307693,0.15384615384615385
1953,0.043478260869565216,0.8260869565217391,0.13043478260869565
1954,0.0,0.9444444444444444,0.05555555555555555
1955,0.1896551724137931,0.7241379310344828,0.08620689655172414
1956,0.1111111111111111,0.7777777777777778,0.1111111111111111
1957,0.22916666666666666,0.7291666666666666,0.041666666666666664
1958,0.125,0.7361111111111112,0.1388888888888889
1959,0.1,0.7666666666666667,0.13333333333333333
1960,0.05263157894736842,0.8947368421052632,0.05263157894736842
1961,0.075,0.725,0.2
1962,0.21212121212121213,0.7272727272727273,0.06060606060606061
1963,0.10810810810810811,0.8378378378378378,0.05405405405405406
1964,0.1276595744680851,0.7446808510638298,0.1276595744680851
1965,0.2222222222222222,0.7407407407407407,0.037037037037037035
1966,0.15555555555555556,0.7777777777777778,0.06666666666666667
1967,0.20930232558139536,0.7674418604651163,0.023255813953488372
1968,0.175,0.8,0.025
1969,0.14285714285714285,0.8333333333333334,0.023809523809523808
1970,0.12643678160919541,0.7816091954022989,0.09195402298850575
1971,0.11578947368421053,0.7789473684210526,0.10526315789473684
1972,0.17647058823529413,0.75,0.07352941176470588
1973,0.12727272727272726,0.7636363636363637,0.10909090909090909
1974,0.15942028985507245,0.7971014492753623,0.043478260869565216
1975,0.037037037037037035,0.7037037037037037,0.25925925925925924
1976,0.07142857142857142,0.7857142857142857,0.14285714285714285
1977,0.14492753623188406,0.8260869565217391,0.028985507246376812
1978,0.10714285714285714,0.8035714285714286,0.08928571428571429
1979,0.03571428571428571,0.9285714285714286,0.03571428571428571
1980,0.029411764705882353,0.7647058823529411,0.20588235294117646
1981,0.0967741935483871,0.8709677419354839,0.03225806451612903
1982,0.08235294117647059,0.8352941176470589,0.08235294117647059
1983,0.10714285714285714,0.8214285714285714,0.07142857142857142
1984,0.15942028985507245,0.782608695652174,0.057971014492753624
1985,0.15873015873015872,0.746031746031746,0.09523809523809523
1986,0.2,0.7142857142857143,0.08571428571428572
1987,0.18181818181818182,0.7474747474747475,0.0707070707070707
1988,0.17415730337078653,0.7640449438202247,0.06179775280898876
1989,0.13592233009708737,0.7378640776699029,0.1262135922330097
1990,0.11864406779661017,0.8305084745762712,0.05084745762711865
1991,0.15827338129496402,0.7338129496402878,0.1079136690647482
1992,0.18181818181818182,0.8181818181818182,0.0
1993,0.14285714285714285,0.7662337662337663,0.09090909090909091
1994,0.07228915662650602,0.7108433734939759,0.21686746987951808
1995,0.13114754098360656,0.819672131147541,0.04918032786885246
1996,0.0673076923076923,0.8461538461538461,0.08653846153846154
1997,0.10294117647058823,0.8235294117647058,0.07352941176470588
1998,0.17307692307692307,0.7596153846153846,0.0673076923076923
1999,0.15,0.73,0.12
2000,0.13333333333333333,0.75,0.11666666666666667
2001,0.22093023255813954,0.7209302325581395,0.05813953488372093
2002,0.13333333333333333,0.7925925925925926,0.07407407407407407
2003,0.14917127071823205,0.7403314917127072,0.11049723756906077
2004,0.09004739336492891,0.7819905213270142,0.12796208530805686
2005,0.1624548736462094,0.7472924187725631,0.09025270758122744
2006,0.16666666666666666,0.7611111111111111,0.07222222222222222
2007,0.13357400722021662,0.776173285198556,0.09025270758122744
2008,0.1336405529953917,0.7465437788018433,0.11981566820276497
2009,0.17063492063492064,0.7261904761904762,0.10317460317460317
2010,0.17490494296577946,0.7642585551330798,0.060836501901140684
2011,0.1773049645390071,0.7340425531914894,0.08865248226950355
2012,0.17914438502673796,0.6925133689839572,0.12834224598930483
2013,0.17034700315457413,0.7034700315457413,0.12618296529968454
2014,0.22674418604651161,0.7034883720930233,0.06976744186046512
2015,0.23270440251572327,0.6779874213836478,0.08930817610062892
2016,0.203601108033241,0.724376731301939,0.07202216066481995
2017,0.1863799283154122,0.6702508960573477,0.14336917562724014
