year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,0.0,0.0
1952,0.0,0.0,0.0
1953,0.0,0.0,0.0
1954,0.0,0.0,0.0
1955,0.3333333333333333,0.6666666666666666,0.0
1956,0.0,1.0,0.0
1957,0.5,0.5,0.0
1958,0.25,0.25,0.5
1959,0.6,0.4,0.0
1960,0.0,1.0,0.0
1961,0.0,0.0,0.0
1962,1.0,0.0,0.0
1963,0.16666666666666666,0.6666666666666666,0.16666666666666666
1964,0.5,0.5,0.0
1965,0.21428571428571427,0.5714285714285714,0.21428571428571427
1966,0.0,1.0,0.0
1967,0.25,0.75,0.0
1968,0.0,0.0,0.0
1969,0.25,0.75,0.0
1970,0.0,0.0,0.0
1971,0.25,0.75,0.0
1972,0.0,0.0,0.0
1973,0.0,1.0,0.0
1974,0.2,0.8,0.0
1975,0.42857142857142855,0.5714285714285714,0.0
1976,0.5,0.5,0.0
1977,0.0,1.0,0.0
1978,0.0,1.0,0.0
1979,0.0,1.0,0.0
1980,0.2,0.6,0.2
1981,0.16666666666666666,0.8333333333333334,0.0
1982,0.0,1.0,0.0
1983,0.09090909090909091,0.8181818181818182,0.09090909090909091
1984,0.09090909090909091,0.8181818181818182,0.09090909090909091
1985,0.3333333333333333,0.6666666666666666,0.0
1986,0.6666666666666666,0.3333333333333333,0.0
1987,0.42857142857142855,0.5714285714285714,0.0
1988,0.0,1.0,0.0
1989,0.0,1.0,0.0
1990,0.0,0.8333333333333334,0.16666666666666666
1991,0.2857142857142857,0.7142857142857143,0.0
1992,0.4,0.6,0.0
1993,0.2,0.7,0.1
1994,0.0,0.5714285714285714,0.42857142857142855
1995,0.15384615384615385,0.8461538461538461,0.0
1996,0.1,0.8,0.1
1997,0.18181818181818182,0.8181818181818182,0.0
1998,0.14285714285714285,0.6785714285714286,0.17857142857142858
1999,0.36363636363636365,0.5909090909090909,0.045454545454545456
2000,0.2916666666666667,0.625,0.08333333333333333
2001,0.12121212121212122,0.8787878787878788,0.0
2002,0.2,0.725,0.075
2003,0.2413793103448276,0.6896551724137931,0.06896551724137931
2004,0.2647058823529412,0.6470588235294118,0.08823529411764706
2005,0.15873015873015872,0.7936507936507936,0.047619047619047616
2006,0.23076923076923078,0.6730769230769231,0.09615384615384616
2007,0.16326530612244897,0.6530612244897959,0.1836734693877551
2008,0.208955223880597,0.7761194029850746,0.014925373134328358
2009,0.24324324324324326,0.7162162162162162,0.04054054054054054
2010,0.17333333333333334,0.7733333333333333,0.05333333333333334
2011,0.23711340206185566,0.6701030927835051,0.09278350515463918
2012,0.14754098360655737,0.7868852459016393,0.06557377049180328
2013,0.16279069767441862,0.7906976744186046,0.046511627906976744
2014,0.24691358024691357,0.7037037037037037,0.04938271604938271
2015,0.2459016393442623,0.7377049180327869,0.01639344262295082
2016,0.2692307692307692,0.6538461538461539,0.07692307692307693
2017,0.25,0.65,0.1
