year,pos,neu,neg
1950,1.0,0.0,0.0
1951,0.0,0.0,0.0
1952,0.1111111111111111,0.7777777777777778,0.1111111111111111
1953,0.2,0.8,0.0
1954,0.0,1.0,0.0
1955,0.0,0.0,0.0
1956,0.0,0.0,0.0
1957,0.25,0.75,0.0
1958,0.0,0.0,0.0
1959,0.0,0.0,0.0
1960,0.0,0.0,0.0
1961,0.0,0.0,0.0
1962,0.0,0.0,0.0
1963,0.0,0.0,0.0
1964,0.0,0.0,0.0
1965,0.0,1.0,0.0
1966,0.0,0.0,0.0
1967,0.0,0.0,0.0
1968,0.0,0.0,0.0
1969,0.0,0.0,0.0
1970,0.1111111111111111,0.8888888888888888,0.0
1971,0.0,1.0,0.0
1972,0.0,1.0,0.0
1973,0.0,0.0,0.0
1974,0.0,0.0,0.0
1975,0.0,0.0,0.0
1976,0.0,0.0,0.0
1977,0.0,1.0,0.0
1978,0.1,0.75,0.15
1979,0.25,0.5,0.25
1980,0.0,1.0,0.0
1981,0.4,0.6,0.0
1982,0.0,0.0,0.0
1983,0.0,0.0,0.0
1984,0.0,1.0,0.0
1985,0.0,0.0,0.0
1986,0.0,1.0,0.0
1987,0.0,0.0,0.0
1988,0.10344827586206896,0.8275862068965517,0.06896551724137931
1989,0.22641509433962265,0.6415094339622641,0.1320754716981132
1990,0.5,0.5,0.0
1991,0.2,0.6,0.2
1992,0.1,0.6,0.3
1993,0.0,1.0,0.0
1994,1.0,0.0,0.0
1995,0.2857142857142857,0.7142857142857143,0.0
1996,0.25,0.5,0.25
1997,0.16666666666666666,0.8333333333333334,0.0
1998,0.15789473684210525,0.631578947368421,0.21052631578947367
1999,0.0,1.0,0.0
2000,0.0,1.0,0.0
2001,0.5,0.5,0.0
2002,0.25,0.5,0.25
2003,0.21875,0.5625,0.21875
2004,0.19607843137254902,0.7647058823529411,0.0392156862745098
2005,0.1111111111111111,0.8888888888888888,0.0
2006,0.07692307692307693,0.8461538461538461,0.07692307692307693
2007,0.4,0.5,0.1
2008,0.06666666666666667,0.7333333333333333,0.2
2009,0.3888888888888889,0.5555555555555556,0.05555555555555555
2010,0.23809523809523808,0.7142857142857143,0.047619047619047616
2011,0.25,0.6666666666666666,0.08333333333333333
2012,0.2564102564102564,0.6923076923076923,0.05128205128205128
2013,0.2222222222222222,0.7222222222222222,0.05555555555555555
2014,0.18518518518518517,0.7037037037037037,0.1111111111111111
2015,0.2711864406779661,0.6610169491525424,0.06779661016949153
2016,0.23529411764705882,0.6862745098039216,0.0784313725490196
2017,0.22093023255813954,0.6511627906976745,0.12790697674418605
