year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,0.0,0.0
1952,0.0,0.0,0.0
1953,0.0,0.0,0.0
1954,0.0,1.0,0.0
1955,0.0,0.0,0.0
1956,0.0,1.0,0.0
1957,0.0,0.0,0.0
1958,0.0,0.0,0.0
1959,1.0,0.0,0.0
1960,0.0,0.0,0.0
1961,0.0,0.0,0.0
1962,0.0,1.0,0.0
1963,0.0,0.0,0.0
1964,0.0,0.0,0.0
1965,0.0,0.8333333333333334,0.16666666666666666
1966,0.0,1.0,0.0
1967,0.0,1.0,0.0
1968,0.0,1.0,0.0
1969,0.0,1.0,0.0
1970,0.0,0.0,0.0
1971,0.0,1.0,0.0
1972,0.5,0.5,0.0
1973,0.0,0.5,0.5
1974,0.0,0.0,0.0
1975,0.0,0.0,0.0
1976,0.0,0.0,0.0
1977,0.0,0.0,0.0
1978,0.0,1.0,0.0
1979,0.0,1.0,0.0
1980,0.0,0.0,0.0
1981,0.6666666666666666,0.3333333333333333,0.0
1982,0.0,0.0,0.0
1983,0.0,0.0,0.0
1984,0.0,0.0,1.0
1985,0.0,0.5,0.5
1986,0.0,0.0,0.0
1987,0.0,1.0,0.0
1988,0.0,0.0,0.0
1989,0.0,0.0,0.0
1990,0.0,0.7142857142857143,0.2857142857142857
1991,0.0,0.0,0.0
1992,0.0,0.5,0.5
1993,0.0,1.0,0.0
1994,0.25,0.75,0.0
1995,0.5,0.5,0.0
1996,0.0,0.0,0.0
1997,0.5,0.5,0.0
1998,0.0,1.0,0.0
1999,0.0,1.0,0.0
2000,0.0,0.6666666666666666,0.3333333333333333
2001,0.16666666666666666,0.5,0.3333333333333333
2002,0.0,0.8,0.2
2003,0.0,1.0,0.0
2004,0.1111111111111111,0.6666666666666666,0.2222222222222222
2005,0.4,0.4,0.2
2006,0.08333333333333333,0.9166666666666666,0.0
2007,0.0,1.0,0.0
2008,0.0,0.6666666666666666,0.3333333333333333
2009,0.23076923076923078,0.6153846153846154,0.15384615384615385
2010,0.0,0.6666666666666666,0.3333333333333333
2011,0.06666666666666667,0.8,0.13333333333333333
2012,0.0,0.75,0.25
2013,0.0,0.42857142857142855,0.5714285714285714
2014,0.10526315789473684,0.8421052631578947,0.05263157894736842
2015,0.125,0.75,0.125
2016,0.07407407407407407,0.8148148148148148,0.1111111111111111
2017,0.0,1.0,0.0
