year,pos,neu,neg
1950,0.0,1.0,0.0
1951,0.0,0.0,0.0
1952,0.0,0.0,1.0
1953,0.0,0.0,0.0
1954,0.0,1.0,0.0
1955,0.0,0.0,0.0
1956,0.0,0.0,1.0
1957,0.0,0.75,0.25
1958,0.0,1.0,0.0
1959,0.3333333333333333,0.6666666666666666,0.0
1960,0.0,1.0,0.0
1961,0.2222222222222222,0.7777777777777778,0.0
1962,0.0,0.5,0.5
1963,0.3333333333333333,0.6666666666666666,0.0
1964,0.0,0.0,0.0
1965,0.5,0.5,0.0
1966,0.0,0.7777777777777778,0.2222222222222222
1967,0.4444444444444444,0.5555555555555556,0.0
1968,0.2,0.8,0.0
1969,0.1,0.8,0.1
1970,0.25,0.5,0.25
1971,0.0,0.5,0.5
1972,0.3333333333333333,0.5,0.16666666666666666
1973,0.5,0.5,0.0
1974,0.1111111111111111,0.8888888888888888,0.0
1975,0.0,1.0,0.0
1976,0.0,1.0,0.0
1977,0.2857142857142857,0.5714285714285714,0.14285714285714285
1978,0.3333333333333333,0.6666666666666666,0.0
1979,0.25,0.75,0.0
1980,0.3333333333333333,0.3333333333333333,0.3333333333333333
1981,0.0,1.0,0.0
1982,0.3333333333333333,0.6666666666666666,0.0
1983,1.0,0.0,0.0
1984,0.0,1.0,0.0
1985,0.47058823529411764,0.47058823529411764,0.058823529411764705
1986,0.25,0.75,0.0
1987,0.2727272727272727,0.6363636363636364,0.09090909090909091
1988,0.4444444444444444,0.3333333333333333,0.2222222222222222
1989,0.5,0.375,0.125
1990,0.2857142857142857,0.7142857142857143,0.0
1991,0.4,0.6,0.0
1992,0.36363636363636365,0.36363636363636365,0.2727272727272727
1993,0.12903225806451613,0.7419354838709677,0.12903225806451613
1994,0.4,0.6,0.0
1995,0.3333333333333333,0.6666666666666666,0.0
1996,0.2,0.6857142857142857,0.11428571428571428
1997,0.6666666666666666,0.3333333333333333,0.0
1998,0.625,0.25,0.125
1999,0.22033898305084745,0.711864406779661,0.06779661016949153
2000,0.4,0.4666666666666667,0.13333333333333333
2001,0.25,0.5625,0.1875
2002,0.5333333333333333,0.3333333333333333,0.13333333333333333
2003,0.15625,0.8125,0.03125
2004,0.2222222222222222,0.4444444444444444,0.3333333333333333
2005,0.22727272727272727,0.5909090909090909,0.18181818181818182
2006,0.28,0.6,0.12
2007,0.27586206896551724,0.5862068965517241,0.13793103448275862
2008,0.047619047619047616,0.8571428571428571,0.09523809523809523
2009,0.2857142857142857,0.6607142857142857,0.05357142857142857
2010,0.2777777777777778,0.6666666666666666,0.05555555555555555
2011,0.28125,0.546875,0.171875
2012,0.28888888888888886,0.6,0.1111111111111111
2013,0.35555555555555557,0.5333333333333333,0.1111111111111111
2014,0.36363636363636365,0.4318181818181818,0.20454545454545456
2015,0.2608695652173913,0.5217391304347826,0.21739130434782608
2016,0.33962264150943394,0.5283018867924528,0.1320754716981132
2017,0.3287671232876712,0.6027397260273972,0.0684931506849315
