year,pos,neu,neg
1950,0.0,1.0,0.0
1951,0.0,0.0,0.0
1952,0.0,0.0,0.0
1953,0.0,1.0,0.0
1954,0.0,0.0,0.0
1955,0.0,1.0,0.0
1956,1.0,0.0,0.0
1957,0.0,0.0,0.0
1958,1.0,0.0,0.0
1959,0.0,0.0,0.0
1960,0.0,1.0,0.0
1961,0.0,0.0,0.0
1962,0.0,0.0,0.0
1963,0.0,1.0,0.0
1964,0.5,0.5,0.0
1965,0.0,0.0,0.0
1966,0.0,1.0,0.0
1967,0.5,0.5,0.0
1968,1.0,0.0,0.0
1969,0.3333333333333333,0.6666666666666666,0.0
1970,0.0,0.0,0.0
1971,0.0,1.0,0.0
1972,0.0,0.0,0.0
1973,0.0,0.0,0.0
1974,0.0,1.0,0.0
1975,0.0,0.0,0.0
1976,0.0,1.0,0.0
1977,1.0,0.0,0.0
1978,0.0,0.0,0.0
1979,0.0,0.0,0.0
1980,0.0,1.0,0.0
1981,0.0,0.0,1.0
1982,0.0,0.0,0.0
1983,1.0,0.0,0.0
1984,0.3333333333333333,0.6666666666666666,0.0
1985,0.5,0.5,0.0
1986,0.3333333333333333,0.6666666666666666,0.0
1987,0.3333333333333333,0.6666666666666666,0.0
1988,0.25,0.75,0.0
1989,0.0,1.0,0.0
1990,0.36363636363636365,0.6363636363636364,0.0
1991,0.0,0.8,0.2
1992,0.2,0.8,0.0
1993,0.0,1.0,0.0
1994,0.0,1.0,0.0
1995,0.2857142857142857,0.7142857142857143,0.0
1996,0.0,0.6666666666666666,0.3333333333333333
1997,0.16666666666666666,0.6666666666666666,0.16666666666666666
1998,0.4,0.4,0.2
1999,0.1111111111111111,0.8888888888888888,0.0
2000,0.0,1.0,0.0
2001,0.1111111111111111,0.7777777777777778,0.1111111111111111
2002,0.25,0.75,0.0
2003,0.0,1.0,0.0
2004,0.3333333333333333,0.6666666666666666,0.0
2005,0.21428571428571427,0.7857142857142857,0.0
2006,0.0,1.0,0.0
2007,0.0,0.8333333333333334,0.16666666666666666
2008,0.1875,0.5625,0.25
2009,0.1,0.9,0.0
2010,0.047619047619047616,0.9047619047619048,0.047619047619047616
2011,0.15384615384615385,0.8076923076923077,0.038461538461538464
2012,0.0625,0.9375,0.0
2013,0.1111111111111111,0.8148148148148148,0.07407407407407407
2014,0.2857142857142857,0.6666666666666666,0.047619047619047616
2015,0.29411764705882354,0.6470588235294118,0.058823529411764705
2016,0.25,0.75,0.0
2017,0.6,0.4,0.0
