year,pos,neu,neg
1950,0.0,1.0,0.0
1951,0.0,0.0,0.0
1952,1.0,0.0,0.0
1953,1.0,0.0,0.0
1954,0.5,0.5,0.0
1955,0.0,0.0,0.0
1956,0.0,1.0,0.0
1957,0.0,1.0,0.0
1958,0.5,0.5,0.0
1959,0.0,1.0,0.0
1960,0.0,0.0,0.0
1961,0.0,0.0,0.0
1962,0.0,0.8,0.2
1963,0.0,0.6666666666666666,0.3333333333333333
1964,0.09090909090909091,0.9090909090909091,0.0
1965,0.5,0.0,0.5
1966,0.5,0.5,0.0
1967,0.0,1.0,0.0
1968,0.0,1.0,0.0
1969,0.0,0.0,0.0
1970,0.0,0.0,1.0
1971,1.0,0.0,0.0
1972,0.0,1.0,0.0
1973,0.25,0.75,0.0
1974,0.0,1.0,0.0
1975,0.0,1.0,0.0
1976,0.0,0.0,0.0
1977,0.0,0.0,0.0
1978,0.0,0.0,0.0
1979,0.0,1.0,0.0
1980,0.2,0.8,0.0
1981,0.0,1.0,0.0
1982,0.1,0.6,0.3
1983,0.0,0.0,0.0
1984,0.125,0.875,0.0
1985,1.0,0.0,0.0
1986,0.2222222222222222,0.7777777777777778,0.0
1987,0.14285714285714285,0.5714285714285714,0.2857142857142857
1988,0.0,0.0,0.0
1989,0.0,0.5,0.5
1990,0.0,1.0,0.0
1991,0.0,0.0,0.0
1992,0.0,0.0,0.0
1993,0.0,0.0,0.0
1994,0.0,0.0,0.0
1995,0.2857142857142857,0.42857142857142855,0.2857142857142857
1996,0.0,0.8,0.2
1997,0.0,1.0,0.0
1998,0.0,0.0,0.0
1999,0.4,0.4,0.2
2000,0.0,1.0,0.0
2001,0.0,1.0,0.0
2002,0.0,0.8,0.2
2003,0.0,0.5,0.5
2004,0.5,0.5,0.0
2005,0.2222222222222222,0.6666666666666666,0.1111111111111111
2006,0.18181818181818182,0.7272727272727273,0.09090909090909091
2007,0.0,0.8333333333333334,0.16666666666666666
2008,0.0,0.5,0.5
2009,0.2,0.8,0.0
2010,0.0,0.875,0.125
2011,0.1111111111111111,0.8888888888888888,0.0
2012,0.18181818181818182,0.8181818181818182,0.0
2013,0.06666666666666667,0.8,0.13333333333333333
2014,0.3,0.6,0.1
2015,0.25,0.6666666666666666,0.08333333333333333
2016,0.08333333333333333,0.6666666666666666,0.25
2017,0.3,0.7,0.0
